,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,input1.1,input2.1,  .1,cond.1,-----------.1,    .1,nan.1,input1.2,-----------.2,>.1,car.1,input1.3,car.2,input2.2,-----------.4,-----------.5,<.1,car.3,input1.4,car.4,input2.3,-----------.7,    .2,else.1,afunc.2,cdr.1,input1.5,cdr.2,input2.4,).1,].1,).2,).3,question,code,choices
0,4,25,8817078189,1596172746,1,1,"(0.6881114840507507, 0.21675433218479156)","(0.6958458423614502, 0.12956221401691437)",1,1,3.0623779296875,3.0845184326171875,"(-42.33917236328125, 12.79489803314209, 558.541015625)","(23.091554641723633, 14.062227249145508, 561.1192626953125)","(65.458251953125, 160.98373413085938, 47.951473236083984)","(68.13846588134766, 176.95481872558594, 53.76449203491211)",POINT (0.6919786632061005 0.173158273100853),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817094855,1596189412,1,1,"(0.6886070966720581, 0.22069969773292542)","(0.6933900713920593, 0.12618198990821838)",1,1,3.08258056640625,3.0717010498046875,"(-42.267242431640625, 12.813776016235352, 558.742919921875)","(23.163293838500977, 14.071258544921875, 561.3505859375)","(65.6299819946289, 160.2610321044922, 47.688480377197266)","(67.28746795654297, 177.573974609375, 53.98984909057617)",POINT (0.6909985840320587 0.1734408438205719),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817111524,1596206080,1,1,"(0.687964916229248, 0.21534927189350128)","(0.690887987613678, 0.12374339252710342)",1,1,3.0500946044921875,3.079132080078125,"(-42.212913513183594, 12.861946105957031, 558.993408203125)","(23.210750579833984, 14.11668586730957, 561.6541748046875)","(65.40744018554688, 161.2410888671875, 48.04518127441406)","(66.42040252685547, 178.02066040039062, 54.15243911743164)",POINT (0.689426451921463 0.1695463322103024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817128196,1596222752,1,1,"(0.68819659948349, 0.21751748025417328)","(0.6914314031600952, 0.13030239939689636)",1,1,3.06195068359375,3.072784423828125,"(-42.17455291748047, 12.922191619873047, 559.19140625)","(23.259124755859375, 14.192277908325195, 561.9661865234375)","(65.48772430419922, 160.84393310546875, 47.90060806274414)","(66.60871124267578, 176.81922912597656, 53.71516799926758)",POINT (0.6898140013217926 0.1739099398255348),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817144862,1596239418,1,1,"(0.6894155144691467, 0.22948800027370453)","(0.692999005317688, 0.13130687177181244)",1,1,3.082015991210937,3.0915679931640625,"(-42.15185546875, 12.992490768432617, 559.5440673828125)","(23.29178237915039, 14.275294303894043, 562.16552734375)","(65.9101333618164, 158.65126037597656, 47.10258483886719)","(67.15194702148438, 176.63525390625, 53.64818572998047)",POINT (0.6912072598934174 0.1803974360227585),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817161530,1596256085,1,1,"(0.6833430528640747, 0.2262990027666092)","(0.6915417909622192, 0.13062302768230438)",1,1,3.0423583984375,3.076416015625,"(-42.124874114990234, 13.033544540405273, 559.7220458984375)","(23.316104888916016, 14.345916748046875, 562.4448852539062)","(63.80580139160156, 159.23541259765625, 47.3151741027832)","(66.6469497680664, 176.760498046875, 53.693790435791016)",POINT (0.687442421913147 0.1784610152244568),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817178197,1596272752,1,1,"(0.6866815090179443, 0.22350163757801056)","(0.6908365488052368, 0.1305057257413864)",1,1,3.0716094970703125,3.082427978515625,"(-42.11330795288086, 13.054072380065918, 559.9166259765625)","(23.321533203125, 14.385550498962402, 562.5584716796875)","(64.96268463134766, 159.74781799316406, 47.50166320800781)","(66.40258026123047, 176.781982421875, 53.70160675048828)",POINT (0.6887590289115906 0.1770036816596985),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817194864,1596289419,1,1,"(0.6863654851913452, 0.22035682201385498)","(0.6914380788803101, 0.1270006150007248)",1,1,3.0650634765625,3.079345703125,"(-42.091148376464844, 13.031909942626953, 560.0775146484375)","(23.342294692993164, 14.386819839477539, 562.7591552734375)","(64.85316467285156, 160.32383728027344, 47.711368560791016)","(66.61103820800781, 177.42401123046875, 53.935306549072266)",POINT (0.6889017820358276 0.1736787185072899),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817211531,1596306085,1,1,"(0.6842725276947021, 0.225590780377388)","(0.6922475099563599, 0.126809224486351)",1,1,3.0934295654296875,3.084197998046875,"(-42.057220458984375, 12.994949340820312, 560.2315673828125)","(23.370357513427734, 14.368072509765625, 562.959716796875)","(64.12787628173828, 159.36514282226562, 47.36238479614258)","(66.89152526855469, 177.45907592773438, 53.948036193847656)",POINT (0.688260018825531 0.1762000024318695),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,4,25,8817228198,1596322752,1,1,"(0.6868333220481873, 0.22093991935253143)","(0.6917208433151245, 0.13384559750556946)",1,1,3.0762939453125,3.09527587890625,"(-42.01110076904297, 12.944868087768555, 560.41357421875)","(23.410125732421875, 14.340486526489258, 563.18603515625)","(65.01530456542969, 160.21702575683594, 47.67247772216797)","(66.70899200439453, 176.1702117919922, 53.47895050048828)",POINT (0.6892770826816559 0.1773927584290504),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
