,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,afunc.1,const.1,-----------.1,std::vector<int>.1,inputList.1,-----------.2,-----------.3,std::unordered_map.1,int.2,int.3,Map.1,for.1,int.4,number.1,-----------.4,inputList.2,-----------.5,number.2,++.1,-----------.6,int.5,result2.1,=.1,inputList.3,0.1,-----------.7,int.6,result1.1,=.2,Map.2,inputList.4,0.2, .1,-----------.8,-----------.9,for.2,const.2,auto.1,entry.1,-----------.10,Map.3,if.1,second.1,>.12,result1.2,result2.2,=.3,entry.2,first.1,result1.3,=.4,entry.3,second.2,-----------.13,-----------.14,return.1,result2.3,-----------.15,question,code,choices
0,6,14,2274688334,2493266335,1,1,"(0.4787644147872925, 0.44768232107162476)","(0.46995699405670166, 0.4085724353790283)",1,1,2.6531524658203125,2.6721343994140625,"(-57.153160095214844, -59.80052947998047, 644.6107177734375)","(4.831912040710449, -56.704200744628906, 644.8033447265625)","(-7.0881733894348145, 118.6843490600586, 32.5557861328125)","(-10.140277862548828, 125.84814453125, 35.163230895996094)",POINT (0.4743607044219971 0.4281273782253265),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,14,2274705001,2493283001,1,1,"(0.47828319668769836, 0.42949044704437256)","(0.46688368916511536, 0.4142724573612213)",1,1,2.6439971923828125,2.671630859375,"(-57.128517150878906, -59.75836944580078, 644.6136474609375)","(4.865165710449219, -56.68498611450195, 644.7341918945312)","(-7.254948616027832, 122.0165786743164, 33.76860046386719)","(-11.205286979675293, 124.8040542602539, 34.783226013183594)",POINT (0.4725834429264069 0.4218814522027969),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,14,2274721668,2493299668,1,1,"(0.4767286777496338, 0.4245336055755615)","(0.4730113446712494, 0.41262105107307434)",1,1,2.6539764404296875,2.6725006103515625,"(-57.122657775878906, -59.73194122314453, 644.66015625)","(4.877190589904785, -56.673736572265625, 644.8479614257812)","(-7.793632507324219, 122.92453002929688, 34.09906768798828)","(-9.081831932067871, 125.1065444946289, 34.89332962036133)",POINT (0.4748700112104416 0.4185773283243179),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,14,2274738337,2493316336,1,1,"(0.4786106050014496, 0.42189374566078186)","(0.4718433916568756, 0.429685115814209)",1,1,2.63934326171875,2.6768341064453125,"(-57.12352752685547, -59.685768127441406, 644.6129150390625)","(4.887840270996094, -56.623844146728516, 644.939453125)","(-7.141476154327393, 123.40806579589844, 34.275108337402344)","(-9.48657512664795, 121.98091888427734, 33.75563049316406)",POINT (0.4752269983291626 0.4257894307374954),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,14,2274755003,2493333002,1,1,"(0.46796920895576477, 0.35551774501800537)","(0.4704628884792328, 0.3621020019054413)",1,1,2.685760498046875,2.72772216796875,"(-57.15521240234375, -59.505393981933594, 644.817138671875)","(4.846312522888184, -56.43717956542969, 645.077880859375)","(-10.829113960266113, 135.56622314453125, 38.70036315917969)","(-9.96496868133545, 134.36021423339844, 38.26130676269531)",POINT (0.4692160487174988 0.3588098734617233),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,6,14,2274771671,2493349669,1,1,"(0.4656373858451843, 0.2614424228668213)","(0.4605839252471924, 0.2809630036354065)",1,1,2.6755828857421875,2.71221923828125,"(-57.150108337402344, -59.243003845214844, 644.9580688476562)","(4.784584999084473, -56.17698669433594, 645.3775024414062)","(-11.637175559997559, 152.79815673828125, 44.97216796875)","(-13.388385772705078, 149.2225341796875, 43.6707878112793)",POINT (0.4631106555461884 0.2712027132511139),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,6,14,2274788338,2493366336,1,1,"(0.4725492298603058, 0.27951475977897644)","(0.4504912495613098, 0.26669618487358093)",1,1,2.69464111328125,2.7214508056640625,"(-57.169151306152344, -59.2023811340332, 644.8628540039062)","(4.766142845153809, -56.13504409790039, 645.2406005859375)","(-9.241978645324707, 149.48782348632812, 43.767311096191406)","(-16.88587188720703, 151.83583068847656, 44.62187576293945)",POINT (0.4615202397108078 0.2731054723262787),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,6,14,2274805005,2493383002,1,1,"(0.46786734461784363, 0.26744136214256287)","(0.4500694274902344, 0.2302975356578827)",1,1,2.681747436523437,2.7198638916015625,"(-57.21063995361328, -59.15032958984375, 645.0638427734375)","(4.778687953948975, -56.11334991455078, 645.447509765625)","(-10.86441707611084, 151.69931030273438, 44.572265625)","(-17.032045364379883, 158.5029754638672, 47.048648834228516)",POINT (0.458968386054039 0.2488694489002228),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,6,14,2274821672,2493399669,1,1,"(0.48182612657546997, 0.2532930374145508)","(0.4492305815219879, 0.24681267142295837)",1,1,2.692977905273437,2.7151641845703125,"(-57.29071807861328, -59.09969711303711, 645.234619140625)","(4.740985870361328, -56.06996154785156, 645.4014282226562)","(-6.027192115783691, 154.29087829589844, 45.5155029296875)","(-17.322742462158203, 155.4779052734375, 45.94752883911133)",POINT (0.4655283540487289 0.2500528544187546),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,6,14,2274838340,2493416336,1,1,"(0.46820348501205444, 0.24890834093093872)","(0.4443446099758148, 0.2560950219631195)",1,1,2.6865997314453125,2.701385498046875,"(-57.30812072753906, -59.0609016418457, 645.092529296875)","(4.696406364440918, -55.97160720825195, 645.0794677734375)","(-10.747920036315918, 155.09402465820312, 45.80784606933594)","(-19.01590347290039, 153.7776336669922, 45.32870864868164)",POINT (0.4562740474939346 0.2525016814470291),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
