,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,input.1,n.1,if.1,<.1,n.2,0.1,      .1,error.1,No.1,negative.1,numbers.1,      .2,letrec.1,-----------.2,helper.1,lambda.1,i.1,result.1,if.2,>.1,i.2,n.3,result.2,helper.2,+.1,1.1,1.2,*.1,result.3,i.3,).1,).2,).3,).4,).5,helper.3,1.3,1.4,).6,).7,).8,question,code,choices
0,7,31,275137208969,3466706187,1,1,"(0.5134262442588806, 0.11984897404909134)","(0.5779844522476196, 0.34089937806129456)",1,1,2.54608154296875,2.8966064453125,"(-21.401731491088867, -160.36965942382812, 837.4793090820312)","(45.764183044433594, -162.27853393554688, 832.5833740234375)","(4.923414707183838, 178.73399353027344, 54.41209411621094)","(27.295175552368164, 138.24392700195312, 39.67488098144531)",POINT (0.5457053482532501 0.230374176055193),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,7,31,275137258971,3466756187,1,1,"(0.5128491520881653, 0.047139424830675125)","(0.6165469884872437, 0.2805085778236389)",1,1,2.41680908203125,2.8204498291015625,"(-21.280048370361328, -159.54754638671875, 838.3946533203125)","(45.90243911743164, -161.66566467285156, 833.8148193359375)","(4.723430156707764, 192.05230712890625, 59.25951385498047)","(40.65851974487305, 149.3057861328125, 43.701053619384766)",POINT (0.5646980702877045 0.163824001327157),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,7,31,275137275638,3466772854,1,1,"(0.5192562341690063, 0.07308772951364517)","(0.6107034683227539, 0.25215670466423035)",1,1,2.4873504638671875,2.787109375,"(-21.341548919677734, -159.29981994628906, 838.6823120117188)","(45.82398986816406, -161.4508819580078, 834.0574951171875)","(6.943728446960449, 187.29931640625, 57.52959060668945)","(38.63352966308594, 154.49900817871094, 45.59131622314453)",POINT (0.5649798512458801 0.1626222170889378),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,7,31,275137342310,3466839524,1,1,"(0.536729633808136, 0.28557878732681274)","(0.6336252689361572, 0.2093346267938614)",1,1,2.6257476806640625,2.775848388671875,"(-22.092288970947266, -159.04925537109375, 839.3525390625)","(45.04184341430664, -161.28248596191406, 834.4019775390625)","(12.998870849609375, 148.37705993652344, 43.363033294677734)","(46.576751708984375, 162.34278869628906, 48.446224212646484)",POINT (0.5851774513721466 0.2474567070603371),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,7,31,275137608995,3467106201,1,1,"(0.6137129068374634, 0.3656107187271118)","(0.5525659322738647, 0.37819552421569824)",1,1,2.846298217773437,3.005126953125,"(-27.966995239257812, -165.92916870117188, 841.5135498046875)","(39.12846374511719, -168.52645874023438, 836.4249267578125)","(39.67639923095703, 133.7174835205078, 38.02747344970703)","(18.486736297607422, 131.41232299804688, 37.18840026855469)",POINT (0.5831394195556641 0.371903121471405),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,7,31,275140475837,3469972961,1,1,"(0.33984097838401794, 0.09120787680149078)","(0.43153637647628784, 0.22426454722881317)",1,1,2.5112457275390625,2.7615509033203125,"(-34.5172119140625, -48.31268310546875, 756.7822875976562)","(32.10859680175781, -49.32728576660156, 754.6669921875)","(-55.23024368286133, 183.980224609375, 56.32157897949219)","(-23.454429626464844, 159.6080780029297, 47.45078659057617)",POINT (0.3856886774301529 0.157736212015152),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,7,31,275140492504,3469989628,1,1,"(0.3333795964717865, 0.09535633027553558)","(0.43386590480804443, 0.2399219572544098)",1,1,2.529037475585937,2.808700561523437,"(-34.52627944946289, -48.67544937133789, 756.62158203125)","(32.0630989074707, -49.720977783203125, 754.7545776367188)","(-57.46934127807617, 183.22035217285156, 56.04498291015625)","(-22.647159576416016, 156.7400665283203, 46.4069709777832)",POINT (0.3836227506399155 0.1676391437649727),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,7,31,275140509179,3470006302,1,1,"(0.32881754636764526, 0.08716035634279251)","(0.423953652381897, 0.22765342891216278)",1,1,2.5246734619140625,2.7742156982421875,"(-34.502952575683594, -49.16553497314453, 756.4029541015625)","(32.088836669921875, -50.203582763671875, 754.4512329101562)","(-59.050262451171875, 184.72161865234375, 56.591426849365234)","(-26.082107543945312, 158.9873046875, 47.22487258911133)",POINT (0.3763855993747711 0.1574068926274776),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,7,31,275140525846,3470022969,1,1,"(0.33736497163772583, 0.06289884448051453)","(0.43596160411834717, 0.2180671989917755)",1,1,2.5159454345703125,2.76165771484375,"(-34.567955017089844, -49.638038635253906, 756.874755859375)","(32.05552673339844, -50.647918701171875, 754.1704711914062)","(-56.088260650634766, 189.16563415527344, 58.20886993408203)","(-21.920913696289062, 160.7432403564453, 47.86399459838867)",POINT (0.3866632878780365 0.140483021736145),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,7,31,275140542513,3470039635,1,1,"(0.3320762813091278, 0.056507453322410583)","(0.4282935857772827, 0.23107609152793884)",1,1,2.513153076171875,2.7853546142578125,"(-34.5318489074707, -50.16020965576172, 756.6732788085938)","(32.10078430175781, -51.190555572509766, 754.087890625)","(-57.92098617553711, 190.33633422851562, 58.63502502441406)","(-24.578170776367188, 158.36038208007812, 46.996681213378906)",POINT (0.3801849335432053 0.1437917724251747),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
