,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,using.1,std;.1,namespace.1,n>0.1,n==3.1,n=10.1,n--.1,n.1,main.1,int.1,int.2,if.1,for.1,cout.1,cout.2,countdown.1,break.1,aborted.1,<<.1,<<.2,<<.3,-----------.2,-----------.5,-----------.9,-----------.12,-----------.13,-----------.14,-----------.15,",.8",question,code,choices
0,10,17,597613598095,2839244898,1,1,"(0.5161640048027039, 0.6415071487426758)","(0.47487396001815796, 0.6470409035682678)",1,1,3.5365447998046875,3.142791748046875,"(-53.623207092285156, -42.64259338378906, 575.0574951171875)","(12.300922393798828, -45.086158752441406, 575.5523681640625)","(3.9654018878936768, 82.98955535888672, 19.56391716003418)","(-10.301328659057617, 81.97887420654297, 19.196094512939453)",POINT (0.4955189824104309 0.6442740261554718),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,10,17,597613614762,2839261565,1,1,"(0.5171712040901184, 0.6516090631484985)","(0.4752160310745239, 0.6468799710273743)",1,1,3.5389404296875,3.131439208984375,"(-53.4716796875, -42.58076095581055, 575.1192626953125)","(12.448702812194824, -45.07255554199219, 575.5460815429688)","(4.313435077667236, 81.14456176757812, 18.892417907714844)","(-10.18314266204834, 82.00828552246094, 19.206754684448242)",POINT (0.4961936175823212 0.6492445170879364),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,10,17,597613631429,2839278231,1,1,"(0.5205573439598083, 0.6409856677055359)","(0.4713991582393646, 0.6388675570487976)",1,1,3.5365142822265625,3.142822265625,"(-53.32579803466797, -42.4970703125, 575.272216796875)","(12.593812942504883, -45.04174041748047, 575.660400390625)","(5.483436584472656, 83.08480072021484, 19.59859275817871)","(-11.501967430114746, 83.47164154052734, 19.739389419555664)",POINT (0.4959782510995865 0.6399266123771667),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,10,17,597613648096,2839294898,1,1,"(0.5071898102760315, 0.6484922766685486)","(0.46901029348373413, 0.6342857480049133)",1,1,3.53460693359375,3.137939453125,"(-53.166343688964844, -42.384830474853516, 575.3359375)","(12.746769905090332, -44.9923095703125, 575.8016967773438)","(0.8645799160003662, 81.71381378173828, 19.099607467651367)","(-12.32738971710205, 84.3084487915039, 20.043991088867188)",POINT (0.4881000518798828 0.641389012336731),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,10,17,597613664764,2839311565,1,1,"(0.5145975947380066, 0.6370793581008911)","(0.4664095938205719, 0.636509120464325)",1,1,3.532196044921875,3.140655517578125,"(-53.00617218017578, -42.25218200683594, 575.436279296875)","(12.919058799743652, -44.910743713378906, 575.8775024414062)","(3.424184799194336, 83.79822540283203, 19.8582820892334)","(-13.225985527038574, 83.90237426757812, 19.896175384521484)",POINT (0.4905035942792892 0.636794239282608),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,10,17,597613681432,2839328232,1,1,"(0.5117741227149963, 0.6494343876838684)","(0.47440800070762634, 0.6311614513397217)",1,1,3.576751708984375,3.137603759765625,"(-52.84942626953125, -42.09608459472656, 575.544189453125)","(13.087124824523926, -44.80919647216797, 575.8073120117188)","(2.4485862255096436, 81.54176330566406, 19.036962509155273)","(-10.462337493896484, 84.87904357910156, 20.25166893005371)",POINT (0.4930910617113113 0.640297919511795),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,10,17,597613698099,2839344898,1,1,"(0.5134838819503784, 0.6456679701805115)","(0.4708235263824463, 0.647101640701294)",1,1,3.543060302734375,3.158660888671875,"(-52.684906005859375, -41.91411590576172, 575.5523681640625)","(13.248519897460938, -44.70012664794922, 576.0111083984375)","(3.0393638610839844, 82.22962188720703, 19.2873592376709)","(-11.700868606567383, 81.96778869628906, 19.19205093383789)",POINT (0.4921537041664124 0.6463848054409027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,10,17,597613714770,2839361569,1,1,"(0.5060253143310547, 0.6364914774894714)","(0.4718218445777893, 0.6417433619499207)",1,1,3.5516510009765625,3.1576385498046875,"(-52.524436950683594, -41.74740982055664, 575.5496826171875)","(13.40006160736084, -44.5981559753418, 576.079345703125)","(0.4622420370578766, 83.90559387207031, 19.897357940673828)","(-11.355915069580078, 82.9464111328125, 19.548233032226562)",POINT (0.488923579454422 0.639117419719696),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,10,17,597613731438,2839378236,1,1,"(0.5107887387275696, 0.6528260111808777)","(0.4759194850921631, 0.6389593482017517)",1,1,3.5788726806640625,3.1513214111328125,"(-52.36580276489258, -41.59687423706055, 575.5003051757812)","(13.545144081115723, -44.50891876220703, 576.0821533203125)","(2.1081225872039795, 80.92232513427734, 18.811500549316406)","(-9.940091133117676, 83.45487213134766, 19.73330307006836)",POINT (0.4933541119098663 0.6458926796913147),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,10,17,597613748104,2839394902,1,1,"(0.5109239220619202, 0.648540198802948)","(0.47813260555267334, 0.6524301767349243)",1,1,3.57415771484375,3.177963256835937,"(-52.2292594909668, -41.47480010986328, 575.4852294921875)","(13.690929412841797, -44.43254470825195, 575.9752197265625)","(2.1548380851745605, 81.70507049560547, 19.096418380737305)","(-9.175386428833008, 80.99459075927734, 18.837862014770508)",POINT (0.4945282638072968 0.6504851877689362),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
