,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,Breadth-first.1,BFS.1,is.1,equivalent.1,which.1,type.1,traversal.1,in.1,trees.1,question,code,choices
0,11,8,65188264294,1387128632,1,1,"(0.42676541209220886, 0.3964010179042816)","(0.38002046942710876, 0.34338289499282837)",1,1,2.8781280517578125,2.4210205078125,"(-54.409725189208984, -26.356477737426758, 658.1799926757812)","(10.420706748962402, -26.047847747802734, 661.9054565429688)","(-25.107744216918945, 128.07762145996094, 35.97465515136719)","(-41.30656814575195, 137.7890167236328, 39.50927734375)",POINT (0.4033929407596588 0.369891956448555),,,,,,,,,,,,,
0,11,8,65188280961,1387145299,1,1,"(0.42036834359169006, 0.3683074116706848)","(0.38421666622161865, 0.3603931665420532)",1,1,2.8209991455078125,2.474609375,"(-54.40898132324219, -26.338314056396484, 657.9378662109375)","(10.399368286132812, -26.040071487426758, 661.8936767578125)","(-27.324556350708008, 133.22354125976562, 37.847633361816406)","(-39.85243225097656, 134.6732177734375, 38.375240325927734)",POINT (0.4022925049066544 0.364350289106369),,,,,,,,,,,,,
0,11,8,65188297630,1387161967,1,1,"(0.42023441195487976, 0.3530445396900177)","(0.38298729062080383, 0.40836790204048157)",1,1,2.8120269775390625,2.5376129150390625,"(-54.41252136230469, -26.326915740966797, 657.84033203125)","(10.37704849243164, -26.034122467041016, 661.9058837890625)","(-27.37095832824707, 136.01927185058594, 38.86518478393555)","(-40.27846145629883, 125.8856201171875, 35.17683410644531)",POINT (0.4016108512878418 0.3807062208652496),,,,,,,,,,,,,
0,11,8,65188314296,1387178633,1,1,"(0.41085872054100037, 0.3803284466266632)","(0.3839554488658905, 0.3808688223361969)",1,1,2.82440185546875,2.4753570556640625,"(-54.413841247558594, -26.324386596679688, 657.706787109375)","(10.360583305358887, -26.028303146362305, 661.9307250976562)","(-30.619997024536133, 131.02163696289062, 37.046199798583984)","(-39.942935943603516, 130.92263793945312, 37.01019287109375)",POINT (0.3974070847034454 0.38059863448143),,,,,,,,,,,,,
0,11,8,65188330964,1387195300,1,1,"(0.41482919454574585, 0.3482465147972107)","(0.3778100907802582, 0.27870211005210876)",1,1,2.7785186767578125,2.37530517578125,"(-54.476078033447266, -26.217472076416016, 657.6591186523438)","(10.301532745361328, -25.925033569335938, 661.7998657226562)","(-29.244083404541016, 136.8981475830078, 39.18503952026367)","(-42.072547912597656, 149.63668823242188, 43.82148742675781)",POINT (0.396319642663002 0.3134743124246597),,,,,,,,,,,,1,
0,11,8,65188347631,1387211967,1,1,"(0.4080131947994232, 0.18618018925189972)","(0.3846359848976135, 0.20872874557971954)",1,1,2.80072021484375,2.50299072265625,"(-54.460121154785156, -26.018775939941406, 657.9395751953125)","(10.16720199584961, -25.711673736572266, 662.1427001953125)","(-31.606060028076172, 166.5840301513672, 49.98984146118164)","(-39.70713424682617, 162.4537811279297, 48.4865608215332)",POINT (0.3963245898485184 0.1974544674158096),,,,,,,,,,,,,
0,11,8,65188364299,1387228634,1,1,"(0.3990473747253418, 0.15013423562049866)","(0.3753828704357147, 0.21359381079673767)",1,1,2.707763671875,2.49652099609375,"(-54.47364807128906, -25.989606857299805, 657.876953125)","(10.107336044311523, -25.639934539794922, 661.99951171875)","(-34.71305465698242, 173.18661499023438, 52.392967224121094)","(-42.91366195678711, 161.56263732910156, 48.16221237182617)",POINT (0.3872151225805283 0.1818640232086182),,,,,,,,,,,1,,
0,11,8,65188380966,1387245301,1,1,"(0.4017540216445923, 0.1691228151321411)","(0.3826887607574463, 0.18289241194725037)",1,1,2.7513885498046875,2.5150146484375,"(-54.54779815673828, -26.035415649414062, 657.9609985351562)","(10.095945358276367, -25.7288761138916, 661.9636840820312)","(-33.77510070800781, 169.7084503173828, 51.12705612182617)","(-40.38190460205078, 167.18626403808594, 50.20901107788086)",POINT (0.3922213912010193 0.1760076135396957),,,,,,,,1,,,1,,
0,11,8,65188397633,1387261967,1,1,"(0.4091125726699829, 0.14713367819786072)","(0.3733679950237274, 0.1841115802526474)",1,1,2.7163238525390625,2.4857635498046875,"(-54.59462356567383, -26.06662368774414, 657.9415893554688)","(10.069498062133789, -25.759593963623047, 661.9520874023438)","(-31.225086212158203, 173.73623657226562, 52.593021392822266)","(-43.61188888549805, 166.96295166015625, 50.12771224975586)",POINT (0.3912402838468552 0.1656226292252541),,,,,,,,,,,1,,
0,11,8,65188414299,1387278633,1,1,"(0.40715813636779785, 0.15886777639389038)","(0.3651791214942932, 0.1790570169687271)",1,1,2.7533416748046875,2.511260986328125,"(-54.634490966796875, -26.116987228393555, 657.9716186523438)","(10.062305450439453, -25.792171478271484, 661.9034423828125)","(-31.90239143371582, 171.58689880371094, 51.81073760986328)","(-46.44963455200195, 167.88877868652344, 50.46476364135742)",POINT (0.3861686289310455 0.1689623966813088),,,,,,,,,,,1,,
0,11,8,65188430976,1387295309,1,1,"(0.40832528471946716, 0.1729748249053955)","(0.360643595457077, 0.1844535768032074)",1,1,2.783432006835937,2.4960479736328125,"(-54.64713668823242, -26.136444091796875, 657.8848266601562)","(10.054435729980469, -25.801008224487305, 661.9761962890625)","(-31.49791145324707, 169.00286865234375, 50.870235443115234)","(-48.021366119384766, 166.90028381347656, 50.10498046875)",POINT (0.3844844400882721 0.1787142008543014),,,,,,,,,,,1,,
0,11,8,65188447642,1387311975,1,1,"(0.4034196734428406, 0.18651697039604187)","(0.3598213195800781, 0.1962539404630661)",1,1,2.7540740966796875,2.5010223388671875,"(-54.66762924194336, -26.14954376220703, 657.7601318359375)","(10.036020278930664, -25.80353355407715, 661.9888916015625)","(-33.19788360595703, 166.52235412597656, 49.96738815307617)","(-48.30631637573242, 164.7388153076172, 49.31821823120117)",POINT (0.3816204965114594 0.191385455429554),,,,,,,,,,,,,
