,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,In.1,depth-first.1,search.1,DFS.1,how.1,many.1,times.1,is.1,a.1,given.1,visited.1,question,code,choices
0,11,9,65179263716,1378128321,1,1,"(0.40299999713897705, 0.7841345071792603)","(0.3778594434261322, 0.8539720177650452)",1,1,2.893341064453125,2.69732666015625,"(-56.35177993774414, -26.5360107421875, 657.7880859375)","(8.462397575378418, -25.684783935546875, 661.2462768554688)","(-33.343318939208984, 57.055973052978516, 10.12489128112793)","(-42.055442810058594, 44.263736724853516, 5.468879699707031)",POINT (0.3904297202825546 0.8190532624721527),,,,,,,,,,,,,,,
0,11,9,65179280384,1378144988,1,1,"(0.40494775772094727, 0.8035852909088135)","(0.3740289509296417, 0.8559619188308716)",1,1,2.8796844482421875,2.650848388671875,"(-56.35111618041992, -26.487287521362305, 657.5814819335938)","(8.479445457458496, -25.6151123046875, 661.3902587890625)","(-32.66835021972656, 53.49314498901367, 8.82811164855957)","(-43.38284683227539, 43.899227142333984, 5.3362579345703125)",POINT (0.3894883543252945 0.8297736048698425),,,,,,,,,,,,,,,1
0,11,9,65179297050,1378161654,1,1,"(0.4112868309020996, 0.8382428288459778)","(0.36351197957992554, 0.8472491502761841)",1,1,2.8233642578125,2.659164428710937,"(-56.404693603515625, -26.37060546875, 657.390625)","(8.501676559448242, -25.557342529296875, 661.6317138671875)","(-30.47163200378418, 47.144866943359375, 6.517595291137695)","(-47.027374267578125, 45.49520492553711, 5.9170660972595215)",POINT (0.3873994052410126 0.8427459895610809),,,,,,,,,,,,,,,1
0,11,9,65179497066,1378361664,1,1,"(0.43294861912727356, 0.6750239133834839)","(0.3893277645111084, 0.6865060329437256)",1,1,2.8207244873046875,2.61297607421875,"(-56.491703033447266, -25.94260025024414, 657.7373046875)","(8.489990234375, -25.11903190612793, 661.6311645507812)","(-22.965042114257812, 77.04190063476562, 17.399181365966797)","(-38.08124923706055, 74.93868255615234, 16.63373565673828)",POINT (0.411138191819191 0.6807649731636047),,,,,,,,,,,,,,,1
0,11,9,65179513742,1378378339,1,1,"(0.43506482243537903, 0.6107290983200073)","(0.3900226056575775, 0.6948385238647461)",1,1,2.9078826904296875,2.6016082763671875,"(-56.453399658203125, -25.973539352416992, 657.5985107421875)","(8.505467414855957, -25.14399528503418, 661.5828247070312)","(-22.231687545776367, 88.81886291503906, 21.685640335083008)","(-37.84046173095703, 73.41241455078125, 16.078166961669922)",POINT (0.4125437140464783 0.6527838110923767),,,,,,,,,,,,,,,1
0,11,9,65179530400,1378394997,1,1,"(0.4326625466346741, 0.6458821296691895)","(0.4005082845687866, 0.7175183892250061)",1,1,2.8841552734375,2.6370849609375,"(-56.44300079345703, -26.028146743774414, 657.9031982421875)","(8.525786399841309, -25.169692993164062, 661.619140625)","(-23.064167022705078, 82.37984466552734, 19.34203338623047)","(-34.2067985534668, 69.25813293457031, 14.566110610961914)",POINT (0.4165854156017304 0.6817002594470978),,,,,,,,,,,,,,,1
0,11,9,65179547068,1378411664,1,1,"(0.42353084683418274, 0.6491089463233948)","(0.39308395981788635, 0.7318025827407837)",1,1,2.85382080078125,2.671142578125,"(-56.405372619628906, -26.056909561157227, 657.837158203125)","(8.551764488220215, -25.178367614746094, 661.8118286132812)","(-26.2286376953125, 81.78877258300781, 19.126874923706055)","(-36.77958679199219, 66.64167022705078, 13.613825798034668)",POINT (0.4083074033260346 0.6904557645320892),,,,,,,,,,,,,,,1
0,11,9,65179563735,1378428331,1,1,"(0.42911389470100403, 0.6275250911712646)","(0.4027192294597626, 0.7026947140693665)",1,1,2.857162475585937,2.677352905273437,"(-56.36772537231445, -26.0841064453125, 657.6868896484375)","(8.581596374511719, -25.232532501220703, 661.7626342773438)","(-24.293912887573242, 85.7423095703125, 20.565872192382812)","(-33.440616607666016, 71.97338104248047, 15.55439567565918)",POINT (0.4159165620803833 0.6651099026203156),,,,,,,,,,,,,,,1
0,11,9,65179580403,1378444998,1,1,"(0.4297393262386322, 0.6309775114059448)","(0.3949850797653198, 0.6922628283500671)",1,1,2.9176177978515625,2.709686279296875,"(-56.348026275634766, -26.099529266357422, 657.8355712890625)","(8.614459991455078, -25.27145004272461, 661.8704833984375)","(-24.07717514038086, 85.10992431640625, 20.335716247558594)","(-36.120784759521484, 73.88421630859375, 16.249868392944336)",POINT (0.412362203001976 0.661620169878006),,,,,,,,,,,,,,,1
0,11,9,65179597069,1378461664,1,1,"(0.428810715675354, 0.6294132471084595)","(0.3936956524848938, 0.6755131483078003)",1,1,2.9215850830078125,2.72174072265625,"(-56.322914123535156, -26.065326690673828, 657.9246826171875)","(8.626680374145508, -25.248300552368164, 661.7249755859375)","(-24.398962020874023, 85.39646911621094, 20.439970016479492)","(-36.5676155090332, 76.9522705078125, 17.366579055786133)",POINT (0.4112531840801239 0.6524631977081299),,,,,,,,,,,,,,,1
0,11,9,65179613736,1378478331,1,1,"(0.42251965403556824, 0.3628874123096466)","(0.40865209698677063, 0.36331045627593994)",1,1,2.9908905029296875,2.692123413085937,"(-56.154090881347656, -25.716480255126953, 658.0863037109375)","(8.538082122802734, -24.927764892578125, 661.8595581054688)","(-26.579051971435547, 134.21633911132812, 38.208961486816406)","(-31.38466453552246, 134.1388397216797, 38.18080520629883)",POINT (0.4155858755111694 0.3630989342927933),,,,,,,,,,,,,,,
0,11,9,65179630403,1378494997,1,1,"(0.43095433712005615, 0.29610249400138855)","(0.3975454866886139, 0.31976786255836487)",1,1,2.970687866210937,2.70233154296875,"(-56.03455352783203, -25.54920196533203, 658.1673583984375)","(8.458991050720215, -24.771682739257812, 661.92236328125)","(-23.656116485595703, 146.4494171142578, 42.661476135253906)","(-35.23351287841797, 142.11460876464844, 41.08372116088867)",POINT (0.414249911904335 0.3079351782798767),,,,,,,,,,,,,,1,
0,11,9,65179647076,1378511670,1,1,"(0.41746801137924194, 0.2762381136417389)","(0.3921949863433838, 0.23440667986869812)",1,1,2.94415283203125,2.624908447265625,"(-56.046653747558594, -25.637699127197266, 658.0443115234375)","(8.539590835571289, -24.896770477294922, 661.7388916015625)","(-28.329622268676758, 150.0880126953125, 43.98578643798828)","(-37.08767318725586, 157.7503204345703, 46.7746467590332)",POINT (0.4048314988613129 0.2553223967552185),,,,,,,,,,,,,1,1,
0,11,9,65179663744,1378528337,1,1,"(0.424142062664032, 0.25085893273353577)","(0.3965529203414917, 0.2865525186061859)",1,1,3.0050811767578125,2.72021484375,"(-56.03240203857422, -25.70953369140625, 657.9376220703125)","(8.580522537231445, -24.94174575805664, 661.9677734375)","(-26.016813278198242, 154.73672485351562, 45.677772521972656)","(-35.57747268676758, 148.19869995117188, 43.29813766479492)",POINT (0.4103474915027618 0.2687057256698608),,,,,,,,,,,,,1,1,
0,11,9,65179680411,1378545004,1,1,"(0.42977505922317505, 0.24553994834423065)","(0.4046827256679535, 0.3190006613731384)",1,1,2.99957275390625,2.759246826171875,"(-56.01415252685547, -25.7233943939209, 657.9046630859375)","(8.591667175292969, -24.960041046142578, 662.2097778320312)","(-24.064781188964844, 155.71099853515625, 46.03242111206055)","(-32.760189056396484, 142.25511169433594, 41.13487243652344)",POINT (0.4172288924455643 0.2822703048586845),,,,,,,,,,,,,1,1,
0,11,9,65179697078,1378561670,1,1,"(0.42801985144615173, 0.24845603108406067)","(0.3982369899749756, 0.2986612617969513)",1,1,2.9983673095703125,2.761810302734375,"(-56.02758026123047, -25.748924255371094, 657.9752197265625)","(8.622918128967285, -25.000316619873047, 662.17333984375)","(-24.67302131652832, 155.17686462402344, 45.838016510009766)","(-34.99388122558594, 145.980712890625, 42.49089050292969)",POINT (0.4131284207105637 0.273558646440506),,,,,,,,,,,,,1,1,
0,11,9,65179713745,1378578337,1,1,"(0.4303150773048401, 0.23809577524662018)","(0.401713103055954, 0.28678134083747864)",1,1,3.0287017822265625,2.743560791015625,"(-56.028560638427734, -25.766338348388672, 658.1689453125)","(8.642646789550781, -25.031497955322266, 662.1970825195312)","(-23.877635955810547, 157.07456970214844, 46.528717041015625)","(-33.78927993774414, 148.1567840576172, 43.282901763916016)",POINT (0.416014090180397 0.2624385580420494),,,,,,,,,,,,,1,1,
0,11,9,65179730413,1378595004,1,1,"(0.4237828254699707, 0.22491790354251862)","(0.40369099378585815, 0.2854926288127899)",1,1,3.003326416015625,2.7578125,"(-56.0131721496582, -25.785907745361328, 658.123779296875)","(8.655787467956543, -25.061445236206055, 662.2081298828125)","(-26.14130210876465, 159.48837280273438, 47.407249450683594)","(-33.10387420654297, 148.39283752441406, 43.368812561035156)",POINT (0.4137369096279144 0.2552052661776543),,,,,,,,,,,,,1,1,
0,11,9,65179747079,1378611670,1,1,"(0.4308665692806244, 0.2831771671772003)","(0.4062696099281311, 0.2814888060092926)",1,1,3.09814453125,2.759185791015625,"(-56.00922775268555, -25.789752960205078, 658.2088012695312)","(8.682293891906738, -25.061901092529297, 661.9046630859375)","(-23.686540603637695, 148.8169708251953, 43.52318572998047)","(-32.210289001464844, 149.12623596191406, 43.635738372802734)",POINT (0.4185680896043778 0.2823329865932465),,,,,,,,,,,,,1,1,
0,11,9,65179763747,1378628337,1,1,"(0.42817753553390503, 0.2734515368938446)","(0.39354220032691956, 0.2858935594558716)",1,1,3.085784912109375,2.75006103515625,"(-55.99924087524414, -25.80087661743164, 658.2103881835938)","(8.711006164550781, -25.088878631591797, 661.8308715820312)","(-24.618383407592773, 150.59844970703125, 44.17152786254883)","(-36.62079620361328, 148.3193817138672, 43.34208297729492)",POINT (0.4108598679304123 0.2796725481748581),,,,,,,,,,,,,1,1,
0,11,9,65179780417,1378645007,1,1,"(0.4301716387271881, 0.2687778174877167)","(0.39166969060897827, 0.26726001501083374)",1,1,3.0397491455078125,2.7363433837890625,"(-55.994937896728516, -25.801128387451172, 658.2838745117188)","(8.718415260314941, -25.099891662597656, 661.867431640625)","(-23.927352905273438, 151.45452880859375, 44.4831428527832)","(-37.26968765258789, 151.73251342773438, 44.58433532714844)",POINT (0.4109206646680832 0.2680189162492752),,,,,,,,,,,,,1,1,
0,11,9,65179797084,1378661673,1,1,"(0.4135604798793793, 0.2112145572900772)","(0.3773752450942993, 0.18218845129013062)",1,1,3.080718994140625,2.656036376953125,"(-55.983238220214844, -25.72114372253418, 658.1886596679688)","(8.642389297485352, -24.988628387451172, 661.9423217773438)","(-29.68372344970703, 161.99844360351562, 48.32085418701172)","(-42.22323226928711, 167.31520080566406, 50.2559928894043)",POINT (0.3954678624868393 0.1967015042901039),,,,,,,,,,,,,,,
0,11,9,65179813750,1378678339,1,1,"(0.4149526357650757, 0.18246926367282867)","(0.37720295786857605, 0.1914110779762268)",1,1,2.939727783203125,2.6084747314453125,"(-55.97699737548828, -25.732934951782227, 658.275146484375)","(8.632875442504883, -24.989830017089844, 661.89404296875)","(-29.201295852661133, 167.2637481689453, 50.23728561401367)","(-42.2829475402832, 165.62588500976562, 49.64111328125)",POINT (0.3960777968168259 0.1869401708245277),,,,,,,,,,,,,1,,
0,11,9,65179830418,1378695006,1,1,"(0.41752052307128906, 0.22142751514911652)","(0.380336731672287, 0.19185052812099457)",1,1,3.016357421875,2.605087280273437,"(-55.99781036376953, -25.746349334716797, 658.259521484375)","(8.64159107208252, -25.014095306396484, 662.0272216796875)","(-28.31142234802246, 160.12771606445312, 47.63994598388672)","(-41.19696044921875, 165.54537963867188, 49.61182403564453)",POINT (0.398928627371788 0.2066390216350555),,,,,,,,,,,,,,,
0,11,9,65179847085,1378711673,1,1,"(0.420218825340271, 0.22393280267715454)","(0.3799561858177185, 0.18811854720115662)",1,1,2.995574951171875,2.594589233398437,"(-56.018653869628906, -25.75328826904297, 658.1951293945312)","(8.626220703125, -25.015533447265625, 662.064208984375)","(-27.376375198364258, 159.66883850097656, 47.472930908203125)","(-41.32884216308594, 166.2289581298828, 49.86064910888672)",POINT (0.4000875055789948 0.2060256749391556),,,,,,,,,,,,,,,
0,11,9,65179863753,1378728340,1,1,"(0.42396825551986694, 0.19373029470443726)","(0.38313525915145874, 0.19201503694057465)",1,1,2.902496337890625,2.5756072998046875,"(-56.03464889526367, -25.76744842529297, 658.0587158203125)","(8.612655639648438, -25.030597686767578, 662.0517578125)","(-26.07705307006836, 165.20106506347656, 49.48649978637695)","(-40.227176666259766, 165.51524353027344, 49.600833892822266)",POINT (0.4035517573356628 0.192872665822506),,,,,,,,,,,1,,,,
0,11,9,65179880419,1378745006,1,1,"(0.424900621175766, 0.22530217468738556)","(0.3808572590351105, 0.19244883954524994)",1,1,2.9641571044921875,2.572296142578125,"(-56.05756378173828, -25.791271209716797, 658.103271484375)","(8.594539642333984, -25.06538963317871, 662.125)","(-25.753950119018555, 159.41799926757812, 47.38163757324219)","(-41.016597747802734, 165.435791015625, 49.571929931640625)",POINT (0.4028789401054382 0.2088755071163178),,,,,,,,,,,,,,,
0,11,9,65179897087,1378761673,1,1,"(0.41417890787124634, 0.21865969896316528)","(0.3828893005847931, 0.17578713595867157)",1,1,2.884750366210937,2.536590576171875,"(-56.080570220947266, -25.794933319091797, 658.111328125)","(8.56218433380127, -25.072052001953125, 662.004638671875)","(-29.46942710876465, 160.63470458984375, 47.82447052001953)","(-40.31242370605469, 168.48773193359375, 50.68275451660156)",POINT (0.3985341042280197 0.1972234174609184),,,,,,,,,,,1,,,,
0,11,9,65179913758,1378778344,1,1,"(0.4091709554195404, 0.184267058968544)","(0.37629228830337524, 0.17219534516334534)",1,1,2.914031982421875,2.57086181640625,"(-56.08744812011719, -25.767898559570312, 658.1832275390625)","(8.496891021728516, -25.008697509765625, 662.1028442382812)","(-31.204866409301758, 166.93446350097656, 50.117401123046875)","(-42.598514556884766, 169.1456298828125, 50.922245025634766)",POINT (0.3927316218614578 0.1782312020659447),,,,,,,,,,,,,1,,
0,11,9,65179930426,1378795011,1,1,"(0.4109548032283783, 0.20869877934455872)","(0.37800124287605286, 0.17017705738544464)",1,1,2.88623046875,2.5560302734375,"(-56.09061813354492, -25.797082901000977, 658.206298828125)","(8.497326850891113, -25.056772232055664, 661.9332275390625)","(-30.58667755126953, 162.45925903320312, 48.48857498168945)","(-42.00630569458008, 169.51531982421875, 51.056793212890625)",POINT (0.3944780230522156 0.1894379183650017),,,,,,,,,,,,,1,,
0,11,9,65179947093,1378811678,1,1,"(0.40287691354751587, 0.1351402997970581)","(0.37684446573257446, 0.15429551899433136)",1,1,2.818389892578125,2.5546875,"(-56.12190628051758, -25.822946548461914, 658.3104248046875)","(8.495230674743652, -25.088794708251953, 662.018310546875)","(-33.385963439941406, 175.9330596923828, 53.392635345458984)","(-42.407169342041016, 172.4243927001953, 52.11555480957031)",POINT (0.3898606896400452 0.1447179093956947),,,,,,,,,,,,,1,,
0,11,9,65179963760,1378828344,1,1,"(0.402164489030838, 0.07662635296583176)","(0.37723609805107117, 0.1659521460533142)",1,1,2.6659698486328125,2.5267333984375,"(-56.12572479248047, -25.838960647583008, 658.32177734375)","(8.486435890197754, -25.089157104492188, 662.0422973632812)","(-33.63285827636719, 186.65113830566406, 57.2936897277832)","(-42.271446228027344, 170.28921508789062, 51.33844757080078)",POINT (0.3897002935409546 0.121289249509573),,,,,,,,,,,,,,,
0,11,9,65179980427,1378845011,1,1,"(0.41406697034835815, 0.1685386300086975)","(0.37309321761131287, 0.160580113530159)",1,1,2.8506622314453125,2.5170135498046875,"(-56.14107894897461, -25.88159942626953, 658.4173583984375)","(8.491190910339355, -25.118989944458008, 661.9818725585938)","(-29.508203506469727, 169.81544494628906, 51.16598129272461)","(-43.707115173339844, 171.27322387695312, 51.69655990600586)",POINT (0.3935800939798355 0.1645593717694282),,,,,,,,,,,,,1,,
0,11,9,65179997095,1378861678,1,1,"(0.41414058208465576, 0.184784933924675)","(0.3670519292354584, 0.16305610537528992)",1,1,2.862701416015625,2.523956298828125,"(-56.140602111816406, -25.875732421875, 658.3565673828125)","(8.484898567199707, -25.113779067993164, 661.8373413085938)","(-29.482694625854492, 166.839599609375, 50.082855224609375)","(-45.800636291503906, 170.81968688964844, 51.53153610229492)",POINT (0.3905962556600571 0.1739205196499824),,,,,,,,,,1,,,1,,
0,11,9,65180013762,1378878345,1,1,"(0.38461554050445557, 0.041737478226423264)","(0.36521753668785095, 0.13457608222961426)",1,1,2.749496459960937,2.5696563720703125,"(-56.15422058105469, -25.75553321838379, 658.4873046875)","(8.384002685546875, -24.976537704467773, 662.0700073242188)","(-39.71421432495117, 193.04177856445312, 59.619693756103516)","(-46.43633270263672, 176.0364227294922, 53.430213928222656)",POINT (0.3749165385961533 0.0881567802280188),,,,,,,,,,,,,,,
0,11,9,65180030429,1378895011,1,1,"(0.38073620200157166, 0.045259393751621246)","(0.3499862253665924, 0.14920026063919067)",1,1,2.7229156494140625,2.5511627197265625,"(-56.16749572753906, -25.735292434692383, 658.5091552734375)","(8.333169937133789, -24.944499969482422, 662.1552734375)","(-41.058536529541016, 192.39666748046875, 59.3848762512207)","(-51.71453094482422, 173.35768127441406, 52.45527267456055)",POINT (0.365361213684082 0.097229827195406),,,,,,,,,,,,,,,
0,11,9,65180047098,1378911680,1,1,"(0.38759857416152954, 0.11374364793300629)","(0.3557053208351135, 0.1334310621023178)",1,1,2.836181640625,2.55987548828125,"(-56.17703628540039, -25.73356819152832, 658.5794677734375)","(8.349142074584961, -24.942974090576172, 662.1064453125)","(-38.680484771728516, 179.85232543945312, 54.819122314453125)","(-49.73265075683594, 176.24615478515625, 53.50656509399414)",POINT (0.3716519474983215 0.123587355017662),,,,,,,,,,,,,,,
0,11,9,65180063766,1378928347,1,1,"(0.3778431713581085, 0.06933866441249847)","(0.3619154095649719, 0.1289147585630417)",1,1,2.7709503173828125,2.565170288085937,"(-56.16627883911133, -25.71167755126953, 658.5322875976562)","(8.353955268859863, -24.925479888916016, 662.1179809570312)","(-42.06108856201172, 187.98602294921875, 57.779579162597656)","(-47.58063507080078, 177.0734100341797, 53.80766677856445)",POINT (0.3698792904615402 0.0991267114877701),,,,,,,,,,,,,,,
0,11,9,65180080432,1378945013,1,1,"(0.3873060941696167, 0.10317361354827881)","(0.35498833656311035, 0.12858252227306366)",1,1,2.8450164794921875,2.5545196533203125,"(-56.157691955566406, -25.701557159423828, 658.6201171875)","(8.391754150390625, -24.911006927490234, 662.2625732421875)","(-38.781822204589844, 181.7884521484375, 55.5238037109375)","(-49.981117248535156, 177.13426208496094, 53.829811096191406)",POINT (0.3711472153663635 0.1158780679106712),,,,,,,,,,,,,,,
0,11,9,65180097100,1378961680,1,1,"(0.386056512594223, 0.07910362631082535)","(0.35865214467048645, 0.12647967040538788)",1,1,2.81439208984375,2.572128295898437,"(-56.137840270996094, -25.691560745239258, 658.6719970703125)","(8.432435989379883, -24.891300201416016, 662.2374267578125)","(-39.21487045288086, 186.19737243652344, 57.128517150878906)","(-48.71147155761719, 177.51942443847656, 53.97002029418945)",POINT (0.3723543286323547 0.1027916483581066),,,,,,,,,,,,,,,
0,11,9,65180113766,1378978346,1,1,"(0.3834927976131439, 0.03569057583808899)","(0.34655022621154785, 0.11338578909635544)",1,1,2.7287139892578125,2.5443572998046875,"(-56.106685638427734, -25.680862426757812, 658.6288452148438)","(8.477987289428711, -24.89453887939453, 662.1275024414062)","(-40.10326385498047, 194.14939880371094, 60.022830963134766)","(-52.90523147583008, 179.91786193847656, 54.84297180175781)",POINT (0.3650215119123459 0.0745381824672222),,,,,,,,,,,,,,,
0,11,9,65180130434,1378995013,1,1,"(0.38540589809417725, 0.08175138384103775)","(0.3486400246620178, 0.11994755268096924)",1,1,2.8013458251953125,2.5727996826171875,"(-56.032737731933594, -25.671810150146484, 658.2649536132812)","(8.520622253417969, -24.906566619873047, 661.980712890625)","(-39.44032287597656, 185.71240234375, 56.95199203491211)","(-52.18104553222656, 178.7159423828125, 54.4055061340332)",POINT (0.3670229613780975 0.1008494682610035),,,,,,,,,,,,,,,
0,11,9,65180147101,1379011680,1,1,"(0.3816226124763489, 0.06553618609905243)","(0.35613906383514404, 0.107158362865448)",1,1,2.758163452148437,2.5689849853515625,"(-55.965904235839844, -25.65909194946289, 658.118896484375)","(8.555237770080566, -24.914722442626953, 662.1005859375)","(-40.75137710571289, 188.6825408935547, 58.03304672241211)","(-49.58234786987305, 181.0585479736328, 55.258155822753906)",POINT (0.3688808381557465 0.0863472744822502),,,,,,,,,,,,,,,
0,11,9,65180163768,1379028346,1,1,"(0.38278666138648987, 0.08437716960906982)","(0.35768669843673706, 0.12174870073795319)",1,1,2.8160552978515625,2.5937957763671875,"(-55.94167709350586, -25.65122413635254, 658.1592407226562)","(8.594842910766602, -24.90478515625, 662.0393676757812)","(-40.34797286987305, 185.2313995361328, 56.77696228027344)","(-49.046024322509766, 178.38600158691406, 54.285457611083984)",POINT (0.3702366799116135 0.1030629351735115),,,,,,,,,,,,,,,
0,11,9,65180180442,1379045020,1,1,"(0.3714257478713989, 0.07849570363759995)","(0.3387005627155304, 0.12323854118585587)",1,1,2.80462646484375,2.5903778076171875,"(-55.9319953918457, -25.641159057617188, 658.221435546875)","(8.628339767456055, -24.89694595336914, 662.0386962890625)","(-44.284950256347656, 186.30873107910156, 57.16907501220703)","(-55.625423431396484, 178.11312866210938, 54.18609619140625)",POINT (0.3550631552934647 0.1008671224117279),,,,,,,,,,,,,,,
0,11,9,65180197110,1379061687,1,1,"(0.3708345890045166, 0.053762394934892654)","(0.3366398811340332, 0.13588859140872955)",1,1,2.739654541015625,2.574920654296875,"(-55.91900634765625, -25.622058868408203, 658.3687744140625)","(8.667543411254883, -24.87848663330078, 661.832275390625)","(-44.48981857299805, 190.83914184570312, 58.818023681640625)","(-56.339534759521484, 175.7960205078125, 53.34271240234375)",POINT (0.3537372350692749 0.0948254931718111),,,,,,,,,,,,,,,
0,11,9,65180213776,1379078353,1,1,"(0.3701556622982025, 0.08417990058660507)","(0.33742573857307434, 0.11629395931959152)",1,1,2.782333374023437,2.5948944091796875,"(-55.85110092163086, -25.59390640258789, 658.1620483398438)","(8.720038414001465, -24.880084991455078, 661.697998046875)","(-44.72508239746094, 185.26754760742188, 56.79010772705078)","(-56.06721115112305, 179.38519287109375, 54.64910888671875)",POINT (0.3537907004356384 0.1002369299530983),,,,,,,,,,,,,,,
0,11,9,65180230444,1379095020,1,1,"(0.3635554015636444, 0.08060666918754578)","(0.34636732935905457, 0.11162512749433517)",1,1,2.771514892578125,2.59600830078125,"(-55.78935623168945, -25.59539794921875, 658.0513916015625)","(8.760127067565918, -24.894794464111328, 661.8782958984375)","(-47.0123176574707, 185.92205810546875, 57.02832794189453)","(-52.96861267089844, 180.24037170410156, 54.96035385131836)",POINT (0.3549613654613495 0.0961158983409405),,,,,,,,,,,,,,,
