,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,-----------.2,-----------.3,-----------.4,class.1,Point.1,public.1,Point.2,().1,std.1,cout.2,<<.1,Constructor.1,called.1,-----------.7,-----------.8,-----------.9,int.1,main.1,Point.3,t1.1,*.1,t2.1,return.1,0.1,-----------.10,question,code,choices
0,13,5,408074049602,2230890858,1,1,"(0.4306122064590454, 0.19989712536334991)","(0.43444153666496277, 0.1947309523820877)",1,1,2.43597412109375,2.418487548828125,"(-49.62684631347656, 31.32684326171875, 530.9466552734375)","(11.81144905090332, 26.68950653076172, 531.4823608398438)","(-25.594894409179688, 163.64378356933594, 48.91967010498047)","(-24.27176284790039, 164.58731079101562, 49.26309585571289)",POINT (0.4325268715620041 0.1973140388727188),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,13,5,408074066272,2230907527,1,1,"(0.43113914132118225, 0.19815024733543396)","(0.439081609249115, 0.2025735229253769)",1,1,2.434478759765625,2.412826538085937,"(-49.6737060546875, 31.3136043548584, 530.893310546875)","(11.796957015991211, 26.697589874267578, 531.388671875)","(-25.412818908691406, 163.96282958984375, 49.03577423095703)","(-22.668498992919922, 163.15496826171875, 48.741756439208984)",POINT (0.4351103752851486 0.2003618851304054),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,13,5,408074082939,2230924194,1,1,"(0.4259844124317169, 0.19515137374401093)","(0.4344719350337982, 0.2079116255044937)",1,1,2.421539306640625,2.4244842529296875,"(-49.71864700317383, 31.30399513244629, 530.8226318359375)","(11.77226448059082, 26.713924407958984, 531.3346557617188)","(-27.19392204284668, 164.5105438232422, 49.235137939453125)","(-24.261260986328125, 162.18003845214844, 48.386924743652344)",POINT (0.4302281737327576 0.2015314996242523),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,5,408074099607,2230940861,1,1,"(0.4282362759113312, 0.19784961640834808)","(0.44034117460250854, 0.20274579524993896)",1,1,2.409530639648437,2.42352294921875,"(-49.773704528808594, 31.302724838256836, 530.8297119140625)","(11.741458892822266, 26.73369026184082, 531.304443359375)","(-26.415828704833984, 164.01773071289062, 49.0557861328125)","(-22.233287811279297, 163.12350463867188, 48.730308532714844)",POINT (0.4342887252569199 0.2002977058291435),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,13,5,408074116272,2230957527,1,1,"(0.43079671263694763, 0.2024267166852951)","(0.4453065097332001, 0.20417936146259308)",1,1,2.4127197265625,2.3914337158203125,"(-49.80840301513672, 31.29485321044922, 530.7529907226562)","(11.722776412963867, 26.7473087310791, 531.2426147460938)","(-25.53115463256836, 163.18177795410156, 48.75153732299805)","(-20.517627716064453, 162.8616943359375, 48.6350212097168)",POINT (0.4380516111850738 0.2033030390739441),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,5,408074132939,2230974193,1,1,"(0.4264604449272156, 0.19669769704341888)","(0.4386686682701111, 0.2058781534433365)",1,1,2.4220428466796875,2.415313720703125,"(-49.82048034667969, 31.28650665283203, 530.7430419921875)","(11.729316711425781, 26.742198944091797, 531.15576171875)","(-27.02944564819336, 164.22811889648438, 49.132354736328125)","(-22.811180114746094, 162.5514373779297, 48.52208709716797)",POINT (0.4325645565986633 0.2012879252433777),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,13,5,408074149607,2230990861,1,1,"(0.4247298538684845, 0.20693300664424896)","(0.4412961006164551, 0.20840784907341003)",1,1,2.4209442138671875,2.4084930419921875,"(-49.8128662109375, 31.27896499633789, 530.6490478515625)","(11.744422912597656, 26.742870330810547, 531.0928955078125)","(-27.627395629882812, 162.3587646484375, 48.45195388793945)","(-21.903345108032227, 162.0894012451172, 48.35395050048828)",POINT (0.4330129772424698 0.2076704278588295),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,13,5,408074166274,2231007527,1,1,"(0.4253682494163513, 0.21020077168941498)","(0.43727508187294006, 0.2061915397644043)",1,1,2.4071807861328125,2.385848999023437,"(-49.788726806640625, 31.26915740966797, 530.589111328125)","(11.77685546875, 26.717117309570312, 531.060546875)","(-27.40681266784668, 161.761962890625, 48.234745025634766)","(-23.29269027709961, 162.49420166015625, 48.50124740600586)",POINT (0.4313216656446457 0.2081961557269096),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,13,5,408074182941,2231024194,1,1,"(0.42329591512680054, 0.20704814791679382)","(0.4423954486846924, 0.20905347168445587)",1,1,2.398101806640625,2.374969482421875,"(-49.74590301513672, 31.25476837158203, 530.5164794921875)","(11.826257705688477, 26.687469482421875, 531.0667724609375)","(-28.122861862182617, 162.3377227783203, 48.44432830810547)","(-21.523473739624023, 161.97149658203125, 48.3110237121582)",POINT (0.4328456819057465 0.2080508098006248),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,13,5,408074199614,2231040866,1,1,"(0.42915621399879456, 0.2040734887123108)","(0.43941307067871094, 0.21351712942123413)",1,1,2.393539428710937,2.3813934326171875,"(-49.70363235473633, 31.24159812927246, 530.4593505859375)","(11.883211135864258, 26.64272689819336, 530.94775390625)","(-26.09797477722168, 162.88104248046875, 48.64202880859375)","(-22.553972244262695, 161.15626525878906, 48.01428985595703)",POINT (0.4342846423387528 0.2087953090667725),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,13,5,408074216280,2231057532,1,1,"(0.42739006876945496, 0.2075798362493515)","(0.4412131905555725, 0.21342575550079346)",1,1,2.3777008056640625,2.3664703369140625,"(-49.658775329589844, 31.225141525268555, 530.371337890625)","(11.932241439819336, 26.609609603881836, 530.96142578125)","(-26.70822525024414, 162.2406463623047, 48.408958435058594)","(-21.931982040405273, 161.17295837402344, 48.020355224609375)",POINT (0.4343016296625137 0.2105027958750725),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,13,5,408074232948,2231074199,1,1,"(0.42576926946640015, 0.2046414464712143)","(0.44198283553123474, 0.21073153614997864)",1,1,2.369049072265625,2.369476318359375,"(-49.61530685424805, 31.211458206176758, 530.393798828125)","(11.97900104522705, 26.574623107910156, 530.9761962890625)","(-27.26824188232422, 162.7772979736328, 48.60430908203125)","(-21.666057586669922, 161.66502380371094, 48.19947052001953)",POINT (0.4338760524988174 0.2076864913105965),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,13,5,408074249615,2231090866,1,1,"(0.4261404275894165, 0.20024140179157257)","(0.44071581959724426, 0.2136019617319107)",1,1,2.3497772216796875,2.344024658203125,"(-49.582923889160156, 31.185382843017578, 530.3671875)","(12.015412330627441, 26.541030883789062, 530.9906616210938)","(-27.14000129699707, 163.58090209960938, 48.89678955078125)","(-22.103837966918945, 161.1407928466797, 48.008636474609375)",POINT (0.4334281235933304 0.2069216817617416),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0,13,5,408074266282,2231107532,1,1,"(0.4231741726398468, 0.2080882042646408)","(0.441206157207489, 0.21180985867977142)",1,1,2.352157592773437,2.343856811523437,"(-49.55902099609375, 31.15301513671875, 530.277099609375)","(12.036438941955566, 26.514381408691406, 530.9507446289062)","(-28.164928436279297, 162.14779663085938, 48.37516784667969)","(-21.934415817260742, 161.46807861328125, 48.12775802612305)",POINT (0.4321901649236679 0.2099490314722061),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
