,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,afunc.1,int.2,-----------.2,num1.1,int.3,num2.1,if.1,num1.2,==.1,0.1,return.1,num2.2,+.1,num1.3,-----------.4,else.1,if.2,num2.3,==.2,0.2,return.2,num1.4,*.1,2.1,-----------.5,else.2,return.3,afunc.2,num1.5,-.1,1.1,num2.4,-.2,1.2,-----------.8,-----------.9,-----------.10,question,code,choices
0,13,21,407282932197,1439796626,1,1,"(0.4651987552642822, 0.3746589720249176)","(0.48282015323638916, 0.3912617266178131)",1,1,2.35174560546875,2.381561279296875,"(-56.18389892578125, 0.2750362157821655, 577.5498657226562)","(5.151861667633057, -6.17775821685791, 578.1373291015625)","(-13.644368171691895, 131.72584533691406, 37.3025016784668)","(-7.555727005004883, 128.69357299804688, 36.198829650878906)",POINT (0.4740094542503357 0.3829603493213654),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407282948864,1439813292,1,1,"(0.46756428480148315, 0.3721572756767273)","(0.47930511832237244, 0.39015066623687744)",1,1,2.3477783203125,2.399032592773437,"(-56.179569244384766, 0.26541900634765625, 577.5506591796875)","(5.176214218139648, -6.188318252563477, 578.1832885742188)","(-12.827020645141602, 132.1827392578125, 37.46879577636719)","(-8.770255088806152, 128.896484375, 36.272682189941406)",POINT (0.4734347015619278 0.3811539709568024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407282965531,1439829959,1,1,"(0.46426379680633545, 0.3871733248233795)","(0.4834127128124237, 0.4008795917034149)",1,1,2.33685302734375,2.3999481201171875,"(-56.17722702026367, 0.2577514052391052, 577.5511474609375)","(5.200178146362305, -6.194043159484863, 578.1273193359375)","(-13.96741771697998, 129.4402618408203, 36.470611572265625)","(-7.3509721755981445, 126.9369888305664, 35.55949401855469)",POINT (0.4738382548093796 0.3940264582633972),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407282982198,1439846625,1,1,"(0.4675288498401642, 0.3804621994495392)","(0.4779677391052246, 0.3852294087409973)",1,1,2.353729248046875,2.3800506591796875,"(-56.182674407958984, 0.25894927978515625, 577.5784912109375)","(5.214653968811035, -6.197938442230225, 577.997802734375)","(-12.839268684387207, 130.6659698486328, 36.916690826416016)","(-9.232364654541016, 129.7952880859375, 36.59981918334961)",POINT (0.4727482944726944 0.3828458040952682),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407282998868,1439863295,1,1,"(0.4646274745464325, 0.3791807293891907)","(0.47823449969291687, 0.3830227255821228)",1,1,2.3336181640625,2.3869171142578125,"(-56.19075012207031, 0.25716325640678406, 577.5574340820312)","(5.217737674713135, -6.197593688964844, 578.025390625)","(-13.841760635375977, 130.89999389648438, 37.001930236816406)","(-9.140203475952148, 130.19833374023438, 36.74648666381836)",POINT (0.4714309871196747 0.3811017274856567),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407283015536,1439879962,1,1,"(0.4623185098171234, 0.38836121559143066)","(0.4756096601486206, 0.3950311839580536)",1,1,2.3440399169921875,2.380035400390625,"(-56.20354080200195, 0.2581573724746704, 577.6031494140625)","(5.220217704772949, -6.193749904632568, 578.01611328125)","(-14.639557838439941, 129.22329711914062, 36.39165496826172)","(-10.047128677368164, 128.00511169433594, 35.948272705078125)",POINT (0.468964084982872 0.3916961997747421),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407283032202,1439896628,1,1,"(0.4675530195236206, 0.3721611201763153)","(0.4749991297721863, 0.385887086391449)",1,1,2.3179931640625,2.37213134765625,"(-56.21852493286133, 0.25188130140304565, 577.619140625)","(5.21403694152832, -6.195497035980225, 578.0253295898438)","(-12.83089828491211, 132.18202209472656, 37.468544006347656)","(-10.258087158203125, 129.6751708984375, 36.55612564086914)",POINT (0.4712760746479034 0.3790241032838821),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407283048870,1439913295,1,1,"(0.4629369080066681, 0.37804901599884033)","(0.4813239276409149, 0.3727010190486908)",1,1,2.335662841796875,2.35400390625,"(-56.23938751220703, 0.25013476610183716, 577.6153564453125)","(5.201300621032715, -6.192491054534912, 578.016357421875)","(-14.425886154174805, 131.106689453125, 37.07714080810547)","(-8.072700500488281, 132.08343505859375, 37.43264389038086)",POINT (0.4721304178237915 0.3753750175237656),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407283065537,1439929962,1,1,"(0.4655541777610779, 0.3846476674079895)","(0.4783404767513275, 0.3912097215652466)",1,1,2.3285369873046875,2.375732421875,"(-56.26206588745117, 0.2505566477775574, 577.5927734375)","(5.183231830596924, -6.184259414672852, 578.1275634765625)","(-13.521560668945312, 129.9015350341797, 36.638519287109375)","(-9.103572845458984, 128.70306396484375, 36.202308654785156)",POINT (0.4719473272562027 0.387928694486618),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407283082204,1439946628,1,1,"(0.4641675651073456, 0.37858086824417114)","(0.47941043972969055, 0.40149790048599243)",1,1,2.3185272216796875,2.3876953125,"(-56.301883697509766, 0.2521180510520935, 577.5950927734375)","(5.1571784019470215, -6.177058219909668, 578.1187744140625)","(-14.000666618347168, 131.00955200195312, 37.041812896728516)","(-8.733874320983887, 126.82405853271484, 35.518409729003906)",POINT (0.4717890024185181 0.3900393843650818),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407283098871,1439963295,1,1,"(0.4662163257598877, 0.37985363602638245)","(0.4787151515483856, 0.39320850372314453)",1,1,2.3211669921875,2.374237060546875,"(-56.35309982299805, 0.26720744371414185, 577.6329956054688)","(5.12088680267334, -6.1602067947387695, 578.0174560546875)","(-13.292781829833984, 130.777099609375, 36.95719528198242)","(-8.974105834960938, 128.3380126953125, 36.069419860839844)",POINT (0.4724657386541367 0.3865310698747635),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407283115539,1439979962,1,1,"(0.4670768678188324, 0.38750797510147095)","(0.46966445446014404, 0.4063347578048706)",1,1,2.3310699462890625,2.40045166015625,"(-56.399391174316406, 0.2740779519081116, 577.5590209960938)","(5.084113121032715, -6.1418914794921875, 577.814453125)","(-12.995439529418945, 129.379150390625, 36.4483642578125)","(-12.101358413696289, 125.940673828125, 35.19688034057617)",POINT (0.4683706611394882 0.3969213664531708),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407283132211,1439996634,1,1,"(0.46339020133018494, 0.389644593000412)","(0.4765518307685852, 0.39266711473464966)",1,1,2.3324127197265625,2.362030029296875,"(-56.45899963378906, 0.2874284088611603, 577.5863037109375)","(5.029433727264404, -6.106058120727539, 577.9169921875)","(-14.269268989562988, 128.98892211914062, 36.30632400512695)","(-9.721596717834473, 128.43690490722656, 36.10542678833008)",POINT (0.4699710160493851 0.3911558538675308),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,21,407283148878,1440013301,1,1,"(0.466463178396225, 0.37623289227485657)","(0.4761173129081726, 0.3990456759929657)",1,1,2.337921142578125,2.37286376953125,"(-56.51388168334961, 0.2890651226043701, 577.538818359375)","(4.9715447425842285, -6.0846781730651855, 577.954833984375)","(-13.207475662231445, 131.43838500976562, 37.19786834716797)","(-9.871732711791992, 127.27193450927734, 35.68141174316406)",POINT (0.4712902456521988 0.3876392841339111),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
