,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,input.1,num-1.1,num-2.1,  .1,cond.1,-----------.1,    .1,zero.1,num-1.2,+.1,1.1,num-2.2,1.2,-----------.3,    .2,zero.2,num-2.3,input.2,-.1,num-1.3,1.3,1.4,nan.5,    .3,else.1,input.3,-.2,num-1.4,1.5,input.4,num-1.5,-.3,num-2.4,1.6,).1,).2,].1,).3,).4,question,code,choices
0,14,30,237791224120,4423953603,1,1,"(0.6343022584915161, 0.3221001625061035)","(0.6165586113929749, 0.27637454867362976)",1,1,3.4493865966796875,3.983001708984375,"(17.22026824951172, 93.48017883300781, 432.35894775390625)","(81.68688201904297, 91.84028625488281, 423.3795166015625)","(47.6756706237793, 146.99453735351562, 42.859859466552734)","(41.49668884277344, 155.4112091064453, 45.923255920410156)",POINT (0.6254304349422455 0.2992373555898666),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,14,30,237791240789,4423970271,1,1,"(0.6008313894271851, 0.29186612367630005)","(0.5822433829307556, 0.252391517162323)",1,1,3.4730987548828125,3.907135009765625,"(17.65049171447754, 93.75383758544922, 432.537353515625)","(81.37080383300781, 90.24256896972656, 416.53778076171875)","(36.01990509033203, 152.5596923828125, 44.88540267944336)","(29.546924591064453, 159.82574462890625, 47.530029296875)",POINT (0.5915373861789703 0.2721288204193115),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791257456,4423986938,1,1,"(0.6352567076683044, 0.2914418578147888)","(0.5996090769767761, 0.2602003812789917)",1,1,3.4526824951171875,3.924530029296875,"(17.989051818847656, 94.05329895019531, 432.8817443847656)","(82.47666931152344, 92.26476287841797, 424.1420593261719)","(48.00806427001953, 152.6377716064453, 44.913822174072266)","(35.594268798828125, 158.38836669921875, 47.00687026977539)",POINT (0.6174328923225403 0.2758211195468903),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791274124,4424003605,1,1,"(0.6291696429252625, 0.2766090929508209)","(0.6019212007522583, 0.2516082525253296)",1,1,3.413314819335937,3.897705078125,"(18.28982925415039, 94.349609375, 433.2637939453125)","(82.81959533691406, 92.47100830078125, 424.805419921875)","(45.888309478759766, 155.36802673339844, 45.90755081176758)","(36.399444580078125, 159.9699249267578, 47.58250427246094)",POINT (0.6155454218387604 0.2641086727380753),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791290790,4424020271,1,1,"(0.6334658861160278, 0.28241997957229614)","(0.5966295599937439, 0.26297125220298767)",1,1,3.414306640625,3.8758697509765625,"(18.52045440673828, 94.57691955566406, 433.50921630859375)","(82.99691772460938, 92.67703247070312, 424.710205078125)","(47.3844108581543, 154.29843139648438, 45.51824188232422)","(34.556705474853516, 157.8783416748047, 46.821231842041016)",POINT (0.6150477230548859 0.2726956158876419),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791307457,4424036938,1,1,"(0.6111060380935669, 0.27117860317230225)","(0.6046161651611328, 0.23786786198616028)",1,1,3.39361572265625,3.8923187255859375,"(18.68425750732422, 94.918212890625, 433.88421630859375)","(83.0112075805664, 92.92951202392578, 425.07470703125)","(39.597930908203125, 156.3676300048828, 46.27138137817383)","(37.337921142578125, 162.49911499023438, 48.503055572509766)",POINT (0.6078611016273499 0.2545232325792313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791324125,4424053605,1,1,"(0.6174870133399963, 0.27432236075401306)","(0.5878546833992004, 0.24461381137371063)",1,1,3.431747436523437,3.911102294921875,"(18.80207633972168, 95.21040344238281, 434.281982421875)","(82.535888671875, 91.42950439453125, 418.5548400878906)","(41.820003509521484, 155.7889404296875, 46.060760498046875)","(31.500965118408203, 161.2573699951172, 48.051109313964844)",POINT (0.6026708483695984 0.2594680860638618),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791340796,4424070276,1,1,"(0.6118379831314087, 0.26106178760528564)","(0.6033113598823547, 0.27849140763282776)",1,1,3.4198760986328125,3.842117309570313,"(18.864070892333984, 95.42788696289062, 434.7904052734375)","(83.41094970703125, 93.50001525878906, 426.70184326171875)","(39.85282897949219, 158.2298126220703, 46.94915771484375)","(36.883541107177734, 155.0215606689453, 45.78144454956055)",POINT (0.6075746715068817 0.2697765976190567),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791374131,4424103610,1,1,"(0.613520085811615, 0.2673603594303131)","(0.5925028920173645, 0.25219595432281494)",1,1,3.376373291015625,3.87908935546875,"(18.92082405090332, 95.87743377685547, 436.211669921875)","(83.45033264160156, 93.99404907226562, 427.85577392578125)","(40.43857955932617, 157.0704345703125, 46.52717590332031)","(33.11964797973633, 159.8617401123047, 47.54313659667969)",POINT (0.6030114889144897 0.259778156876564),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,14,30,237791390798,4424120276,1,1,"(0.6151220798492432, 0.301146924495697)","(0.60169517993927, 0.25486743450164795)",1,1,3.4319610595703125,3.893585205078125,"(18.905086517333984, 96.06607818603516, 437.13836669921875)","(83.45199584960938, 94.26689910888672, 428.9798889160156)","(40.99645233154297, 150.85137939453125, 44.26362991333008)","(36.320735931396484, 159.37001037597656, 47.36414337158203)",POINT (0.6084086298942566 0.2780071794986725),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
