,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,std::vector<int>.1,sequence.1,int.1,start.1,int.2,end.1,int.3,diff.1,-----------.2,std::vector<int>.2,result.1,if.1,start.2,>.1,end.2,return.1,result.2,-----------.5,else.1,while.1,start.3,<=.1,end.3,result.3,push_back.1,end.4,-----------.8,end.5,-=.1,diff.2,-----------.10,return.2,result.4,-----------.11,-----------.12,question,code,choices
0,14,13,235743136357,2375923934,1,1,"(0.644869327545166, 0.06586623936891556)","(0.6096935272216797, 0.1096559688448906)",1,1,3.1477508544921875,3.614471435546875,"(-22.49802589416504, -11.740660667419434, 658.61767578125)","(42.549537658691406, -14.761209487915039, 657.2149047851562)","(51.35548782348633, 194.15928649902344, 60.026451110839844)","(39.10605239868164, 186.0989532470703, 57.09272384643555)",POINT (0.6272814273834229 0.0877611041069031),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743153024,2375940601,1,1,"(0.6425361633300781, 0.06026472896337509)","(0.6041908860206604, 0.11181465536355972)",1,1,3.173004150390625,3.652297973632813,"(-22.51898193359375, -11.739903450012207, 658.6402587890625)","(42.52742385864258, -14.747274398803711, 657.265869140625)","(50.542999267578125, 195.1903533935547, 60.401737213134766)","(37.18981170654297, 185.70159912109375, 56.948116302490234)",POINT (0.6233635246753693 0.0860396921634674),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743169692,2375957268,1,1,"(0.6479800939559937, 0.07261354476213455)","(0.614326536655426, 0.10563062131404877)",1,1,3.1866912841796875,3.641799926757813,"(-22.556142807006836, -11.732515335083008, 658.685546875)","(42.49529266357422, -14.721548080444336, 657.3309326171875)","(52.43877410888672, 192.9173126220703, 59.57442092895508)","(40.71941375732422, 186.8398895263672, 57.362403869628906)",POINT (0.6311533153057098 0.0891220830380917),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743186358,2375973934,1,1,"(0.6409558057785034, 0.040305573493242264)","(0.6147034168243408, 0.09431064128875732)",1,1,3.16461181640625,3.664794921875,"(-22.580177307128906, -11.738234519958496, 658.6838989257812)","(42.4700927734375, -14.712779998779297, 657.3460693359375)","(49.99267578125, 198.8642120361328, 61.73890686035156)","(40.85066604614258, 188.92355346679688, 58.12078857421875)",POINT (0.6278296113014221 0.0673081073909998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743203034,2375990609,1,1,"(0.6430004835128784, 0.06579524278640747)","(0.6207771897315979, 0.10328200459480286)",1,1,3.21429443359375,3.6600341796875,"(-22.61395263671875, -11.753127098083496, 658.6575927734375)","(42.42999267578125, -14.706418991088867, 657.2670288085938)","(50.704708099365234, 194.17236328125, 60.03122329711914)","(42.96577072143555, 187.27220153808594, 57.51976776123047)",POINT (0.6318888366222382 0.0845386236906052),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743219701,2376007276,1,1,"(0.6430598497390747, 0.04351244121789932)","(0.61200350522995, 0.09969624876976013)",1,1,3.191925048828125,3.6641998291015625,"(-22.649681091308594, -11.770919799804688, 658.655029296875)","(42.39751434326172, -14.708697319030762, 657.1751708984375)","(50.72536087036133, 198.27394104003906, 61.524051666259766)","(39.91044235229492, 187.93223571777344, 57.760005950927734)",POINT (0.6275316774845123 0.0716043449938297),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743236368,2376023942,1,1,"(0.6413419246673584, 0.048184528946876526)","(0.6024781465530396, 0.11197242140769958)",1,1,3.2079315185546875,3.678634643554688,"(-22.683124542236328, -11.787424087524414, 658.6407470703125)","(42.380638122558594, -14.712090492248535, 657.2371215820312)","(50.127132415771484, 197.41395568847656, 61.211055755615234)","(36.5933723449707, 185.6725616455078, 56.93755340576172)",POINT (0.621910035610199 0.0800784751772881),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743253036,2376040610,1,1,"(0.6475963592529297, 0.05150897800922394)","(0.6067684292793274, 0.09465508162975311)",1,1,3.2194366455078125,3.695327758789064,"(-22.718177795410156, -11.799589157104492, 658.602294921875)","(42.34904479980469, -14.711357116699219, 657.14501953125)","(52.305137634277344, 196.80203247070312, 60.98830032348633)","(38.08740234375, 188.8601531982422, 58.09773254394531)",POINT (0.6271823942661285 0.0730820298194885),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743269703,2376057276,1,1,"(0.6443247199058533, 0.0573953352868557)","(0.6104674339294434, 0.10107975453138351)",1,1,3.235504150390625,3.705490112304688,"(-22.74810791015625, -11.802876472473145, 658.4921264648438)","(42.312713623046875, -14.705643653869629, 657.041748046875)","(51.165836334228516, 195.71852111816406, 60.593963623046875)","(39.37554931640625, 187.67758178710938, 57.66728210449219)",POINT (0.6273960769176483 0.0792375449091196),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,13,235743286371,2376073943,1,1,"(0.649654746055603, 0.05779236555099487)","(0.6104563474655151, 0.10374566167593002)",1,1,3.250701904296875,3.730682373046875,"(-22.806549072265625, -11.822906494140625, 658.4161987304688)","(42.25679016113281, -14.709352493286133, 657.000732421875)","(53.02192687988281, 195.64544677734375, 60.567359924316406)","(39.37167739868164, 187.18685913085938, 57.48868942260742)",POINT (0.6300555467605591 0.0807690136134624),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
