,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,bool.1,afunc.1,const.1,-----------.1,std::vector<int>.1,numbers.1,int.1,target.1,int.2,count.1,=.1,0.1,for.1,int.3,num.1,-----------.2,numbers.2,if.1,num.2,==.1,target.2,count.2,if.2,count.3,==.2,3.1,return.1,true.1,-----------.5,-----------.6,-----------.7,return.2,false.1,-----------.8,question,code,choices
0,20,16,177267426020,3433551874,1,1,"(0.7120048403739929, 0.08739853650331497)","(0.7076877355575562, 0.10000242292881012)",1,1,2.980697631835937,2.6416168212890625,"(-53.78276824951172, -39.22545623779297, 723.96875)","(8.707259178161621, -29.794679641723633, 722.6484375)","(71.63336944580078, 184.19015502929688, 56.39794158935547)","(70.1417007446289, 181.8882293701172, 55.56010818481445)",POINT (0.7098462879657745 0.0937004797160626),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267442688,3433568542,1,1,"(0.7118647694587708, 0.08666913956403732)","(0.7202269434928894, 0.06825704127550125)",1,1,3.002914428710937,2.5932159423828125,"(-53.821739196777344, -39.22648620605469, 724.07958984375)","(8.68297004699707, -29.785213470458984, 722.6061401367188)","(71.5849609375, 184.32337951660156, 56.44644546508789)","(74.47433471679688, 187.68609619140625, 57.67036056518555)",POINT (0.7160458564758301 0.0774630904197693),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267459355,3433585208,1,1,"(0.7077857255935669, 0.07324469834566116)","(0.7151684165000916, 0.08911208808422089)",1,1,2.968048095703125,2.618408203125,"(-53.849185943603516, -39.2361946105957, 724.0737915039062)","(8.655637741088867, -29.785564422607422, 722.5201416015625)","(70.1755599975586, 186.77517700195312, 57.338783264160156)","(72.72647094726562, 183.877197265625, 56.2840461730957)",POINT (0.7114770710468292 0.081178393214941),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267476022,3433601875,1,1,"(0.7122483253479004, 0.08750517666339874)","(0.7227708101272583, 0.07394585758447647)",1,1,2.9759674072265625,2.6161651611328125,"(-53.88032531738281, -39.22322082519531, 724.098876953125)","(8.625494003295898, -29.768373489379883, 722.53515625)","(71.71752166748047, 184.17068481445312, 56.390865325927734)","(75.35327911376953, 186.6470947265625, 57.292236328125)",POINT (0.7175095677375793 0.0807255171239376),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267492689,3433618541,1,1,"(0.7167990803718567, 0.04834327846765518)","(0.714296281337738, 0.09763787686824799)",1,1,2.921478271484375,2.6505584716796875,"(-53.88951110839844, -39.23359680175781, 724.083251953125)","(8.611712455749512, -29.77081298828125, 722.4490966796875)","(73.28993225097656, 191.32308959960938, 58.99408721923828)","(72.42512512207031, 182.32008361816406, 55.71731185913086)",POINT (0.7155476808547974 0.0729905776679516),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267509356,3433635208,1,1,"(0.712119996547699, 0.03279145061969757)","(0.7079535126686096, 0.12430700659751892)",1,1,2.893524169921875,2.66339111328125,"(-53.901100158691406, -39.23027038574219, 724.1539916992188)","(8.604028701782227, -29.759708404541016, 722.4637451171875)","(71.67314910888672, 194.1634063720703, 60.02793502807617)","(70.23353576660156, 177.44931030273438, 53.94449234008789)",POINT (0.7100367546081543 0.0785492286086082),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267526024,3433651875,1,1,"(0.706987738609314, 0.08278451859951019)","(0.7064962983131409, 0.10790639370679855)",1,1,2.959335327148437,2.6394195556640625,"(-53.90753936767578, -39.241172790527344, 724.1383056640625)","(8.598787307739258, -29.77526092529297, 722.4924926757812)","(69.89984130859375, 185.03285217285156, 56.704654693603516)","(69.73001861572266, 180.44468688964844, 55.034671783447266)",POINT (0.7067420184612274 0.0953454561531544),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267542694,3433668545,1,1,"(0.715770959854126, 0.04116814211010933)","(0.7125512957572937, 0.10140296071767807)",1,1,2.901336669921875,2.6195526123046875,"(-53.896663665771484, -39.23638916015625, 724.1988525390625)","(8.614052772521973, -29.767852783203125, 722.53515625)","(72.93465423583984, 192.633544921875, 59.471065521240234)","(71.82218933105469, 181.63243103027344, 55.4670295715332)",POINT (0.7141611278057098 0.0712855514138937),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267559362,3433685212,1,1,"(0.7137815952301025, 0.03768467158079147)","(0.7149364352226257, 0.10084988176822662)",1,1,2.872161865234375,2.6250457763671875,"(-53.88151550292969, -39.248695373535156, 724.2014770507812)","(8.634387969970703, -29.78807830810547, 722.6357421875)","(72.24728393554688, 193.26974487304688, 59.70264434814453)","(72.64633178710938, 181.7334747314453, 55.50373077392578)",POINT (0.7143590152263641 0.069267276674509),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,16,177267576028,3433701878,1,1,"(0.7153810262680054, 0.10428065806627274)","(0.7176510691642761, 0.07210642099380493)",1,1,2.957275390625,2.5813751220703125,"(-53.86649703979492, -39.24010467529297, 724.262939453125)","(8.657540321350098, -29.78644561767578, 722.6928100585938)","(72.79994201660156, 181.10687255859375, 55.275718688964844)","(73.58428955078125, 186.9830780029297, 57.414451599121094)",POINT (0.7165160477161407 0.0881935395300388),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
