,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,main.1,int.2,a.1,=.1,1.1,b.1,=.2,2.1,c.1,=.3,3.1,c.2,=.4,a.2,==.1,b.2,std.1,cout.1,<<.1,c.3,return.1,0.1,-----------.6,question,code,choices
0,22,6,332138141774,1799943588,1,1,"(0.4468337893486023, 0.11925575882196426)","(0.43421730399131775, 0.18687981367111206)",1,1,3.48040771484375,3.4727783203125,"(-31.868431091308594, -86.35303497314453, 667.2696533203125)","(29.908069610595703, -86.65400695800781, 668.185546875)","(-19.989940643310547, 178.3718719482422, 54.28023910522461)","(-24.3492431640625, 166.021240234375, 49.78495788574219)",POINT (0.44052554666996 0.1530677862465382),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138158440,1799960254,1,1,"(0.44386377930641174, 0.11420249938964844)","(0.4314204156398773, 0.1837305873632431)",1,1,3.4685211181640625,3.4705047607421875,"(-31.843713760375977, -86.3498764038086, 667.3218994140625)","(29.93096923828125, -86.653076171875, 668.1959838867188)","(-21.016136169433594, 179.29478454589844, 54.616146087646484)","(-25.315629959106445, 166.5963897705078, 49.994327545166016)",POINT (0.4376420974731445 0.1489665433764458),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138175109,1799976921,1,1,"(0.4498750865459442, 0.1237451434135437)","(0.4305233061313629, 0.18412557244300842)",1,1,3.471405029296875,3.4765625,"(-31.83418846130371, -86.32857513427734, 667.37158203125)","(29.941469192504883, -86.61717224121094, 668.1820678710938)","(-18.9390811920166, 177.5519256591797, 53.98186492919922)","(-25.6256103515625, 166.5242462158203, 49.96806716918945)",POINT (0.4401991963386536 0.1539353579282761),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138191776,1799993588,1,1,"(0.4444674551486969, 0.10833393037319183)","(0.43335461616516113, 0.18073882162570953)",1,1,3.4646148681640625,3.468490600585937,"(-31.838214874267578, -86.32989501953125, 667.3461303710938)","(29.93142318725586, -86.60823822021484, 668.1455078125)","(-20.807558059692383, 180.3665771484375, 55.00630187988281)","(-24.647321701049805, 167.14279174804688, 50.19322967529297)",POINT (0.438911035656929 0.1445363759994507),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138208443,1800010254,1,1,"(0.45251742005348206, 0.11749838292598724)","(0.4290306568145752, 0.18299157917499542)",1,1,3.505889892578125,3.495346069335937,"(-31.86115074157715, -86.32046508789062, 667.3812255859375)","(29.909509658813477, -86.58352661132812, 668.1607666015625)","(-18.026090621948242, 178.69281005859375, 54.397090911865234)","(-26.141359329223633, 166.7313690185547, 50.04344177246094)",POINT (0.4407740384340286 0.1502449810504913),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138225110,1800026921,1,1,"(0.44902390241622925, 0.11197131872177124)","(0.43553856015205383, 0.19084206223487854)",1,1,3.471435546875,3.4879608154296875,"(-31.903194427490234, -86.3145751953125, 667.21630859375)","(29.859983444213867, -86.58840942382812, 668.2269287109375)","(-19.23319435119629, 179.70225524902344, 54.764488220214844)","(-23.89272117614746, 165.29757690429688, 49.5216064453125)",POINT (0.4422812312841415 0.1514066904783249),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138241777,1800043587,1,1,"(0.4520479440689087, 0.11067201942205429)","(0.4361686110496521, 0.19597822427749634)",1,1,3.48638916015625,3.492950439453125,"(-31.946548461914062, -86.31642150878906, 667.2127075195312)","(29.80504035949707, -86.56257629394531, 668.1575927734375)","(-18.18830680847168, 179.93955993652344, 54.850887298583984)","(-23.675025939941406, 164.35951232910156, 49.18019104003906)",POINT (0.4441082775592804 0.1533251218497753),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138258450,1800060260,1,1,"(0.4474886357784271, 0.1156441941857338)","(0.4337669610977173, 0.18352541327476501)",1,1,3.4917449951171875,3.50091552734375,"(-32.010948181152344, -86.36219024658203, 667.3912353515625)","(29.741579055786133, -86.57318878173828, 668.0768432617188)","(-19.763656616210938, 179.03146362304688, 54.52035140991211)","(-24.504837036132812, 166.6338653564453, 50.007972717285156)",POINT (0.4406277984380722 0.1495848037302494),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138275118,1800076927,1,1,"(0.4517728388309479, 0.1281990259885788)","(0.4319321811199188, 0.1799234002828598)",1,1,3.500640869140625,3.507354736328125,"(-32.069252014160156, -86.36444091796875, 667.3984375)","(29.697555541992188, -86.57318878173828, 668.1055297851562)","(-18.283353805541992, 176.73849487304688, 53.68574523925781)","(-25.13880729675293, 167.29171752929688, 50.2474365234375)",POINT (0.4418525099754334 0.1540612131357193),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,22,6,332138291784,1800093593,1,1,"(0.4542495608329773, 0.11395080387592316)","(0.43398141860961914, 0.18012847006320953)",1,1,3.5126190185546875,3.5058135986328125,"(-32.11109924316406, -86.37602233886719, 667.259033203125)","(29.6534481048584, -86.61135864257812, 668.1712036132812)","(-17.427587509155273, 179.34075927734375, 54.632869720458984)","(-24.430734634399414, 167.25425720214844, 50.23377990722656)",POINT (0.4441154897212982 0.1470396369695664),,,,,,,,,,,,,,,,,,,,,,,,,,1,,
