,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,input1.1,input2.1,input3.1,input4.1,input5.1,  .1,cond.1,-----------.1,    .1,and.1,>.1,input1.2,21.1,>=.1,input4.2,110.1,>=.2,input5.2,56.1,-----------.3,-----------.4,    .2,and.2,or.1,=.1,input1.3,17.1,nan.7,=.2,input1.4,21.2,-----------.8,>=.3,input2.2,3.1,=.3,input4.3,110.2,>=.4,input5.3,56.2,-----------.9,-----------.10,    .3,and.3,or.2,-----------.11,input1.5,17.2,-----------.13,=.4,input1.6,21.3,-----------.14,-----------.15,input2.3,2.1,=.5,input3.2,156.1,>=.5,input4.4,11.1,>=.6,input5.4,1054.1,-----------.16,-----------.17,    .4,and.4,or.3,-----------.18,input1.7,17.3,-----------.20,=.6,input1.8,21.4,-----------.21,-----------.22,input2.4,2.2,=.7,input3.3,156.2,>=.7,input4.5,9.1,>=.8,input5.5,1054.2,-----------.23,    .5,else.1,-----------.24,-----------.25,question,code,choices
0,25,28,248969941667,465497092,1,1,"(0.49531179666519165, 0.3060476779937744)","(0.5273070931434631, 0.34235313534736633)",1,1,3.384002685546875,2.96337890625,"(-29.18368911743164, -24.26715087890625, 651.2552490234375)","(40.62091827392578, -21.00236701965332, 651.6615600585938)","(-3.239548444747925, 144.2567901611328, 41.8633918762207)","(7.815629482269287, 137.62606811523438, 39.44997787475586)",POINT (0.5113094449043274 0.3242004066705704),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,25,28,248969958334,465513759,1,1,"(0.5065784454345703, 0.3010822832584381)","(0.5213035941123962, 0.3379056453704834)",1,1,3.390609741210937,2.9694061279296875,"(-29.142580032348633, -24.215993881225586, 651.424072265625)","(40.64203643798828, -20.944236755371094, 651.836181640625)","(0.6533627510070801, 145.1636505126953, 42.193458557128906)","(5.741275310516357, 138.4383544921875, 39.745643615722656)",POINT (0.5139410197734833 0.3194939643144608),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,25,28,248969975000,465530425,1,1,"(0.507532000541687, 0.29868343472480774)","(0.524813711643219, 0.3455694019794464)",1,1,3.39825439453125,2.974945068359375,"(-29.183753967285156, -24.23794937133789, 651.3846435546875)","(40.64894485473633, -20.95432472229004, 651.9172973632812)","(0.9828382134437561, 145.60177612304688, 42.35292053222656)","(6.95410680770874, 137.03868103027344, 39.23619079589844)",POINT (0.516172856092453 0.3221264183521271),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,25,28,248969991669,465547093,1,1,"(0.5076683163642883, 0.3040408790111542)","(0.5316249132156372, 0.32277166843414307)",1,1,3.4164276123046875,2.9739990234375,"(-29.204309463500977, -24.231801986694336, 651.4298706054688)","(40.63969039916992, -20.942140579223633, 652.1317138671875)","(1.0299389362335205, 144.623291015625, 41.99679183959961)","(9.307561874389648, 141.20237731933594, 40.75164031982422)",POINT (0.5196466147899628 0.3134062737226486),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,25,28,248970008341,465563765,1,1,"(0.5026887655258179, 0.29013603925704956)","(0.5256114602088928, 0.35227563977241516)",1,1,3.393768310546875,2.999008178710937,"(-29.243593215942383, -24.221113204956055, 651.5433959960938)","(40.618125915527344, -20.920412063598633, 652.2294311523438)","(-0.6906158328056335, 147.162841796875, 42.92109298706055)","(7.2297468185424805, 135.81385803222656, 38.79042053222656)",POINT (0.5141501128673553 0.3212058395147324),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,25,28,248970025007,465580431,1,1,"(0.5036084055900574, 0.30238065123558044)","(0.5177875757217407, 0.32949984073638916)",1,1,3.41253662109375,2.9844970703125,"(-29.28728485107422, -24.218914031982422, 651.740478515625)","(40.587425231933594, -20.903535842895508, 652.18603515625)","(-0.3728432357311249, 144.926513671875, 42.10715103149414)","(4.526395797729492, 139.9735565185547, 40.304386138916016)",POINT (0.510697990655899 0.3159402459859848),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,25,28,248970041675,465597099,1,1,"(0.5018467903137207, 0.27808672189712524)","(0.5200166702270508, 0.31212925910949707)",1,1,3.39703369140625,2.982147216796875,"(-29.333580017089844, -24.20497703552246, 651.9249267578125)","(40.55247116088867, -20.886993408203125, 652.0841064453125)","(-0.9815444350242615, 149.36351013183594, 43.722042083740234)","(5.2965989112854, 143.14605712890625, 41.459102630615234)",POINT (0.5109317302703857 0.2951079905033112),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,25,28,248970058342,465613765,1,1,"(0.502356767654419, 0.2845870852470398)","(0.5177902579307556, 0.33575525879859924)",1,1,3.39886474609375,2.9910430908203125,"(-29.362632751464844, -24.169658660888672, 651.898681640625)","(40.52714538574219, -20.870059967041016, 652.2291259765625)","(-0.8053460717201233, 148.17628479003906, 43.28996658325195)","(4.527337551116943, 138.83108520507812, 39.88859558105469)",POINT (0.5100735127925873 0.3101711720228195),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,25,28,248970075009,465630432,1,1,"(0.4964383840560913, 0.26679447293281555)","(0.5251906514167786, 0.325207382440567)",1,1,3.387557983398437,3.006011962890625,"(-29.390077590942383, -24.11861228942871, 651.89599609375)","(40.49906921386719, -20.842159271240234, 652.3271484375)","(-2.850275754928589, 151.4258575439453, 44.47272491455078)","(7.084354877471924, 140.75750732421875, 40.589744567871094)",POINT (0.5108145177364349 0.2960009276866913),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,25,28,248970091675,465647098,1,1,"(0.5046903491020203, 0.28728342056274414)","(0.5259051322937012, 0.33693137764930725)",1,1,3.4075164794921875,3.0028228759765625,"(-29.404876708984375, -24.07601547241211, 651.90625)","(40.48453140258789, -20.82059097290039, 652.388427734375)","(0.0009926914935931563, 147.68382263183594, 43.11073303222656)","(7.331231594085693, 138.61630249023438, 39.81038284301758)",POINT (0.5152977406978607 0.3121073991060257),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
