,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,afunc.1,const.1,-----------.2,-----------.3,-----------.4,std::vector<int>.1,numbers.1,int.2,output.1,=.1,0.1,for.1,int.3,num.1,-----------.5,numbers.2,if.1,num.2,%.1,2.1,==.1,0.2,&&.1,num.3,%.2,4.1,==.2,0.3,-----------.9,output.2,+=.1,num.4,*.1,num.5,*.2,num.6, .1,-----------.12,-----------.13,return.1,output.3,-----------.14,question,code,choices
0,25,19,250600780964,2096287428,1,1,"(0.47580063343048096, 0.4133336842060089)","(0.4642714262008667, 0.423878014087677)",1,1,3.3656768798828125,2.8853759765625,"(-47.14671325683594, -19.65299415588379, 641.5184326171875)","(22.79879379272461, -18.19695281982422, 642.9664306640625)","(-9.981147766113281, 124.66242980957031, 34.7315673828125)","(-13.9647855758667, 122.73661804199219, 34.03071975708008)",POINT (0.4700360298156738 0.418605849146843),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,19,250600797630,2096304094,1,1,"(0.4638107419013977, 0.3866364359855652)","(0.46920377016067505, 0.4150671362876892)",1,1,3.357391357421875,2.882904052734375,"(-47.166015625, -19.65534210205078, 641.6307373046875)","(22.78821563720703, -18.222370147705078, 643.0701904296875)","(-14.123964309692383, 129.538330078125, 36.506263732910156)","(-12.260528564453125, 124.3458251953125, 34.61638641357422)",POINT (0.4665072560310364 0.4008517861366272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,19,250600814298,2096320761,1,1,"(0.47399893403053284, 0.3967480957508087)","(0.4689674377441406, 0.4303381145000458)",1,1,3.358627319335937,2.8883514404296875,"(-47.203643798828125, -19.649776458740234, 641.786376953125)","(22.753406524658203, -18.220905303955078, 643.1300048828125)","(-10.60368537902832, 127.6915512084961, 35.83414840698242)","(-12.342188835144043, 121.55677795410156, 33.601280212402344)",POINT (0.4714831858873367 0.4135431051254272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,19,250600830965,2096337428,1,1,"(0.47176802158355713, 0.38865116238594055)","(0.4704047441482544, 0.4122352600097656)",1,1,3.342681884765625,2.894622802734375,"(-47.27450942993164, -19.68900489807129, 641.9952392578125)","(22.707622528076172, -18.242088317871094, 643.3736572265625)","(-11.37452507019043, 129.1703643798828, 36.372344970703125)","(-11.845562934875488, 124.86302947998047, 34.80461502075195)",POINT (0.4710863828659058 0.4004432111978531),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,19,250600847632,2096354094,1,1,"(0.47564494609832764, 0.392305850982666)","(0.4667573869228363, 0.40332645177841187)",1,1,3.342147827148437,2.8838653564453125,"(-47.33735656738281, -19.724834442138672, 641.951416015625)","(22.633066177368164, -18.255985260009766, 643.4589233398438)","(-10.034939765930176, 128.50286865234375, 36.12943649291992)","(-13.105818748474121, 126.49010467529297, 35.396827697753906)",POINT (0.471201166510582 0.3978161513805389),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,19,250600864299,2096370761,1,1,"(0.4746014177799225, 0.40406185388565063)","(0.4681498110294342, 0.40990719199180603)",1,1,3.3434600830078125,2.8864898681640625,"(-47.45595932006836, -19.781362533569336, 642.0951538085938)","(22.514310836791992, -18.27652359008789, 643.6728515625)","(-10.395501136779785, 126.35580444335938, 35.34794616699219)","(-12.624701499938965, 125.28822326660156, 34.95939254760742)",POINT (0.4713756144046783 0.4069845229387283),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,19,250600880967,2096387428,1,1,"(0.4777270257472992, 0.3999336361885071)","(0.46845507621765137, 0.4168913662433624)",1,1,3.3448486328125,2.865081787109375,"(-47.59138488769531, -19.810043334960938, 642.2825927734375)","(22.383865356445312, -18.24944305419922, 643.8653564453125)","(-9.315530776977539, 127.10975646972656, 35.62239074707031)","(-12.519217491149902, 124.01264953613281, 34.49514389038086)",POINT (0.4730910509824753 0.4084125012159348),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,19,250600897633,2096404094,1,1,"(0.46694132685661316, 0.3947608470916748)","(0.46490341424942017, 0.43890565633773804)",1,1,3.3263092041015625,2.8975372314453125,"(-47.74772262573242, -19.83656120300293, 642.512939453125)","(22.226503372192383, -18.212717056274414, 644.0027465820312)","(-13.042250633239746, 128.0544891357422, 35.96624755859375)","(-13.74641227722168, 119.99203491210938, 33.03174591064453)",POINT (0.4659223705530167 0.4168332517147064),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,19,250600914306,2096420766,1,1,"(0.4781239926815033, 0.3899831175804138)","(0.4715011715888977, 0.4134824872016907)",1,1,3.3274688720703125,2.8829803466796875,"(-47.91920471191406, -19.83877944946289, 642.7647705078125)","(22.04909896850586, -18.164100646972656, 644.0598754882812)","(-9.17836856842041, 128.92709350585938, 36.28382873535156)","(-11.466718673706055, 124.63525390625, 34.72169494628906)",POINT (0.4748125821352005 0.4017328023910522),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25,19,250600930973,2096437433,1,1,"(0.47645261883735657, 0.39204853773117065)","(0.4652221202850342, 0.4246952533721924)",1,1,3.329345703125,2.895233154296875,"(-48.06510925292969, -19.845422744750977, 643.0894775390625)","(21.92026138305664, -18.14105224609375, 644.619384765625)","(-9.755863189697266, 128.54986572265625, 36.146541595458984)","(-13.6362886428833, 122.58736419677734, 33.97639083862305)",POINT (0.4708373695611954 0.4083718955516815),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
