,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,num-list.1,  .1,cond.1,-----------.1,    .1,nan.1,num-list.2,-----------.2,-----------.3,-----------.4,-----------.5,    .2,even.1,car.1,num-list.3,-----------.6,     .1,append.1,afunc.2,cdr.1,num-list.4,-----------.7,list.1,car.2,num-list.5,-----------.8,-----------.9,-----------.10,    .3,else.1,cons.1,car.3,num-list.6,afunc.3,cdr.2,num-list.7,-----------.11,-----------.12,-----------.13,-----------.14,-----------.15,question,code,choices
0,26,27,2001526825,2163941921,1,1,"(0.4681999087333679, 0.16814295947551727)","(0.4791805148124695, 0.15097327530384064)",1,1,3.472900390625,3.3085479736328125,"(-57.13481140136719, -4.104621887207031, 620.089111328125)","(7.321374893188477, 0.8505244255065918, 620.7465209960938)","(-10.749165534973145, 169.88792419433594, 51.1923713684082)","(-6.943980693817139, 173.0329132080078, 52.337059020996094)",POINT (0.4736902117729187 0.159558117389679),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,27,2001543493,2163958588,1,1,"(0.46378636360168457, 0.17505958676338196)","(0.4832940697669983, 0.14581556618213654)",1,1,3.4902801513671875,3.296783447265625,"(-57.11785125732422, -4.0847883224487305, 620.0811767578125)","(7.361169815063477, 0.8554203510284424, 620.88427734375)","(-12.27862548828125, 168.62100219726562, 50.73125457763672)","(-5.518496513366699, 173.9776611328125, 52.6809196472168)",POINT (0.4735402166843414 0.1604375764727592),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,27,2001560159,2163975254,1,1,"(0.4670076370239258, 0.17147791385650635)","(0.479351669549942, 0.14519619941711426)",1,1,3.49688720703125,3.301055908203125,"(-57.15829849243164, -4.079409599304199, 620.1820678710938)","(7.353250503540039, 0.8639914393424988, 620.927001953125)","(-11.16234016418457, 169.2770538330078, 50.97004318237305)","(-6.884673118591309, 174.09112548828125, 52.72219467163086)",POINT (0.4731796532869339 0.1583370566368103),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,27,2001576827,2163991921,1,1,"(0.46874526143074036, 0.17877668142318726)","(0.4806113541126251, 0.15538421273231506)",1,1,3.5006256103515625,3.2988739013671875,"(-57.218021392822266, -4.073315620422363, 620.2794189453125)","(7.310126781463623, 0.8804733157157898, 620.95947265625)","(-10.56019401550293, 167.9401397705078, 50.483463287353516)","(-6.44814920425415, 172.22496032714844, 52.04298400878906)",POINT (0.4746783077716827 0.1670804470777512),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,27,2001593494,2164008588,1,1,"(0.47196081280708313, 0.18414482474327087)","(0.48058831691741943, 0.13949042558670044)",1,1,3.524520874023437,3.3022003173828125,"(-57.285911560058594, -4.082688331604004, 620.2564697265625)","(7.241774559020996, 0.8941099643707275, 621.099609375)","(-9.445881843566895, 166.9568328857422, 50.12556838989258)","(-6.456127166748047, 175.13626098632812, 53.102603912353516)",POINT (0.4762745648622513 0.1618176251649857),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,27,2001610161,2164025254,1,1,"(0.471409410238266, 0.17695219814777374)","(0.4799855649471283, 0.1510820984840393)",1,1,3.5020294189453125,3.311492919921875,"(-57.393821716308594, -4.053890228271484, 620.3456420898438)","(7.163778305053711, 0.9299893379211426, 621.1007080078125)","(-9.636959075927734, 168.27432250976562, 50.605064392089844)","(-6.6650071144104, 173.01300048828125, 52.32978057861328)",POINT (0.4756974875926971 0.1640171483159065),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,27,2001626830,2164041923,1,1,"(0.46754032373428345, 0.1800244003534317)","(0.4775185286998749, 0.13965484499931335)",1,1,3.517684936523437,3.2833404541015625,"(-57.490867614746094, -4.028196334838867, 620.3499755859375)","(7.068262100219727, 0.9708558917045593, 621.1128540039062)","(-10.97774600982666, 167.7115936279297, 50.40025329589844)","(-7.519927978515625, 175.10614013671875, 53.09162902832031)",POINT (0.4725294262170792 0.1598396226763725),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,27,2001643498,2164058590,1,1,"(0.4731654226779938, 0.18676713109016418)","(0.48144906759262085, 0.14434151351451874)",1,1,3.520736694335937,3.28509521484375,"(-57.59021759033203, -3.9607887268066406, 620.450927734375)","(6.981965065002441, 1.0653632879257202, 621.1792602539062)","(-9.02844524383545, 166.4765167236328, 49.95071029663086)","(-6.157851219177246, 174.24766540527344, 52.779197692871094)",POINT (0.4773072451353073 0.1655543223023415),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,27,2001660164,2164075256,1,1,"(0.46995872259140015, 0.17031608521938324)","(0.4791567027568817, 0.14314456284046173)",1,1,3.50689697265625,3.294097900390625,"(-57.689048767089844, -3.8457694053649902, 620.5733642578125)","(6.891050338745117, 1.1878917217254639, 621.137451171875)","(-10.139688491821289, 169.4898681640625, 51.04751968383789)","(-6.952237606048584, 174.4669189453125, 52.858978271484375)",POINT (0.4745577126741409 0.1567303240299225),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,27,2001676832,2164091923,1,1,"(0.47084057331085205, 0.17165791988372803)","(0.4860239028930664, 0.1440986543893814)",1,1,3.527694702148437,3.291473388671875,"(-57.781333923339844, -3.699359178543091, 620.6424560546875)","(6.79703426361084, 1.359681248664856, 621.2988891601562)","(-9.834081649780273, 169.24407958984375, 50.958038330078125)","(-4.572511672973633, 174.29214477539062, 52.795406341552734)",POINT (0.4784322381019592 0.1578782871365547),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,27,2001693499,2164108590,1,1,"(0.46857401728630066, 0.16702969372272491)","(0.4793785810470581, 0.15431125462055206)",1,1,3.5016021728515625,3.30389404296875,"(-57.88939666748047, -3.5268611907958984, 620.8934326171875)","(6.718442916870117, 1.5407112836837769, 621.34326171875)","(-10.619532585144043, 170.09182739257812, 51.2666130065918)","(-6.875338077545166, 172.42149353027344, 52.11452102661133)",POINT (0.4739762991666794 0.1606704741716385),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,27,2001710166,2164125256,1,1,"(0.46969521045684814, 0.16524387896060944)","(0.48528051376342773, 0.1382143348455429)",1,1,3.50604248046875,3.291488647460937,"(-57.969417572021484, -3.3073954582214355, 620.8890380859375)","(6.611507415771484, 1.7641844749450684, 621.515625)","(-10.231000900268555, 170.41896057128906, 51.385650634765625)","(-4.830114364624023, 175.37001037597656, 53.187652587890625)",POINT (0.4774878621101379 0.1517291069030762),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,27,2001726833,2164141923,1,1,"(0.47304612398147583, 0.16586163640022278)","(0.47758856415748596, 0.14701510965824127)",1,1,3.488128662109375,3.3057403564453125,"(-58.09543228149414, -3.0782437324523926, 621.22314453125)","(6.525547981262207, 1.985656976699829, 621.6340942382812)","(-9.069774627685547, 170.30580139160156, 51.34449005126953)","(-7.495662689208984, 173.75794982910156, 52.6009407043457)",POINT (0.4753173440694809 0.156438373029232),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,27,2001743501,2164158590,1,1,"(0.4663785994052887, 0.17232125997543335)","(0.4791099429130554, 0.13086216151714325)",1,1,3.4822540283203125,3.282089233398437,"(-58.1805305480957, -2.781458854675293, 621.4024658203125)","(6.424687385559082, 2.2545008659362793, 621.8709716796875)","(-11.3803129196167, 169.12257385253906, 50.913814544677734)","(-6.96843147277832, 176.71669006347656, 53.67784118652344)",POINT (0.4727442711591721 0.1515917107462883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,27,2001760176,2164175265,1,1,"(0.47171539068222046, 0.1706298589706421)","(0.4769340455532074, 0.14880840480327606)",1,1,3.4717559814453125,3.292938232421875,"(-58.33872985839844, -2.465812921524048, 621.7738037109375)","(6.319528102874756, 2.5445942878723145, 622.0441284179688)","(-9.53091812133789, 169.43238830566406, 51.026573181152344)","(-7.722475528717041, 173.42947387695312, 52.48137664794922)",POINT (0.4743247181177139 0.1597191318869591),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0,26,27,2001776843,2164191931,1,1,"(0.4131717085838318, 0.16388456523418427)","(0.41953107714653015, 0.13605940341949463)",1,1,3.4490966796875,3.279281616210937,"(-58.618377685546875, -2.0576720237731934, 622.2766723632812)","(6.020914554595947, 2.9357993602752686, 622.3914794921875)","(-29.81844711303711, 170.66795349121094, 51.47627639770508)","(-27.614694595336914, 175.76470947265625, 53.33134460449219)",POINT (0.416351392865181 0.1499719843268394),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
