,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,mysteryOp.1,int.2,x.1,int.3,y.1,int.4,result.1,=.1,0.1,while.1,y.2,>.1,0.2,if.1,y.3,%.1,2.1,!=.1,0.3,result.2,+=.1,x.2,x.3,*.1,=.2,2.2,y.4,/.1,=.3,2.3,-----------.14,return.1,result.3,-----------.15,question,code,choices
0,27,2,240332516304,6965175149,1,1,"(0.315202534198761, 0.19804586470127106)","(0.300110399723053, 0.29040777683258057)",1,1,3.0351715087890625,3.0026092529296875,"(-70.48587036132812, 26.942974090576172, 493.880615234375)","(-7.471977233886719, 28.916881561279297, 497.84716796875)","(-63.76835632324219, 164.41058349609375, 49.198753356933594)","(-68.99832916259766, 147.49252319335938, 43.04111099243164)",POINT (0.307656466960907 0.2442268207669258),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,2,240332532972,6965191816,1,1,"(0.3175874948501587, 0.204109326004982)","(0.2964763641357422, 0.2818582057952881)",1,1,3.042144775390625,3.01318359375,"(-70.50090789794922, 26.97248077392578, 493.93255615234375)","(-7.477047920227051, 28.93988800048828, 497.8606262207031)","(-62.94187545776367, 163.29991149902344, 48.7945671081543)","(-70.25765228271484, 149.0585479736328, 43.611141204833984)",POINT (0.3070319294929504 0.242983765900135),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,2,240332549639,6965208483,1,1,"(0.31535786390304565, 0.2005489617586136)","(0.2960135042667389, 0.28180211782455444)",1,1,3.032455444335937,3.0007476806640625,"(-70.52888488769531, 26.988447189331055, 493.95391845703125)","(-7.4937334060668945, 28.95248794555664, 497.8738098144531)","(-63.71452331542969, 163.9520721435547, 49.03191375732422)","(-70.41805267333984, 149.06883239746094, 43.6148567199707)",POINT (0.3056856840848923 0.241175539791584),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,2,240332566305,6965225149,1,1,"(0.3132750689983368, 0.1943604201078415)","(0.29563817381858826, 0.2848241627216339)",1,1,3.0056915283203125,3.0095977783203125,"(-70.54570007324219, 26.993268966674805, 493.9773864746094)","(-7.503108501434326, 28.957855224609375, 497.9146728515625)","(-64.43628692626953, 165.0856475830078, 49.44446563720703)","(-70.5481185913086, 148.51528930664062, 43.41334915161133)",POINT (0.3044566214084625 0.2395922914147377),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,2,240332582973,6965241816,1,1,"(0.3198257088661194, 0.2030358761548996)","(0.29942193627357483, 0.2779490351676941)",1,1,3.02679443359375,3.000595092773437,"(-70.5438232421875, 26.99161148071289, 493.9777526855469)","(-7.504294395446777, 28.957740783691406, 497.92864990234375)","(-62.166255950927734, 163.49655151367188, 48.866085052490234)","(-69.23690795898438, 149.7746124267578, 43.8717155456543)",POINT (0.3096238225698471 0.2404924556612968),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,2,240332599644,6965258487,1,1,"(0.3092164397239685, 0.20554161071777344)","(0.29747292399406433, 0.2827759087085724)",1,1,3.026229858398437,2.970703125,"(-70.52483367919922, 26.98047637939453, 493.87030029296875)","(-7.511292457580566, 28.951295852661133, 497.9419860839844)","(-65.84275817871094, 163.03756713867188, 48.69905090332031)","(-69.91230773925781, 148.8904571533203, 43.5499382019043)",POINT (0.3033446818590164 0.2441587597131729),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,2,240332616311,6965275153,1,1,"(0.30662262439727783, 0.20411992073059082)","(0.30012446641921997, 0.28418979048728943)",1,1,3.02447509765625,3.0067901611328125,"(-70.52576446533203, 26.97235679626465, 493.88372802734375)","(-7.515282154083252, 28.94075584411621, 498.01104736328125)","(-66.74160766601562, 163.2979736328125, 48.79384994506836)","(-68.99345397949219, 148.63145446777344, 43.455718994140625)",POINT (0.3033735454082489 0.2441548556089401),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,2,240332632978,6965291820,1,1,"(0.3122793436050415, 0.20623108744621277)","(0.2981721758842468, 0.28369200229644775)",1,1,3.01873779296875,2.99945068359375,"(-70.52500915527344, 26.96661376953125, 493.89892578125)","(-7.513017654418945, 28.928054809570312, 498.05255126953125)","(-64.7813491821289, 162.91127014160156, 48.65309524536133)","(-69.66999816894531, 148.72265625, 43.488868713378906)",POINT (0.3052257597446442 0.2449615448713303),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,2,240332649646,6965308487,1,1,"(0.3097469210624695, 0.19709846377372742)","(0.29996058344841003, 0.28684669733047485)",1,1,3.011337280273437,2.99169921875,"(-70.53523254394531, 26.968685150146484, 493.93719482421875)","(-7.522403717041016, 28.92974853515625, 498.0927734375)","(-65.65892028808594, 164.58412170410156, 49.26190948486328)","(-69.05024719238281, 148.14480590820312, 43.278533935546875)",POINT (0.3048537522554398 0.2419725805521011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,2,240332682980,6965341820,1,1,"(0.3142608404159546, 0.20730750262737274)","(0.3036096394062042, 0.28928476572036743)",1,1,3.010284423828125,2.9687042236328125,"(-70.55047607421875, 26.97178077697754, 493.99090576171875)","(-7.547646522521973, 28.94420051574707, 498.34051513671875)","(-64.09468078613281, 162.71409606933594, 48.58135223388672)","(-67.78572082519531, 147.69822692871094, 43.115989685058594)",POINT (0.3089352399110794 0.2482961341738701),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,2,240332699647,6965358487,1,1,"(0.31162551045417786, 0.20557557046413422)","(0.30657875537872314, 0.2744133174419403)",1,1,3.016708374023437,2.992889404296875,"(-70.56346130371094, 26.965351104736328, 494.01470947265625)","(-7.569087028503418, 28.9466609954834, 498.4091796875)","(-65.00792694091797, 163.03134155273438, 48.69679641723633)","(-66.75680541992188, 150.42225646972656, 44.1074333190918)",POINT (0.3091021329164505 0.2399944439530373),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,2,240332716317,6965375156,1,1,"(0.3070537745952606, 0.2007635086774826)","(0.3025713860988617, 0.2903805375099182)",1,1,3.02752685546875,2.994720458984375,"(-70.57757568359375, 26.971952438354492, 494.08050537109375)","(-7.576091766357422, 28.953041076660156, 498.4229431152344)","(-66.59219360351562, 163.9127655029297, 49.01763916015625)","(-68.1455078125, 147.49752807617188, 43.04288864135742)",POINT (0.3048125803470612 0.2455720230937004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
