,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,number.1,n.1,if.1,<=.1,n.2,0.1,0.2,      .1,letrec.1,-----------.1,helper.1,lambda.1,i.1,acc.1,if.2,>.1,i.2,n.3,acc.2,helper.2,+.1,i.3,1.1,+.2,acc.3,i.4,).1,).2,).3,).4,(.1,helper.3,1.2,0.3,).5,).6,).7,question,code,choices
0,27,32,242718286597,9350875718,1,1,"(0.46092456579208374, 0.5335097908973694)","(0.47697868943214417, 0.5520344376564026)",1,1,3.082305908203125,3.1717529296875,"(-34.85990524291992, 46.028472900390625, 482.54840087890625)","(28.016952514648438, 50.466026306152344, 485.75421142578125)","(-13.270344734191895, 102.96321868896484, 26.833770751953125)","(-7.70700216293335, 99.57003021240234, 25.5987606048584)",POINT (0.468951627612114 0.542772114276886),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718303265,9350892385,1,1,"(0.4660109877586365, 0.5196946859359741)","(0.49062392115592957, 0.5049818754196167)",1,1,3.0709686279296875,3.1741180419921875,"(-34.874855041503906, 46.090553283691406, 482.53277587890625)","(28.03375816345215, 50.52250671386719, 485.611572265625)","(-11.507707595825195, 105.49374389648438, 27.754812240600586)","(-2.9784200191497803, 108.18870544433594, 28.735700607299805)",POINT (0.478317454457283 0.5123382806777954),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718319931,9350909051,1,1,"(0.4688182473182678, 0.5316604375839233)","(0.4905608892440796, 0.5356495380401611)",1,1,3.0767974853515625,3.150726318359375,"(-34.91204833984375, 46.17028045654297, 482.5682678222656)","(28.013734817504883, 50.59325408935547, 485.56072998046875)","(-10.534903526306152, 103.30196380615234, 26.957075119018555)","(-3.0002737045288086, 102.57127380371094, 26.691137313842773)",POINT (0.4796895682811737 0.5336549878120422),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718336598,9350925718,1,1,"(0.47751742601394653, 0.5470340847969055)","(0.4893844723701477, 0.527360200881958)",1,1,3.08544921875,3.1270294189453125,"(-34.97023010253906, 46.249595642089844, 482.40582275390625)","(27.967620849609375, 50.65300750732422, 485.7738037109375)","(-7.520302772521973, 100.48595428466797, 25.932113647460938)","(-3.4079482555389404, 104.08963775634766, 27.24375343322754)",POINT (0.4834509491920471 0.5371971428394318),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718353266,9350942385,1,1,"(0.46595773100852966, 0.542077362537384)","(0.4832232594490051, 0.5244309306144714)",1,1,3.101043701171875,3.1277618408203125,"(-35.04438781738281, 46.337615966796875, 482.57977294921875)","(27.914897918701172, 50.65386199951172, 485.92059326171875)","(-11.526172637939453, 101.39387512207031, 26.262590408325195)","(-5.543031692504883, 104.62619018554688, 27.439069747924805)",POINT (0.4745904952287674 0.5332541465759277),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718369932,9350959051,1,1,"(0.47998493909835815, 0.5524609088897705)","(0.4876818358898163, 0.5301682949066162)",1,1,3.097259521484375,3.1254119873046875,"(-35.19007110595703, 46.451717376708984, 482.4456787109375)","(27.762592315673828, 50.77899169921875, 485.64581298828125)","(-6.665222644805908, 99.49190521240234, 25.57034683227539)","(-3.9979636669158936, 103.57527923583984, 27.05655288696289)",POINT (0.4838333874940872 0.5413146018981934),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718386604,9350975722,1,1,"(0.4676407277584076, 0.5293481349945068)","(0.4868396818637848, 0.5190487504005432)",1,1,3.05035400390625,3.1083526611328125,"(-35.41704559326172, 46.56098175048828, 482.743896484375)","(27.57273292541504, 50.84712219238281, 485.6480407714844)","(-10.942940711975098, 103.72550964355469, 27.11122703552246)","(-4.2898030281066895, 105.6120834350586, 27.797842025756836)",POINT (0.4772402048110962 0.524198442697525),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718403271,9350992389,1,1,"(0.46421849727630615, 0.5225681066513062)","(0.4824032783508301, 0.5304864645004272)",1,1,3.0381011962890625,3.1395416259765625,"(-35.633262634277344, 46.67512512207031, 482.86334228515625)","(27.394405364990234, 50.953826904296875, 485.76422119140625)","(-12.128870964050293, 104.9674072265625, 27.563261032104492)","(-5.827185153961182, 103.5169906616211, 27.03534698486328)",POINT (0.4733108878135681 0.5265272855758667),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718419938,9351009055,1,1,"(0.457576721906662, 0.5278636813163757)","(0.4841617941856384, 0.5217816829681396)",1,1,3.0160675048828125,3.1362762451171875,"(-35.80512237548828, 46.640113830566406, 482.51953125)","(27.1827335357666, 51.038169860839844, 485.57373046875)","(-14.430492401123047, 103.99742889404297, 27.21015739440918)","(-5.217785835266113, 105.11146545410156, 27.61567497253418)",POINT (0.4708692580461502 0.5248226821422577),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718436605,9351025722,1,1,"(0.46471142768859863, 0.5274801254272461)","(0.48343488574028015, 0.5243698954582214)",1,1,3.0414276123046875,3.11944580078125,"(-36.0716667175293, 46.69819641113281, 482.618408203125)","(26.94967269897461, 51.13962936401367, 485.4600830078125)","(-11.958050727844238, 104.06767272949219, 27.235767364501953)","(-5.469690799713135, 104.63738250732422, 27.443126678466797)",POINT (0.4740731567144394 0.5259250104427338),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718453273,9351042389,1,1,"(0.46104875206947327, 0.5249667763710022)","(0.4900926947593689, 0.5215054750442505)",1,1,3.066375732421875,3.10540771484375,"(-36.299095153808594, 46.65604019165039, 482.5152587890625)","(26.71565818786621, 51.115264892578125, 484.953369140625)","(-13.227314949035645, 104.52803802490234, 27.40334701538086)","(-3.1625277996063232, 105.16205596923828, 27.634092330932617)",POINT (0.4755707234144211 0.5232361257076263),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718469939,9351059055,1,1,"(0.47294846177101135, 0.5395285487174988)","(0.4856311082839966, 0.5301231145858765)",1,1,3.0762481689453125,3.120880126953125,"(-36.47210693359375, 46.62220764160156, 482.13134765625)","(26.518009185791016, 51.185142517089844, 484.8763427734375)","(-9.103616714477539, 101.86075592041016, 26.432504653930664)","(-4.708614349365234, 103.58355712890625, 27.059572219848633)",POINT (0.479289785027504 0.5348258316516876),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718486607,9351075722,1,1,"(0.464248389005661, 0.5281568765640259)","(0.48652562499046326, 0.5221777558326721)",1,1,3.047027587890625,3.11328125,"(-36.69920349121094, 46.57532501220703, 481.9755859375)","(26.303390502929688, 51.16484832763672, 484.6968078613281)","(-12.118521690368652, 103.94371032714844, 27.190664291381836)","(-4.398642539978027, 105.0389175415039, 27.589279174804688)",POINT (0.4753870069980621 0.525167316198349),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718503274,9351092389,1,1,"(0.46197569370269775, 0.531186044216156)","(0.48998481035232544, 0.5255651473999023)",1,1,3.059799194335937,3.119598388671875,"(-36.888580322265625, 46.519386291503906, 481.64141845703125)","(26.086376190185547, 51.14129638671875, 484.3465576171875)","(-12.906087875366211, 103.38884735107422, 26.98870849609375)","(-3.199911117553711, 104.41844940185547, 27.363439559936523)",POINT (0.4759802520275116 0.5283755958080292),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718519947,9351109061,1,1,"(0.46582114696502686, 0.5388736128807068)","(0.48895034193992615, 0.5276222825050354)",1,1,3.0664825439453125,3.1295928955078125,"(-37.09626007080078, 46.4367561340332, 481.292236328125)","(25.885311126708984, 51.1130256652832, 484.165283203125)","(-11.573498725891113, 101.980712890625, 26.476173400878906)","(-3.558384895324707, 104.04163360595703, 27.22628402709961)",POINT (0.4773857444524765 0.5332479476928711),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718536614,9351125728,1,1,"(0.46470820903778076, 0.5275853276252747)","(0.4868837893009186, 0.5176405906677246)",1,1,3.0649566650390625,3.113555908203125,"(-37.36027145385742, 46.43344497680664, 481.31201171875)","(25.64520263671875, 51.15388488769531, 484.377685546875)","(-11.959175109863281, 104.04840087890625, 27.2287654876709)","(-4.274515628814697, 105.86997985839844, 27.89179229736328)",POINT (0.4757959991693497 0.5226129591464996),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718553282,9351142395,1,1,"(0.4549577534198761, 0.5295876264572144)","(0.4845436215400696, 0.5233553051948547)",1,1,3.0995330810546875,3.1287384033203125,"(-37.59217071533203, 46.40374755859375, 481.1563720703125)","(25.400474548339844, 51.187286376953125, 483.83526611328125)","(-15.338061332702637, 103.681640625, 27.095273971557617)","(-5.085484504699707, 104.82321166992188, 27.510784149169922)",POINT (0.4697506874799728 0.5264714658260345),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718569948,9351159061,1,1,"(0.4278848171234131, 0.4230811893939972)","(0.4746328294277191, 0.4192352294921875)",1,1,3.084213256835937,3.1362762451171875,"(-37.87232971191406, 46.6048469543457, 481.0449523925781)","(25.093936920166016, 51.47385025024414, 483.70111083984375)","(-24.719816207885742, 123.19056701660156, 34.19591522216797)","(-8.519930839538574, 123.89502716064453, 34.452335357666016)",POINT (0.4512588232755661 0.4211582094430924),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,27,32,242718586616,9351175728,1,1,"(0.4379195272922516, 0.3604111969470978)","(0.45708227157592773, 0.38200825452804565)",1,1,3.099700927734375,3.0996246337890625,"(-38.17476272583008, 46.98634719848633, 480.9688415527344)","(24.772537231445312, 51.9880485534668, 483.7487487792969)","(-21.242427825927734, 134.66990661621094, 38.37407302856445)","(-14.601831436157227, 130.7139434814453, 36.93421936035156)",POINT (0.4475008994340897 0.3712097257375717),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,27,32,242718619950,9351209061,1,1,"(0.3307606279850006, 0.41810932755470276)","(0.4476497769355774, 0.4233015477657318)",1,1,2.4034576416015625,2.981414794921875,"(-38.65326690673828, 47.09458923339844, 480.84552001953125)","(24.304000854492188, 52.279693603515625, 482.9617004394531)","(-58.37690734863281, 124.10127258300781, 34.527381896972656)","(-17.87054443359375, 123.15019989013672, 34.18124771118164)",POINT (0.389205202460289 0.4207054376602173),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,27,32,242718636617,9351225728,1,1,"(0.4395645558834076, 0.37226128578186035)","(0.4466177523136139, 0.36661043763160706)",1,1,3.0310516357421875,3.127304077148437,"(-38.851959228515625, 46.993980407714844, 480.5202941894531)","(24.094829559326172, 52.25312805175781, 482.6126403808594)","(-20.6723575592041, 132.49929809570312, 37.584068298339844)","(-18.22817611694336, 133.5343780517578, 37.960777282714844)",POINT (0.4430911540985107 0.3694358617067337),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,27,32,242718653287,9351242397,1,1,"(0.44016581773757935, 0.34108641743659973)","(0.4438801109790802, 0.32187420129776)",1,1,3.078598022460937,3.1772613525390625,"(-39.0026741027832, 46.867530822753906, 479.9608459472656)","(23.91081428527832, 52.238380432128906, 482.48236083984375)","(-20.46401023864746, 138.20965576171875, 39.66241455078125)","(-19.176868438720703, 141.728759765625, 40.943321228027344)",POINT (0.4420229643583298 0.3314803093671799),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718669953,9351259063,1,1,"(0.439291775226593, 0.3340320885181427)","(0.439689040184021, 0.3296460509300232)",1,1,3.133819580078125,3.14605712890625,"(-39.217491149902344, 46.847084045410156, 480.23126220703125)","(23.728975296020508, 52.21607971191406, 482.26177978515625)","(-20.76689338684082, 139.50180053710938, 40.132728576660156)","(-20.629230499267578, 140.30519104003906, 40.42515563964844)",POINT (0.439490407705307 0.331839069724083),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,27,32,242718686621,9351275730,1,1,"(0.4317198693752289, 0.3151220679283142)","(0.4435853660106659, 0.3479587733745575)",1,1,3.131927490234375,3.1499786376953125,"(-39.3914794921875, 46.77177429199219, 479.9110107421875)","(23.54062271118164, 52.23164367675781, 482.0927429199219)","(-23.39083480834961, 142.965576171875, 41.3934326171875)","(-19.27901268005371, 136.95083618164062, 39.20425033569336)",POINT (0.4376526176929474 0.3315404206514358),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
