,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,afunc.1,lst.1,  .1,letrec.1,-----------.1,helper.1,lambda.1,lst.2,acc.1,if.1,nan.1,lst.3,acc.2,helper.2,cdr.1,lst.4,if.2,odd.1,car.1,lst.5,-----------.3,+.1,acc.3,*.1,car.2,lst.6,car.3,lst.7,-----------.6,-----------.7,acc.4,).1,).2,).3,).4,).5,helper.3,lst.8,0.1,-----------.13,-----------.14,question,code,choices
0,28,36,7719865616,7938282189,1,1,"(0.5376497507095337, 0.3870615065097809)","(0.5427795052528381, 0.3346244692802429)",1,1,3.601776123046875,3.5195770263671875,"(-55.510562896728516, 31.474708557128906, 486.92449951171875)","(8.551584243774414, 25.13825798034668, 490.0284423828125)","(13.317750930786133, 129.78834533691406, 36.597293853759766)","(15.095394134521484, 139.39329528808594, 40.093238830566406)",POINT (0.5402146279811859 0.3608429878950119),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7719882282,7938298855,1,1,"(0.5402626395225525, 0.3724653720855713)","(0.5460070967674255, 0.32288122177124023)",1,1,3.5923004150390625,3.518661499023437,"(-55.242225646972656, 31.541383743286133, 487.0099792480469)","(8.791327476501465, 25.088882446289062, 490.102294921875)","(14.223204612731934, 132.46192932128906, 37.570430755615234)","(16.2138729095459, 141.54432678222656, 40.87613296508789)",POINT (0.543134868144989 0.3476732969284058),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7719898950,7938315522,1,1,"(0.5405752658843994, 0.3688434660434723)","(0.5430872440338135, 0.3245655596256256)",1,1,3.588531494140625,3.5012664794921875,"(-55.02208709716797, 31.622081756591797, 487.18170166015625)","(9.015523910522461, 25.070419311523438, 490.4032897949219)","(14.331550598144531, 133.1253662109375, 37.81187438964844)","(15.202027320861816, 141.2357940673828, 40.763858795166016)",POINT (0.5418312549591064 0.346704512834549),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7719915617,7938332189,1,1,"(0.56558758020401, 0.37692171335220337)","(0.562595546245575, 0.35112470388412476)",1,1,3.5753173828125,3.526611328125,"(-54.67908477783203, 31.680198669433594, 487.13238525390625)","(9.335878372192383, 25.03185272216797, 490.476806640625)","(22.99921989440918, 131.64564514160156, 37.27336120605469)","(21.962366104125977, 136.3709259033203, 38.99318313598633)",POINT (0.5640915632247925 0.3640232086181641),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7719932284,7938348855,1,1,"(0.6186494827270508, 0.38423392176628113)","(0.6212474703788757, 0.326222687959671)",1,1,3.60980224609375,3.504119873046875,"(-54.23556900024414, 31.751750946044922, 487.3033447265625)","(9.691315650939941, 25.03350830078125, 490.6806945800781)","(41.38710403442383, 130.3062744140625, 36.78581619262695)","(42.28739929199219, 140.9322509765625, 40.65340042114258)",POINT (0.6199484765529633 0.3552283048629761),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7719948951,7938365522,1,1,"(0.6259515285491943, 0.3793620765209198)","(0.6267446875572205, 0.32290589809417725)",1,1,3.575668334960937,3.488616943359375,"(-54.054161071777344, 31.805246353149414, 487.21307373046875)","(9.848592758178711, 25.026329040527344, 490.8507080078125)","(43.91752243041992, 131.19863891601562, 37.11065673828125)","(44.19240188598633, 141.53977966308594, 40.87455368041992)",POINT (0.6263481080532074 0.3511339873075485),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7719965625,7938382196,1,1,"(0.6258371472358704, 0.3734767735004425)","(0.6246874928474426, 0.3296573758125305)",1,1,3.565902709960937,3.480926513671875,"(-53.962493896484375, 31.84154510498047, 487.26971435546875)","(9.966657638549805, 25.006122589111328, 490.7409362792969)","(43.877899169921875, 132.27667236328125, 37.50297927856445)","(43.4794921875, 140.30313110351562, 40.42436981201172)",POINT (0.6252623200416565 0.3515670746564865),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7719982291,7938398862,1,1,"(0.6289727091789246, 0.3707277774810791)","(0.6270725131034851, 0.3284686207771301)",1,1,3.551239013671875,3.4814453125,"(-53.87431335449219, 31.907394409179688, 487.2166748046875)","(10.031116485595703, 25.035974502563477, 490.8994140625)","(44.9644775390625, 132.7801971435547, 37.686279296875)","(44.305999755859375, 140.52085876464844, 40.503662109375)",POINT (0.6280226111412048 0.3495981991291046),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7719998959,7938415529,1,1,"(0.6300522089004517, 0.36715343594551086)","(0.6227554082870483, 0.3290201425552368)",1,1,3.558837890625,3.489593505859375,"(-53.869625091552734, 31.979351043701172, 487.34918212890625)","(10.078948974609375, 25.063461303710938, 490.8577880859375)","(45.338565826416016, 133.43492126464844, 37.924564361572266)","(42.80996322631836, 140.4198455810547, 40.46686935424805)",POINT (0.62640380859375 0.3480867892503738),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7720015626,7938432195,1,1,"(0.6294217705726624, 0.369369238615036)","(0.6294280290603638, 0.320077121257782)",1,1,3.553695678710937,3.4769744873046875,"(-53.88365936279297, 32.01175308227539, 487.3211669921875)","(10.064522743225098, 25.115083694458008, 490.7642822265625)","(45.1201057434082, 133.029052734375, 37.77683639526367)","(45.12227249145508, 142.05795288085938, 41.06309509277344)",POINT (0.6294248998165131 0.344723179936409),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7720032293,7938448862,1,1,"(0.6344466209411621, 0.3695719838142395)","(0.6256762146949768, 0.3219585120677948)",1,1,3.5619049072265625,3.467987060546875,"(-53.91371154785156, 32.02851867675781, 487.061767578125)","(10.023021697998047, 25.20443344116211, 490.8326416015625)","(46.86138916015625, 132.99192810058594, 37.76328659057617)","(43.82212448120117, 141.71331787109375, 40.93770217895508)",POINT (0.6300614178180695 0.3457652479410172),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7720048961,7938465529,1,1,"(0.6206567287445068, 0.36794793605804443)","(0.6313685178756714, 0.31356513500213623)",1,1,3.5690155029296875,3.4731903076171875,"(-54.023799896240234, 32.101417541503906, 487.2563781738281)","(9.913337707519531, 25.28662109375, 490.661376953125)","(42.082706451416016, 133.2893829345703, 37.871620178222656)","(45.79471969604492, 143.25076293945312, 41.497230529785156)",POINT (0.6260126233100891 0.3407565355300903),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7720065627,7938482195,1,1,"(0.6297553181648254, 0.3685745596885681)","(0.6286279559135437, 0.31105828285217285)",1,1,3.5504302978515625,3.46051025390625,"(-54.20309066772461, 32.16792297363281, 487.1859130859375)","(9.773958206176758, 25.429370880126953, 490.66461181640625)","(45.235679626464844, 133.1746063232422, 37.829837799072266)","(44.84501647949219, 143.70994567871094, 41.66436004638672)",POINT (0.6291916370391846 0.3398164212703705),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7720082295,7938498862,1,1,"(0.62770676612854, 0.36849892139434814)","(0.6270812749862671, 0.3154059052467346)",1,1,3.5401611328125,3.450424194335937,"(-54.38343811035156, 32.240196228027344, 486.99371337890625)","(9.574615478515625, 25.60940933227539, 490.72320556640625)","(44.52578353881836, 133.18846130371094, 37.83489227294922)","(44.30904006958008, 142.91357421875, 41.374549865722656)",POINT (0.6273940205574036 0.3419524133205414),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7720098966,7938515533,1,1,"(0.6239433288574219, 0.3652617037296295)","(0.6248571276664734, 0.3130624294281006)",1,1,3.5352783203125,3.4311981201171875,"(-54.698280334472656, 32.332489013671875, 487.1950378417969)","(9.33200740814209, 25.7847900390625, 490.6221923828125)","(43.22162628173828, 133.78143310546875, 38.05069351196289)","(43.53828430175781, 143.34283447265625, 41.5307731628418)",POINT (0.6244002282619476 0.339162066578865),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7720115633,7938532199,1,1,"(0.6228260397911072, 0.375945508480072)","(0.6236506104469299, 0.31938502192497253)",1,1,3.527587890625,3.4283447265625,"(-54.994346618652344, 32.39708709716797, 486.99639892578125)","(9.009737014770508, 26.003883361816406, 490.697021484375)","(42.834449768066406, 131.82447814941406, 37.338382720947266)","(43.12018966674805, 142.18472290039062, 41.10923767089844)",POINT (0.6232383251190186 0.3476652652025223),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7720132300,7938548866,1,1,"(0.6271597146987915, 0.3821411728858948)","(0.6251065135002136, 0.32649996876716614)",1,1,3.5247802734375,3.430633544921875,"(-55.38898849487305, 32.46493148803711, 486.9302062988281)","(8.635688781738281, 26.205692291259766, 490.55859375)","(44.336212158203125, 130.68959045410156, 36.92537307739258)","(43.62471389770508, 140.88148498535156, 40.634849548339844)",POINT (0.6261331140995026 0.3543205708265305),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,28,36,7720148968,7938565533,1,1,"(0.6166942715644836, 0.3839253783226013)","(0.6127423644065857, 0.32053542137145996)",1,1,3.530120849609375,3.426055908203125,"(-55.94767761230469, 32.562294006347656, 486.99151611328125)","(8.115091323852539, 26.50274658203125, 490.5965270996094)","(40.70956802368164, 130.36277770996094, 36.806419372558594)","(39.340084075927734, 141.97401428222656, 41.03252029418945)",POINT (0.6147183179855347 0.3522303998470306),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
