,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,-----------.2,-----------.3,-----------.4,-----------.5,define.1,afunc.1,terms.1,  .1,if.1,zero.1,terms.2,1.1,+.1,expt.1,/.1,-1.1,2.1,terms.3,afunc.2,-.1,terms.4,1.2,-----------.10,-----------.11,-----------.12,-----------.13,question,code,choices
0,29,33,757846499008,2409346629,1,1,"(0.5160303711891174, 0.425474613904953)","(0.49751853942871094, 0.43541955947875977)",1,1,2.55926513671875,2.312103271484375,"(-58.25991439819336, -65.62828063964844, 579.2567138671875)","(6.226475238800049, -71.9528579711914, 584.7039794921875)","(3.9192583560943604, 122.44503784179688, 33.924564361572266)","(-2.477057695388794, 120.62872314453125, 33.263465881347656)",POINT (0.5067744553089142 0.4304470866918564),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846515675,2409363296,1,1,"(0.5120593905448914, 0.434996098279953)","(0.4979130029678345, 0.43021729588508606)",1,1,2.565765380859375,2.3228302001953125,"(-58.283687591552734, -65.63629150390625, 579.2420043945312)","(6.209212779998779, -71.95675659179688, 584.6856689453125)","(2.547147750854492, 120.70606994628906, 33.29160690307617)","(-2.340771198272705, 121.57886505126953, 33.60927200317383)",POINT (0.5049861967563629 0.4326066970825195),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846532343,2409379963,1,1,"(0.5118981003761292, 0.4317173957824707)","(0.49426427483558655, 0.43074777722358704)",1,1,2.558807373046875,2.30108642578125,"(-58.304691314697266, -65.63081359863281, 579.17333984375)","(6.191504001617432, -71.94230651855469, 584.62939453125)","(2.491442918777466, 121.30487060546875, 33.50959777832031)","(-3.6014840602874756, 121.4819564819336, 33.574039459228516)",POINT (0.5030811876058578 0.4312325865030289),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846549009,2409396629,1,1,"(0.5116705894470215, 0.43629157543182373)","(0.49399855732917786, 0.4289201498031616)",1,1,2.578521728515625,2.302886962890625,"(-58.31935119628906, -65.63764953613281, 579.0951538085938)","(6.174756050109863, -71.95221710205078, 584.600830078125)","(2.4128215312957764, 120.4694595336914, 33.205501556396484)","(-3.6933095455169678, 121.81575775146484, 33.695518493652344)",POINT (0.5028345733880997 0.4326058626174927),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846565677,2409413296,1,1,"(0.5057068467140198, 0.42416444420814514)","(0.4952065050601959, 0.41928842663764954)",1,1,2.560394287109375,2.297149658203125,"(-58.334022521972656, -65.62409973144531, 579.016357421875)","(6.1573028564453125, -71.93934631347656, 584.5638427734375)","(0.3522256314754486, 122.68431091308594, 34.011661529541016)","(-3.275927782058716, 123.57485961914062, 34.33578109741211)",POINT (0.5004566758871078 0.4217264354228973),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846582349,2409429968,1,1,"(0.5141016840934753, 0.4290180802345276)","(0.49435901641845703, 0.43286070227622986)",1,1,2.5530242919921875,2.306060791015625,"(-58.34729766845703, -65.62871551513672, 578.9578857421875)","(6.139300346374512, -71.9532470703125, 584.5357666015625)","(3.2528414726257324, 121.79786682128906, 33.68899917602539)","(-3.568753957748413, 121.09607696533203, 33.43356704711914)",POINT (0.5042303502559662 0.4309393912553787),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846599016,2409446634,1,1,"(0.5144023299217224, 0.4323357343673706)","(0.49069473147392273, 0.4497640132904053)",1,1,2.551544189453125,2.318817138671875,"(-58.36524963378906, -65.62528228759766, 578.9930419921875)","(6.131121635437012, -71.94564819335938, 584.5169677734375)","(3.356707811355591, 121.19194793701172, 33.468482971191406)","(-4.834862232208252, 118.0089111328125, 32.309906005859375)",POINT (0.5025485306978226 0.4410498738288879),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,29,33,757846615683,2409463301,1,1,"(0.5072564482688904, 0.432280570268631)","(0.49945589900016785, 0.4318355321884155)",1,1,2.5623779296875,2.288177490234375,"(-58.377681732177734, -65.6298599243164, 578.9998779296875)","(6.12056303024292, -71.96028137207031, 584.5450439453125)","(0.8876407146453857, 121.20201873779297, 33.47215270996094)","(-1.8076422214508057, 121.28328704833984, 33.50171661376953)",POINT (0.5033561736345291 0.4320580512285232),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846632351,2409479968,1,1,"(0.5131428241729736, 0.42769965529441833)","(0.49128779768943787, 0.4181919991970062)",1,1,2.544281005859375,2.2774658203125,"(-58.3929557800293, -65.62503051757812, 579.0245971679688)","(6.1093573570251465, -71.95552062988281, 584.5455322265625)","(2.9215176105499268, 122.03865814208984, 33.776668548583984)","(-4.629944324493408, 123.77510833740234, 34.40866470336914)",POINT (0.5022153109312057 0.4229458272457123),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846649017,2409496634,1,1,"(0.5101920366287231, 0.4393230974674225)","(0.49688366055488586, 0.43701738119125366)",1,1,2.567962646484375,2.2963409423828125,"(-58.40470886230469, -65.62715148925781, 579.0411376953125)","(6.098106384277344, -71.96653747558594, 584.6123046875)","(1.9019540548324585, 119.9157943725586, 33.00397872924805)","(-2.6964285373687744, 120.33690643310547, 33.15724182128906)",POINT (0.5035378485918045 0.4381702393293381),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,29,33,757846665684,2409513300,1,1,"(0.5076619982719421, 0.4243732690811157)","(0.4942456781864166, 0.4390527606010437)",1,1,2.53399658203125,2.3065948486328125,"(-58.41921615600586, -65.63165283203125, 579.096923828125)","(6.086087226867676, -71.9670639038086, 584.6500854492188)","(1.0277520418167114, 122.64617919921875, 33.99777603149414)","(-3.607917070388794, 119.96516418457031, 33.02196502685547)",POINT (0.5009538382291794 0.4317130148410797),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846682351,2409529967,1,1,"(0.5130853056907654, 0.44048643112182617)","(0.490193247795105, 0.43058401346206665)",1,1,2.5469512939453125,2.297027587890625,"(-58.428321838378906, -65.63723754882812, 579.1041870117188)","(6.078553199768066, -71.9730224609375, 584.6693725585938)","(2.901648998260498, 119.70332336425781, 32.92667770385742)","(-5.008129119873047, 121.51188659667969, 33.58489990234375)",POINT (0.5016392767429352 0.4355352222919464),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846699019,2409546634,1,1,"(0.514100968837738, 0.4272119998931885)","(0.4899766147136688, 0.43890467286109924)",1,1,2.5438232421875,2.3096160888671875,"(-58.44091796875, -65.65272521972656, 579.167724609375)","(6.075211048126221, -71.97703552246094, 584.6876220703125)","(3.252589464187622, 122.12772369384766, 33.80906295776367)","(-5.082988739013672, 119.99221801757812, 33.03178024291992)",POINT (0.5020387917757034 0.4330583363771439),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846715689,2409563304,1,1,"(0.5096544623374939, 0.4361419975757599)","(0.4880041182041168, 0.4209567606449127)",1,1,2.552032470703125,2.27813720703125,"(-58.43394088745117, -65.65546417236328, 579.1029052734375)","(6.078293800354004, -71.99371337890625, 584.7164306640625)","(1.7162038087844849, 120.49678039550781, 33.21543502807617)","(-5.76453971862793, 123.27017211914062, 34.224876403808594)",POINT (0.4988292902708054 0.4285493791103363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846732356,2409579970,1,1,"(0.5079030394554138, 0.43806082010269165)","(0.500961184501648, 0.426725298166275)",1,1,2.544525146484375,2.285186767578125,"(-58.43943786621094, -65.67439270019531, 579.1869506835938)","(6.07716178894043, -72.0044937133789, 584.716796875)","(1.1110517978668213, 120.14633178710938, 33.087886810302734)","(-1.2875330448150635, 122.21662139892578, 33.841434478759766)",POINT (0.5044321119785309 0.4323930591344833),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846749023,2409596637,1,1,"(0.514644980430603, 0.43587955832481384)","(0.5000020861625671, 0.4418209195137024)",1,1,2.561126708984375,2.308990478515625,"(-58.437599182128906, -65.68138122558594, 579.1972045898438)","(6.0828351974487305, -72.02191925048828, 584.7637939453125)","(3.440559148788452, 120.54470825195312, 33.23289489746094)","(-1.6189241409301758, 119.45960235595703, 32.83795928955078)",POINT (0.5073235332965851 0.4388502389192581),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,29,33,757846765691,2409613304,1,1,"(0.5147325396537781, 0.43014979362487793)","(0.4934169054031372, 0.4285718500614166)",1,1,2.538436889648437,2.2781219482421875,"(-58.42558288574219, -65.68238830566406, 579.172119140625)","(6.092145919799805, -72.02789306640625, 584.735595703125)","(3.4708266258239746, 121.59117126464844, 33.613765716552734)","(-3.8942763805389404, 121.87936401367188, 33.71868896484375)",POINT (0.5040747225284576 0.4293608218431473),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846782358,2409629971,1,1,"(0.50919508934021, 0.42902639508247375)","(0.49577662348747253, 0.4315895140171051)",1,1,2.5318756103515625,2.2839508056640625,"(-58.41635513305664, -65.68315124511719, 579.1636962890625)","(6.09944486618042, -72.03096771240234, 584.7447509765625)","(1.5574666261672974, 121.79634857177734, 33.688453674316406)","(-3.0789341926574707, 121.32823181152344, 33.5180778503418)",POINT (0.5024858564138412 0.4303079545497894),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846799025,2409646637,1,1,"(0.5095871090888977, 0.4327201247215271)","(0.5026598572731018, 0.4138069152832031)",1,1,2.5414276123046875,2.26678466796875,"(-58.410850524902344, -65.69966125488281, 579.1934814453125)","(6.109488487243652, -72.03355407714844, 584.6783447265625)","(1.6929329633712769, 121.12174224853516, 33.44291687011719)","(-0.7006092071533203, 124.57598876953125, 34.70016860961914)",POINT (0.5061234831809998 0.4232635200023651),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846815692,2409663304,1,1,"(0.5113869905471802, 0.4235568940639496)","(0.5000810623168945, 0.4328046143054962)",1,1,2.513412475585937,2.288818359375,"(-58.39356231689453, -65.70246887207031, 579.1771240234375)","(6.1216607093811035, -72.0387191772461, 584.7063598632812)","(2.3148231506347656, 122.7952880859375, 34.052024841308594)","(-1.5916491746902466, 121.10631561279297, 33.437286376953125)",POINT (0.5057340264320374 0.4281807541847229),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846832360,2409679971,1,1,"(0.5144531726837158, 0.4267973005771637)","(0.4956071674823761, 0.4484941065311432)",1,1,2.5200653076171875,2.3026275634765625,"(-58.38533020019531, -65.71267700195312, 579.1976318359375)","(6.133131980895996, -72.04502868652344, 584.7249755859375)","(3.3742966651916504, 122.20345306396484, 33.836639404296875)","(-3.1374778747558594, 118.24082946777344, 32.39432907104492)",POINT (0.505030170083046 0.4376457035541534),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,29,33,757846849031,2409696642,1,1,"(0.5073309540748596, 0.42473649978637695)","(0.4941365122795105, 0.4335745573043823)",1,1,2.518783569335937,2.28509521484375,"(-58.356117248535156, -65.70832824707031, 579.12744140625)","(6.150867462158203, -72.03950500488281, 584.686767578125)","(0.9133809208869934, 122.57984924316406, 33.9736213684082)","(-3.6456501483917236, 120.96570587158203, 33.38610076904297)",POINT (0.5007337331771851 0.4291555285453796),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846865699,2409713309,1,1,"(0.5146970152854919, 0.4164082407951355)","(0.4954192638397217, 0.4270757734775543)",1,1,2.51837158203125,2.285064697265625,"(-58.334293365478516, -65.7172622680664, 579.1690673828125)","(6.173794746398926, -72.0475082397461, 584.686279296875)","(3.458540439605713, 124.10088348388672, 34.52724838256836)","(-3.2024013996124268, 122.15260314941406, 33.81810760498047)",POINT (0.5050581395626068 0.4217420071363449),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846882365,2409729975,1,1,"(0.5092489123344421, 0.4265507757663727)","(0.5044407248497009, 0.43385738134384155)",1,1,2.537139892578125,2.2865142822265625,"(-58.312652587890625, -65.71976470947266, 579.2108154296875)","(6.200461387634277, -72.05030059814453, 584.676513671875)","(1.5760655403137207, 122.24848937988281, 33.85301971435547)","(-0.08527736365795135, 120.91405487060547, 33.36729431152344)",POINT (0.5068448185920715 0.4302040785551071),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846899033,2409746642,1,1,"(0.5116240382194519, 0.4330067038536072)","(0.4963752031326294, 0.4388100504875183)",1,1,2.528717041015625,2.293212890625,"(-58.28367233276367, -65.73118591308594, 579.2353515625)","(6.233218193054199, -72.0688247680664, 584.7039794921875)","(2.3967461585998535, 121.06940460205078, 33.423866271972656)","(-2.872117757797241, 120.00949096679688, 33.03810501098633)",POINT (0.5039996206760406 0.4359083771705627),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757846915700,2409763309,1,1,"(0.4853837788105011, 0.3722931742668152)","(0.4679933488368988, 0.34988030791282654)",1,1,2.52911376953125,2.275619506835937,"(-58.279052734375, -65.63127136230469, 579.3768310546875)","(6.173185348510742, -71.96322631835938, 584.79052734375)","(-6.669936180114746, 132.15794372558594, 37.45975112915039)","(-12.678762435913086, 136.25132751464844, 38.94963455200195)",POINT (0.4766885638237 0.3610867410898209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,29,33,757846932367,2409779975,1,1,"(0.4471839368343353, 0.2833634614944458)","(0.43089115619659424, 0.16969944536685944)",1,1,2.530364990234375,2.15740966796875,"(-58.300621032714844, -65.4802017211914, 579.5045166015625)","(6.027856826782227, -71.79302215576172, 584.8688354492188)","(-19.86894989013672, 148.39974975585938, 43.37131881713867)","(-25.498516082763672, 169.15899658203125, 50.927024841308594)",POINT (0.4390375465154648 0.2265314534306526),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,29,33,757846949034,2409796642,1,1,"(0.4365617632865906, 0.19675815105438232)","(0.4201105237007141, 0.15761713683605194)",1,1,2.490447998046875,2.198822021484375,"(-58.25163269042969, -65.41876220703125, 579.4762573242188)","(6.051163196563721, -71.75057220458984, 584.8779296875)","(-23.53917121887207, 164.2170867919922, 49.12833023071289)","(-29.223499298095703, 171.36566162109375, 51.730194091796875)",POINT (0.4283361434936523 0.1771876439452171),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757846965702,2409813309,1,1,"(0.43844032287597656, 0.21957513689994812)","(0.4260975420475006, 0.12716588377952576)",1,1,2.527694702148437,2.1700592041015625,"(-58.217552185058594, -65.42491912841797, 579.4251708984375)","(6.114345550537109, -71.794189453125, 584.810546875)","(-22.890085220336914, 160.0498504638672, 47.6115837097168)","(-27.154823303222656, 176.92718505859375, 53.75442886352539)",POINT (0.4322689324617386 0.1733705103397369),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757846982372,2409829979,1,1,"(0.43722692131996155, 0.2249063104391098)","(0.42534133791923523, 0.13822221755981445)",1,1,2.4947967529296875,2.172882080078125,"(-58.19575119018555, -65.41014862060547, 579.4666137695312)","(6.163881778717041, -71.80488586425781, 584.8374633789062)","(-23.30933952331543, 159.07618713378906, 47.25719451904297)","(-27.416105270385742, 174.9078826904297, 53.01948928833008)",POINT (0.4312841296195984 0.1815642639994621),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757846999040,2409846646,1,1,"(0.43858709931373596, 0.21073628962039948)","(0.4238324463367462, 0.14677299559116364)",1,1,2.49444580078125,2.1777496337890625,"(-58.19354248046875, -65.39610290527344, 579.4960327148438)","(6.196309566497803, -71.81340026855469, 584.875)","(-22.8393611907959, 161.66415405273438, 48.19914245605469)","(-27.937475204467773, 173.34619140625, 52.451080322265625)",POINT (0.4312097728252411 0.1787546426057816),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757847015707,2409863313,1,1,"(0.43656012415885925, 0.2146013379096985)","(0.4231855273246765, 0.15649770200252533)",1,1,2.4828338623046875,2.17431640625,"(-58.23223876953125, -65.35780334472656, 579.7448120117188)","(6.154200553894043, -71.76496887207031, 585.1220703125)","(-23.539730072021484, 160.95826721191406, 47.942203521728516)","(-28.160993576049805, 171.5701141357422, 51.80461883544922)",POINT (0.4298728257417679 0.1855495199561119),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757847115716,2409963319,1,1,"(0.42203447222709656, 0.13841885328292847)","(0.40056270360946655, 0.030230531468987465)",1,1,2.389877319335937,2.206024169921875,"(-58.42500305175781, -65.28367614746094, 579.8896484375)","(6.081178665161133, -71.60581970214844, 585.2088012695312)","(-28.558706283569336, 174.87196350097656, 53.006412506103516)","(-35.97775650024414, 194.63113403320312, 60.19815444946289)",POINT (0.4112985879182816 0.084324692375958),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757847132383,2409979985,1,1,"(0.41193512082099915, 0.17130021750926971)","(0.3997352421283722, 0.11729162931442261)",1,1,2.36065673828125,2.110809326171875,"(-58.43196105957031, -65.32917785644531, 579.8694458007812)","(6.05906867980957, -71.6540298461914, 585.1524658203125)","(-32.04829406738281, 168.8666229248047, 50.82063293457031)","(-36.26365280151367, 178.7305908203125, 54.410789489746094)",POINT (0.4058351814746857 0.1442959234118462),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757847149050,2409996652,1,1,"(0.40603235363960266, 0.16150854527950287)","(0.39803868532180786, 0.1415896713733673)",1,1,2.374053955078125,2.1592559814453125,"(-58.449546813964844, -65.34555053710938, 579.8090209960938)","(6.031446933746338, -71.66715240478516, 585.114990234375)","(-34.087860107421875, 170.6549530029297, 51.471527099609375)","(-36.8498649597168, 174.29286193847656, 52.795616149902344)",POINT (0.4020355194807053 0.1515491083264351),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757847165717,2410013318,1,1,"(0.41382357478141785, 0.16353854537010193)","(0.4023975431919098, 0.11316248029470444)",1,1,2.4278106689453125,2.147857666015625,"(-58.48418045043945, -65.37605285644531, 579.7843017578125)","(5.999084949493408, -71.68125915527344, 585.0872802734375)","(-31.395788192749023, 170.28421020507812, 51.3365592956543)","(-35.34377670288086, 179.48471069335938, 54.6853141784668)",POINT (0.4081105589866638 0.1383505128324032),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757847182384,2410029985,1,1,"(0.410352885723114, 0.15849465131759644)","(0.39530786871910095, 0.09426724165678024)",1,1,2.4149932861328125,2.134140014648437,"(-58.5252571105957, -65.40432739257812, 579.78515625)","(5.953429222106934, -71.68925476074219, 585.107177734375)","(-32.595001220703125, 171.2053985595703, 51.6718864440918)","(-37.793434143066406, 182.9356689453125, 55.94135665893555)",POINT (0.4028303772211075 0.1263809464871883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757847199052,2410046652,1,1,"(0.40866711735725403, 0.1542411893606186)","(0.39562225341796875, 0.10043064504861832)",1,1,2.4205474853515625,2.1396484375,"(-58.55162048339844, -65.43161010742188, 579.801513671875)","(5.929874420166016, -71.7013168334961, 585.1926879882812)","(-33.1774787902832, 171.98223876953125, 51.954620361328125)","(-37.6848030090332, 181.81002807617188, 55.531646728515625)",POINT (0.4021446853876114 0.1273359172046184),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757847215718,2410063318,1,1,"(0.408715158700943, 0.18512724339962006)","(0.39331355690956116, 0.13350236415863037)",1,1,2.448028564453125,2.18133544921875,"(-58.572914123535156, -65.45257568359375, 579.834228515625)","(5.912546157836914, -71.71283721923828, 585.2688598632812)","(-33.1608772277832, 166.34129333496094, 49.9015007019043)","(-38.48251724243164, 175.7698974609375, 53.333221435546875)",POINT (0.4010143578052521 0.1593148037791252),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,29,33,757847232393,2410079992,1,1,"(0.4073662757873535, 0.15218369662761688)","(0.3970315158367157, 0.10516494512557983)",1,1,2.419158935546875,2.138427734375,"(-58.582122802734375, -65.47097778320312, 579.84228515625)","(5.898950576782227, -71.72450256347656, 585.250244140625)","(-33.6269416809082, 172.35801696777344, 52.09138488769531)","(-37.19786834716797, 180.9453582763672, 55.21695327758789)",POINT (0.4021988958120346 0.1286743208765984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757847249059,2410096658,1,1,"(0.4062068462371826, 0.14439530670642853)","(0.39094802737236023, 0.12423419207334518)",1,1,2.4342193603515625,2.148788452148437,"(-58.58425521850586, -65.48117065429688, 579.8419189453125)","(5.893835067749023, -71.73454284667969, 585.24072265625)","(-34.027557373046875, 173.78045654296875, 52.60911560058594)","(-39.29987716674805, 177.4626007080078, 53.949344635009766)",POINT (0.3985774368047714 0.1343147493898869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,33,757847265728,2410113326,1,1,"(0.4097801744937897, 0.16037872433662415)","(0.39367929100990295, 0.13790448009967804)",1,1,2.431381225585937,2.1793365478515625,"(-58.591880798339844, -65.49346160888672, 579.8111572265625)","(5.871655464172363, -71.74510192871094, 585.2320556640625)","(-32.792877197265625, 170.86131286621094, 51.546600341796875)","(-38.35614776611328, 174.96592712402344, 53.04059600830078)",POINT (0.4017297327518463 0.1491416022181511),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
