,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,-----------.2,int.1,main.1,-----------.3,-----------.4,-----------.5,-----------.6,std.7,string.6,input.1,=.1,DuckDuckGoose.1,std.1,string.1,manipulateString.1,const.1,std.2,string.2,str.1,-----------.10,std.3,string.3,manipulated.1,=.2,manipulateString.2,input.2,-----------.12,std.4,string.4,manipulatedStr.1,=.3,""""".1",std.5,cout.1,<<.1,Manipulated.1,string.5,""".1",<<.2,manipulated.2,<<.3,std.6,endl.1,for.1,int.2,i.1,=.4,0.1,i.2,<.1,str.2,length.1,-----------.25,i++.1,return.1,0.2,if.1,i.3,%.1,2.1,==.1,0.3,-----------.27,manipulatedStr.2,+=.1,toupper.1,str.3,i.4,-----------.28,-----------.29,-----------.30,else.1,manipulatedStr.3,+=.2,tolower.1,str.4,i.5,-----------.32,-----------.33,-----------.34,-----------.35,return.2,manipulatedStr.4,-----------.36,question,code,choices
0,31,4,357029606339,5357782294,1,1,"(0.5006332993507385, 0.7400495409965515)","(0.4812789857387543, 0.7265123128890991)",1,1,4.0161895751953125,3.7199554443359375,"(-40.572837829589844, 3.0465850830078125, 671.404052734375)","(25.272197723388672, 3.3288464546203613, 670.1213989257812)","(0.4901916980743408, 65.13107299804688, 13.063982963562012)","(-6.216799736022949, 67.6106948852539, 13.966503143310547)",POINT (0.4909561425447464 0.7332809269428253),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,4,357029623006,5357798960,1,1,"(0.4966074824333191, 0.7485488653182983)","(0.47761258482933044, 0.684680700302124)",1,1,3.995040893554688,3.778045654296875,"(-40.49860382080078, 3.0602846145629883, 671.2879638671875)","(25.34891128540039, 3.333296060562134, 670.078369140625)","(-0.9049032926559448, 63.574241638183594, 12.49732494354248)","(-7.487317085266113, 75.27304077148438, 16.755342483520508)",POINT (0.4871100336313248 0.7166147828102112),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,4,357029639672,5357815626,1,1,"(0.4904918074607849, 0.7391093373298645)","(0.4766557514667511, 0.7476509809494019)",1,1,3.993255615234375,3.6858978271484375,"(-40.42991638183594, 3.0382323265075684, 671.221435546875)","(25.402650833129883, 3.304872989654541, 670.0247802734375)","(-3.024202585220337, 65.30326080322266, 13.126687049865723)","(-7.818915367126465, 63.73868179321289, 12.557229995727539)",POINT (0.483573779463768 0.7433801591396332),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,4,357029656341,5357832294,1,1,"(0.5019099116325378, 0.7466248273849487)","(0.4860304594039917, 0.7188058495521545)",1,1,3.9737396240234375,3.741134643554688,"(-40.36512756347656, 3.042675733566284, 671.217041015625)","(25.4887752532959, 3.300013780593872, 669.8818969726562)","(0.9325783848762512, 63.9266471862793, 12.625648498535156)","(-4.5702409744262695, 69.02229309082031, 14.480321884155273)",POINT (0.4939701855182648 0.7327153384685516),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,4,357029706348,5357882300,1,1,"(0.499157190322876, 0.7389390468597412)","(0.4761416018009186, 0.766369640827179)",1,1,3.9976959228515625,3.69866943359375,"(-40.13782501220703, 3.01200795173645, 670.9947509765625)","(25.720294952392578, 3.2603609561920166, 669.6404418945312)","(-0.021343424916267395, 65.33448028564453, 13.138031005859375)","(-7.997076034545898, 60.30998992919922, 11.30923843383789)",POINT (0.4876493960618973 0.7526543438434601),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,4,357029723015,5357898966,1,1,"(0.5033152103424072, 0.7356010675430298)","(0.482271671295166, 0.778292179107666)",1,1,3.9979248046875,3.6981048583984375,"(-40.044189453125, 3.02455997467041, 670.756103515625)","(25.804113388061523, 3.2646045684814453, 669.745849609375)","(1.4195693731307983, 65.94588470458984, 13.360547065734863)","(-5.872794151306152, 58.12612533569336, 10.51436996459961)",POINT (0.4927934408187866 0.7569466233253479),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,4,357029739682,5357915633,1,1,"(0.5027469992637634, 0.7313019633293152)","(0.4927595257759094, 0.7256258726119995)",1,1,4.00103759765625,3.7599945068359375,"(-39.967926025390625, 3.0455586910247803, 670.8030395507812)","(25.878339767456055, 3.264235019683838, 669.4422607421875)","(1.2226628065109253, 66.73338317871094, 13.647162437438965)","(-2.2383551597595215, 67.77306365966797, 14.025605201721191)",POINT (0.4977532625198364 0.7284639179706573),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,4,357029756349,5357932299,1,1,"(0.5023619532585144, 0.7370001673698425)","(0.4814651906490326, 0.7051224112510681)",1,1,4.0186309814453125,3.807632446289064,"(-39.86076354980469, 3.0768628120422363, 670.6783447265625)","(25.997758865356445, 3.2742903232574463, 669.6192626953125)","(1.0892455577850342, 65.68960571289062, 13.267313957214355)","(-6.152255058288574, 71.5287094116211, 15.39257526397705)",POINT (0.4919135719537735 0.7210612893104553),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,31,4,357029773016,5357948966,1,1,"(0.49858182668685913, 0.7662134766578674)","(0.48220211267471313, 0.7756603956222534)",1,1,3.987991333007813,3.6947174072265625,"(-39.739707946777344, 3.1028709411621094, 670.6682739257812)","(26.10236358642578, 3.2675366401672363, 669.3751220703125)","(-0.2207195907831192, 60.33858871459961, 11.319684982299805)","(-5.896902561187744, 58.608184814453125, 10.689866065979004)",POINT (0.4903919696807861 0.7709369361400604),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,4,357029789684,5357965633,1,1,"(0.503767728805542, 0.7490373849868774)","(0.4767311215400696, 0.7294381856918335)",1,1,4.016571044921875,3.777603149414064,"(-39.607078552246094, 3.1313610076904297, 670.5721435546875)","(26.24223518371582, 3.270829916000366, 669.600341796875)","(1.5763932466506958, 63.48475646972656, 12.464794158935547)","(-7.792794704437256, 67.07477569580078, 13.771435737609863)",POINT (0.4902494251728058 0.7392377853393555),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
