,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,2.1,11.1,9.1,7.1,6.1,5.1,5.2,4.1,2.2,question,code,choices
0,33,11,922804618174,2756973556,1,1,"(0.4738413989543915, 0.2519705593585968)","(0.4758438169956207, 0.2459278255701065)",1,1,3.0977020263671875,3.1588897705078125,"(-50.38525390625, 35.18354797363281, 610.7694091796875)","(8.51004409790039, 35.621315002441406, 610.2554931640625)","(-10.65811824798584, 154.13327026367188, 45.458106994628906)","(-9.966225624084473, 155.2368927001953, 45.85979080200195)",POINT (0.4748426079750061 0.2489491924643516),,,,,,,,,,1,1,
0,33,11,922804634840,2756990222,1,1,"(0.4812857508659363, 0.25415274500846863)","(0.4727230668067932, 0.23332545161247253)",1,1,3.1044921875,3.142578125,"(-50.39240264892578, 35.17045974731445, 610.8721923828125)","(8.514442443847656, 35.6309700012207, 610.369140625)","(-8.085904121398926, 153.73472595214844, 45.31303405761719)","(-11.044526100158691, 157.53854370117188, 46.697540283203125)",POINT (0.4770044088363648 0.2437390983104706),,,,,,,,,,1,1,
0,33,11,922804651508,2757006889,1,1,"(0.4775667190551758, 0.244089275598526)","(0.47616860270500183, 0.24015691876411438)",1,1,3.0844268798828125,3.127685546875,"(-50.385562896728516, 35.151737213134766, 610.92626953125)","(8.522623062133789, 35.630882263183594, 610.5026245117188)","(-9.370922088623047, 155.57266235351562, 45.9820442199707)","(-9.854009628295898, 156.29086303710938, 46.24342727661133)",POINT (0.4768676608800888 0.2421230971813202),,,,,,,,,,1,1,
0,33,11,922804668175,2757023556,1,1,"(0.4816165566444397, 0.24970072507858276)","(0.4703506827354431, 0.24241766333580017)",1,1,3.0994110107421875,3.1339263916015625,"(-50.3536262512207, 35.129268646240234, 610.869384765625)","(8.551263809204102, 35.63353729248047, 610.6568603515625)","(-7.971602439880371, 154.5478057861328, 45.60902786254883)","(-11.864243507385254, 155.8779754638672, 46.093135833740234)",POINT (0.4759836196899414 0.2460591942071915),,,,,,,,,,1,1,
0,33,11,922804684849,2757040229,1,1,"(0.47519710659980774, 0.25321558117866516)","(0.47193095088005066, 0.2436116635799408)",1,1,3.07861328125,3.107284545898437,"(-50.31568145751953, 35.13193893432617, 610.885498046875)","(8.589086532592773, 35.6439323425293, 610.8003540039062)","(-10.189699172973633, 153.9058837890625, 45.375370025634766)","(-11.31822395324707, 155.65989685058594, 46.0137825012207)",POINT (0.4735640287399292 0.248413622379303),,,,,,,,,,1,1,
0,33,11,922804701515,2757056895,1,1,"(0.4714031517505646, 0.2520529627799988)","(0.4772672951221466, 0.24703308939933777)",1,1,3.0640106201171875,3.123260498046875,"(-50.287471771240234, 35.14775466918945, 611.0781860351562)","(8.620428085327148, 35.643287658691406, 610.8510131835938)","(-11.500590324401855, 154.1182098388672, 45.4526252746582)","(-9.474390029907227, 155.0350341796875, 45.786338806152344)",POINT (0.4743352234363556 0.2495430260896683),,,,,,,,,,1,1,
0,33,11,922804718183,2757073562,1,1,"(0.47502899169921875, 0.2493905872106552)","(0.478312224149704, 0.24652093648910522)",1,1,3.082382202148437,3.141632080078125,"(-50.24809265136719, 35.17760467529297, 611.1990966796875)","(8.662229537963867, 35.64580535888672, 610.819580078125)","(-10.24777603149414, 154.60446166992188, 45.629638671875)","(-9.113321304321289, 155.12855529785156, 45.82038879394531)",POINT (0.4766706079244614 0.2479557618498802),,,,,,,,,,1,1,
0,33,11,922804734849,2757090228,1,1,"(0.47169193625450134, 0.24883316457271576)","(0.47351062297821045, 0.24538101255893707)",1,1,3.0777130126953125,3.1215362548828125,"(-50.20062255859375, 35.18708038330078, 611.1434326171875)","(8.70833683013916, 35.64965057373047, 610.8592529296875)","(-11.40080451965332, 154.70628356933594, 45.66666030883789)","(-10.772403717041016, 155.33676147460938, 45.8961296081543)",POINT (0.4726012796163559 0.2471070885658264),,,,,,,,,,1,1,
0,33,11,922804751517,2757106895,1,1,"(0.4794711768627167, 0.2460067719221115)","(0.47110164165496826, 0.24205705523490906)",1,1,3.0872344970703125,3.1156005859375,"(-50.15541076660156, 35.212730407714844, 611.1928100585938)","(8.759510040283203, 35.674766540527344, 611.0338745117188)","(-8.71288776397705, 155.2224578857422, 45.854576110839844)","(-11.604769706726074, 155.94384765625, 46.11710739135742)",POINT (0.4752864092588425 0.2440319135785103),,,,,,,,,,1,1,
0,33,11,922804768184,2757123562,1,1,"(0.4745241105556488, 0.254264771938324)","(0.4724739193916321, 0.24350549280643463)",1,1,3.083709716796875,3.115341186523437,"(-50.10468292236328, 35.249183654785156, 611.3785400390625)","(8.807933807373047, 35.68509292602539, 611.0220336914062)","(-10.422212600708008, 153.71426391601562, 45.305580139160156)","(-11.130617141723633, 155.67929077148438, 46.02082443237305)",POINT (0.4734990149736404 0.2488851323723793),,,,,,,,,,1,1,
