,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,long.1,long.2,operate.1,int.1,n.1,switch.1,n.2,case.1,0.1,return.1,0.2,case.2,1.1,return.2,1.2,default.1,long.3,long.4,mystery1.1,=.1,0.3,long.5,long.6,mystery2.1,=.2,1.3,for.1,int.2,i.1,=.3,2.1,i.2,n.3,<=.1,++i.1,-----------.6,long.7,long.8,mystery3.1,=.4,mystery1.2,+.1,mystery2.2,mystery1.3,=.5,mystery2.3,mystery2.4,=.6,mystery3.2,-----------.8,return.3,mystery2.5,-----------.10,-----------.11,question,code,choices
0,33,24,923987334872,3939656271,1,1,"(0.46817371249198914, 0.5078403353691101)","(0.48882752656936646, 0.46286672353744507)",1,1,3.10040283203125,3.2059326171875,"(-10.462613105773926, 8.837757110595703, 664.2567138671875)","(48.26548767089844, 10.870738983154297, 658.301513671875)","(-12.616443634033203, 107.40204620361328, 28.449289321899414)","(-5.4800262451171875, 115.61585998535156, 31.43896484375)",POINT (0.4785006195306778 0.4853535294532776),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,33,24,923987351540,3939672938,1,1,"(0.47505542635917664, 0.5272810459136963)","(0.4896445870399475, 0.4663013219833374)",1,1,3.0999298095703125,3.223114013671875,"(-10.467676162719727, 8.824300765991211, 664.3296508789062)","(48.262977600097656, 10.861791610717773, 658.37451171875)","(-10.238642692565918, 103.85145568847656, 27.157026290893555)","(-5.1977081298828125, 114.98857116699219, 31.210634231567383)",POINT (0.4823500066995621 0.4967911839485168),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,33,24,923987368206,3939689604,1,1,"(0.47375932335853577, 0.5228530168533325)","(0.4895116984844208, 0.4650421142578125)",1,1,3.11273193359375,3.220367431640625,"(-10.459596633911133, 8.812949180603027, 664.4029541015625)","(48.266231536865234, 10.858318328857422, 658.4100952148438)","(-10.686460494995117, 104.66014862060547, 27.45138931274414)","(-5.243628978729248, 115.21855163574219, 31.294342041015625)",POINT (0.4816355109214783 0.4939475655555725),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,33,24,923987384874,3939706271,1,1,"(0.47212550044059753, 0.5316427946090698)","(0.4838496446609497, 0.4614447057247162)",1,1,3.127197265625,3.2278289794921875,"(-10.468538284301758, 8.79768180847168, 664.5128173828125)","(48.250633239746094, 10.849424362182617, 658.4005126953125)","(-11.251007080078125, 103.0548324584961, 26.86710548400879)","(-7.200007438659668, 115.87557983398438, 31.53346824645996)",POINT (0.4779875725507736 0.496543750166893),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,33,24,923987401539,3939722936,1,1,"(0.47020262479782104, 0.5248491764068604)","(0.48621276021003723, 0.45442551374435425)",1,1,3.14447021484375,3.2190704345703125,"(-10.466015815734863, 8.782289505004883, 664.5740966796875)","(48.255699157714844, 10.843223571777344, 658.4602661132812)","(-11.91540241241455, 104.29557800292969, 27.31870460510254)","(-6.383487224578857, 117.15753936767578, 32.00007247924805)",POINT (0.4782076925039291 0.4896373450756073),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,33,24,923987418206,3939739602,1,1,"(0.474621057510376, 0.5177844762802124)","(0.48745688796043396, 0.4572666883468628)",1,1,3.124984741210937,3.2369842529296875,"(-10.46487808227539, 8.769708633422852, 664.6719360351562)","(48.262474060058594, 10.843681335449219, 658.5438232421875)","(-10.388716697692871, 105.58586120605469, 27.78831672668457)","(-5.9536261558532715, 116.63862609863281, 31.811216354370117)",POINT (0.481038972735405 0.4875255823135376),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,33,24,923987434879,3939756275,1,1,"(0.47425034642219543, 0.5302378535270691)","(0.48381364345550537, 0.46442124247550964)",1,1,3.1558837890625,3.2462310791015625,"(-10.461323738098145, 8.761759757995605, 664.6966552734375)","(48.263214111328125, 10.846109390258789, 658.5799560546875)","(-10.516807556152344, 103.31140899658203, 26.960506439208984)","(-7.212441921234131, 115.33193969726562, 31.335615158081055)",POINT (0.4790319949388504 0.4973295480012894),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,33,24,923987451546,3939772941,1,1,"(0.47551989555358887, 0.5183660387992859)","(0.4890439212322235, 0.4681394398212433)",1,1,3.165679931640625,3.2617950439453125,"(-10.450967788696289, 8.751747131347656, 664.7947387695312)","(48.271785736083984, 10.846672058105469, 658.6270751953125)","(-10.078164100646973, 105.4796371459961, 27.74966812133789)","(-5.405252933502197, 114.65286254882812, 31.088441848754883)",POINT (0.4822819083929062 0.4932527393102646),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,33,24,923987468213,3939789608,1,1,"(0.47051265835762024, 0.5142026543617249)","(0.4927702844142914, 0.45964112877845764)",1,1,3.1721649169921875,3.2746734619140625,"(-10.430018424987793, 8.729007720947266, 664.8687744140625)","(48.28820037841797, 10.834375381469727, 658.6851806640625)","(-11.80827522277832, 106.24003601074219, 28.02642059326172)","(-4.117708683013916, 116.2049789428711, 31.653352737426758)",POINT (0.4816414713859558 0.4869218915700912),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
0,33,24,923987484881,3939806275,1,1,"(0.477699339389801, 0.5198102593421936)","(0.49390774965286255, 0.4604191780090332)",1,1,3.17181396484375,3.27215576171875,"(-10.409828186035156, 8.721709251403809, 664.8941650390625)","(48.307071685791016, 10.825041770935059, 658.73095703125)","(-9.325093269348145, 105.21588134765625, 27.653661727905273)","(-3.7246816158294678, 116.06288146972656, 31.60162353515625)",POINT (0.4858035445213318 0.4901147186756134),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
