,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,main.1,-----------.2,int.2,a.1,=.1,2.1,1.1,std.1,cout.1,<<.1,*.1,a.2,+.1,1.2,-----------.8,return.1,0.1,-----------.9,question,code,choices
0,34,7,74148507909,4527458873,1,1,"(0.4515206813812256, 0.9489386081695557)","(0.45041918754577637, 0.9652487635612488)",1,1,2.6541748046875,2.589874267578125,"(-59.88014221191406, 81.49716186523438, 443.6351623535156)","(4.467165946960449, 82.79305267333984, 448.1195373535156)","(-18.370481491088867, 26.84125518798828, -0.8723512291908264)","(-18.751081466674805, 23.8624210357666, -1.956565499305725)",POINT (0.450969934463501 0.9570936858654022),,,,,,,,,,,,,,,,,,,,,,,
0,34,7,74148541247,4527492210,1,1,"(0.5480870604515076, 1.017233967781067)","(0.4953118562698364, 0.9794185161590576)",1,1,2.81402587890625,2.5700225830078125,"(-59.68981170654297, 78.80122375488281, 429.78955078125)","(4.388520240783691, 82.96546936035156, 448.4154052734375)","(14.995640754699707, 14.368006706237793, -5.412254810333252)","(-3.239527463912964, 21.274517059326172, -2.8984949588775635)",POINT (0.521699458360672 0.9983262419700623),,,,,,,,,,,,,,,,,,,,,,,
0,34,7,74148557914,4527508877,1,1,"(0.4649662673473358, 0.9106131196022034)","(0.5068585872650146, 0.984936535358429)",1,1,2.766952514648437,2.62164306640625,"(-59.929176330566406, 81.67333984375, 443.9091491699219)","(4.394155502319336, 83.07693481445312, 448.61834716796875)","(-13.724693298339844, 33.840904235839844, 1.6753110885620117)","(0.7501755356788635, 20.266706466674805, -3.2653088569641113)",POINT (0.4859124273061752 0.9477748274803162),,,,,,,,,,,,,,,,,,,,,,,
0,34,7,74148641250,4527592210,1,1,"(0.5552541017532349, 0.9751203656196594)","(0.47911542654037476, 0.9863921403884888)",1,1,2.716583251953125,2.6531219482421875,"(-59.49928665161133, 79.20639038085938, 430.5892333984375)","(4.594409942626953, 83.42280578613281, 449.2099609375)","(17.47203826904297, 22.05949592590332, -2.6127612590789795)","(-8.835793495178223, 20.000869750976562, -3.3620502948760986)",POINT (0.5171847641468048 0.9807562530040741),,,,,,,,,,,,,,,,,,,,,,,
0,34,7,74148657916,4527608876,1,1,"(0.5577908754348755, 0.9784749150276184)","(0.4940357804298401, 0.9763665795326233)",1,1,2.692123413085937,2.6464080810546875,"(-59.443023681640625, 79.29360961914062, 430.75885009765625)","(4.642370700836182, 83.53538513183594, 449.5799560546875)","(18.34856414794922, 21.446842193603516, -2.835780382156372)","(-3.6804356575012207, 21.83189582824707, -2.695582628250122)",POINT (0.5259133279323578 0.9774207472801208),,,,,,,,,,,,,,,,,,,,,,,
0,34,7,74148674587,4527625546,1,1,"(0.5273289084434509, 0.8925364017486572)","(0.4863242506980896, 0.8732967972755432)",1,1,2.74072265625,2.608673095703125,"(-59.42151641845703, 79.47711181640625, 430.89837646484375)","(4.622627258300781, 83.69978332519531, 449.62542724609375)","(7.823167324066162, 37.14236831665039, 2.876976251602173)","(-6.344977855682373, 40.65623474121094, 4.155889987945557)",POINT (0.5068265795707703 0.8829165995121002),,,,,,,,,,,,,,,,,,,,,,,1
0,34,7,74148757922,4527708879,1,1,"(0.4394882917404175, 0.8153530359268188)","(0.4644019901752472, 0.892464816570282)",1,1,2.757904052734375,2.5665740966796875,"(-59.450801849365234, 82.52000427246094, 445.6075439453125)","(4.8312296867370605, 83.81175994873047, 450.2194519042969)","(-22.527982711791992, 51.2388916015625, 8.007664680480957)","(-13.919663429260254, 37.15545654296875, 2.8817291259765625)",POINT (0.4519451409578323 0.8539089262485504),,,,,,,,,,,,,,,,,,,,,,,1
0,34,7,74148774590,4527725546,1,1,"(0.4501956105232239, 0.5693851709365845)","(0.43309128284454346, 0.6696280241012573)",1,1,2.718994140625,2.5968780517578125,"(-59.8916130065918, 82.89065551757812, 445.5731201171875)","(4.664711952209473, 84.18472290039062, 450.4253234863281)","(-18.82832145690918, 96.16166687011719, 24.35820770263672)","(-24.738311767578125, 77.85365295410156, 17.694623947143555)",POINT (0.4416434466838837 0.6195065975189209),,,,,,,,,,,,,,,,,,,,,,,1
0,34,7,74148791257,4527742213,1,1,"(0.47625890374183655, 0.5160204172134399)","(0.4274398982524872, 0.5440225005149841)",1,1,2.6981964111328125,2.463287353515625,"(-59.916202545166016, 83.24436950683594, 446.00848388671875)","(4.591382026672363, 84.56124877929688, 450.8026428222656)","(-9.822793006896973, 105.90803527832031, 27.90561866760254)","(-26.691001892089844, 100.79381561279297, 26.044187545776367)",POINT (0.4518494009971619 0.530021458864212),,,,,,,,,,,,,,,,,,,,,,1,
0,34,7,74148824597,4527775552,1,1,"(0.4077872633934021, 0.49811506271362305)","(0.42167192697525024, 0.5927790999412537)",1,1,2.742095947265625,2.584686279296875,"(-59.49787139892578, 83.32023620605469, 446.11346435546875)","(4.607974529266357, 84.62649536132812, 451.0360107421875)","(-33.48149108886719, 109.17821502685547, 29.095855712890625)","(-28.683998107910156, 91.88909149169922, 22.803119659423828)",POINT (0.4147295951843262 0.5454470813274384),,,,,,,,,,,,,,,,,,,,,,1,
