,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,-----------.2,-----------.3,#lang.1,racket.1,define.1,afunc.1,lst.1,define.2,afunc-helper.1,lst.2,a.1,mystery.1,cond.1,-----------.4,      .1,nan.1,lst.3,cons.2,a.2,mystery.2,-----------.5,      .2,else.1,       .1,append.1,afunc-helper.2,cdr.1,lst.4,cons.3,car.1,lst.5,a.3,mystery.3,afunc-helper.3,cdr.2,lst.6,a.4,mystery.4,-----------.6,-----------.7,-----------.8,-----------.9,afunc-helper.4,lst.7,-----------.10,-----------.11,-----------.12,-----------.13,-----------.14,-----------.15,question,code,choices
0,35,35,338476644071,9143630571,1,1,"(0.4582541584968567, 0.5149471163749695)","(0.5056797862052917, 0.44158175587654114)",1,1,3.1365509033203125,3.3143310546875,"(-71.50251770019531, 62.848670959472656, 571.9898681640625)","(-11.319616317749023, 59.316741943359375, 575.6253662109375)","(-14.195734977722168, 106.3633804321289, 28.071285247802734)","(2.2389883995056152, 119.80179595947266, 32.96249771118164)",POINT (0.4819669723510742 0.4782644361257553),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,35,35,338476660738,9143647237,1,1,"(0.45722633600234985, 0.5120278596878052)","(0.5057709813117981, 0.4483981132507324)",1,1,3.1529998779296875,3.29937744140625,"(-71.53823852539062, 62.83589553833008, 572.0006103515625)","(-11.359092712402344, 59.301673889160156, 575.531982421875)","(-14.551918029785156, 106.8980712890625, 28.2659969329834)","(2.270578622817993, 118.55322265625, 32.50810241699219)",POINT (0.481498658657074 0.4802129864692688),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,35,35,338476677405,9143663904,1,1,"(0.44502168893814087, 0.497476190328598)","(0.5070553421974182, 0.40073704719543457)",1,1,3.157623291015625,3.28314208984375,"(-71.5718002319336, 62.900413513183594, 572.0826416015625)","(-11.42228889465332, 59.38861083984375, 575.5116577148438)","(-18.781261444091797, 109.56352996826172, 29.236106872558594)","(2.7156577110290527, 127.28337097167969, 35.68559265136719)",POINT (0.4760385155677795 0.4491066187620163),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,35,35,338476694075,9143680573,1,1,"(0.44963380694389343, 0.468221515417099)","(0.4943394660949707, 0.39635777473449707)",1,1,3.144622802734375,3.2888336181640625,"(-71.63517761230469, 62.98292922973633, 572.2890625)","(-11.485556602478027, 59.466407775878906, 575.54541015625)","(-17.182992935180664, 114.92216491699219, 31.186429977416992)","(-1.6908525228500366, 128.0855255126953, 35.9775505065918)",POINT (0.4719866365194321 0.432289645075798),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,35,35,338476710741,9143697239,1,1,"(0.4532766044139862, 0.4527667760848999)","(0.4958651065826416, 0.39772123098373413)",1,1,3.13226318359375,3.2859039306640625,"(-71.69265747070312, 62.97944641113281, 572.33154296875)","(-11.522056579589844, 59.48694610595703, 575.579833984375)","(-15.920639038085938, 117.75302124023438, 32.21680450439453)","(-1.162173867225647, 127.83577728271484, 35.886661529541016)",POINT (0.4745708554983139 0.425244003534317),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,35,35,338476727409,9143713906,1,1,"(0.45249319076538086, 0.461929589509964)","(0.49534472823143005, 0.39988672733306885)",1,1,3.134750366210937,3.28228759765625,"(-71.73841857910156, 62.993019104003906, 572.189697265625)","(-11.568897247314453, 59.522789001464844, 575.5233154296875)","(-16.192127227783203, 116.07464599609375, 31.605966567993164)","(-1.3424962759017944, 127.43910217285156, 35.74232864379883)",POINT (0.4739189594984055 0.4309081584215164),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,35,35,338476744076,9143730573,1,1,"(0.4475054442882538, 0.45562031865119934)","(0.5018238425254822, 0.39297813177108765)",1,1,3.1485595703125,3.270477294921875,"(-71.78328704833984, 62.97938537597656, 572.2031860351562)","(-11.639665603637695, 59.554443359375, 575.6481323242188)","(-17.920562744140625, 117.2303237915039, 32.02659225463867)","(0.9027512669563293, 128.70455932617188, 36.202911376953125)",POINT (0.474664643406868 0.4242992252111435),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,35,35,338476760743,9143747239,1,1,"(0.455441415309906, 0.4630223512649536)","(0.4943501651287079, 0.3809860050678253)",1,1,3.123321533203125,3.27886962890625,"(-71.90658569335938, 63.043724060058594, 572.5245361328125)","(-11.686394691467285, 59.56064987182617, 575.537109375)","(-15.170450210571289, 115.87448120117188, 31.533113479614258)","(-1.6871535778045654, 130.90118408203125, 37.00239944458008)",POINT (0.474895790219307 0.4220041781663895),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,35,35,338476777413,9143763909,1,1,"(0.4463064670562744, 0.46102550625801086)","(0.5007932186126709, 0.38441014289855957)",1,1,3.109100341796875,3.280029296875,"(-71.93299865722656, 62.988792419433594, 572.1822509765625)","(-11.76618480682373, 59.615135192871094, 575.826416015625)","(-18.336040496826172, 116.24026489257812, 31.66619873046875)","(0.5456047654151917, 130.27398681640625, 36.77408218383789)",POINT (0.4735498428344727 0.4227178245782852),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,35,35,338476794081,9143780576,1,1,"(0.4452870488166809, 0.4433676600456238)","(0.5024820566177368, 0.3671838343143463)",1,1,3.094589233398437,3.2616424560546875,"(-71.98893737792969, 62.98965835571289, 572.2669677734375)","(-11.832422256469727, 59.62608337402344, 575.84326171875)","(-18.689311981201172, 119.47466278076172, 32.84346008300781)","(1.1308516263961792, 133.4293670654297, 37.92250442504883)",POINT (0.4738845527172089 0.405275747179985),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
