,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,bool.1,-----------.1,afunc.1,int.1,-----------.2,year1.1,-----------.3,int.2,month1.1,int.3,day1.1,int.4,year2.1,int.5,month2.1,int.6,day2.1,-----------.4,if.1,year1.2,<.1,year2.2,return.1,true.1,-----------.6,else.1,if.2,year1.3,>.1,year2.3,return.2,false.1,-----------.8,else.2,if.3,month1.2,<.2,month2.2,-----------.10,return.3,true.2,-----------.11,else.3,if.4,month1.3,>.2,month2.3,return.4,false.2,-----------.13,else.4,return.5,day1.2,>.3,day2.2,-----------.15,-----------.16,-----------.17,question,code,choices
0,36,23,344018174060,2833538991,1,1,"(0.5038484334945679, 0.7459041476249695)","(0.49702128767967224, 0.7332579493522644)",1,1,2.509552001953125,2.3608551025390625,"(-93.88938903808594, 7.408106803894043, 462.1059265136719)","(-33.08172607421875, 10.961687088012695, 474.3587341308594)","(-0.28993305563926697, 63.922813415527344, 12.624213218688965)","(-2.648876667022705, 66.23249816894531, 13.464842796325684)",POINT (0.5004348605871201 0.7395810484886169),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,36,23,344018190727,2833555657,1,1,"(0.4984126091003418, 0.7169780731201172)","(0.4990665912628174, 0.7232682108879089)",1,1,2.459869384765625,2.3704376220703125,"(-93.84136962890625, 7.357931137084961, 461.82080078125)","(-33.11957550048828, 10.954423904418945, 474.5313720703125)","(-2.1681430339813232, 69.2057876586914, 14.547079086303711)","(-1.9421766996383667, 68.05697631835938, 14.12891674041748)",POINT (0.4987396001815796 0.7201231420040131),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,36,23,344018207394,2833572324,1,1,"(0.4620476961135864, 0.5117918252944946)","(0.4586378335952759, 0.4930512607097626)",1,1,2.511215209960937,2.42315673828125,"(-94.17352294921875, 7.724033355712891, 462.6519470214844)","(-33.341896057128906, 11.307525634765625, 474.44415283203125)","(-14.733133316040039, 106.68034362792969, 28.186683654785156)","(-15.911332130432129, 110.10305786132812, 29.432432174682617)",POINT (0.4603427648544312 0.5024215430021286),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,36,23,344018224067,2833588996,1,1,"(0.44413119554519653, 0.3226456046104431)","(0.4297529458999634, 0.2903842628002167)",1,1,2.4677886962890625,2.495590209960937,"(-94.28508758544922, 8.166154861450195, 462.9200439453125)","(-33.66748046875, 11.795005798339844, 474.7872314453125)","(-20.923736572265625, 141.22540283203125, 40.76004409790039)","(-25.891788482666016, 147.11749267578125, 42.90462875366211)",POINT (0.43694207072258 0.3065149337053299),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,36,23,344018240733,2833605662,1,1,"(0.42619025707244873, 0.2295874059200287)","(0.4230819344520569, 0.22090288996696472)",1,1,2.5048065185546875,2.498748779296875,"(-94.21278381347656, 8.346290588378906, 462.7389221191406)","(-33.76995086669922, 12.010540962219238, 474.9143981933594)","(-27.12278175354004, 158.2212371826172, 46.94606018066406)","(-28.19679069519043, 159.80734252929688, 47.52336502075195)",POINT (0.4246360957622528 0.2252451479434967),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,36,23,344018257401,2833622329,1,1,"(0.4385470151901245, 0.25001224875450134)","(0.43729743361473083, 0.26479876041412354)",1,1,2.5784149169921875,2.4773406982421875,"(-94.34161376953125, 8.293641090393066, 462.93597412109375)","(-33.73556900024414, 11.893953323364258, 474.7025146484375)","(-22.853208541870117, 154.4909210205078, 45.588294982910156)","(-23.28498077392578, 151.7903594970703, 44.60536193847656)",POINT (0.4379222244024277 0.2574055045843124),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,23,344018274068,2833638996,1,1,"(0.4149557054042816, 0.2354765236377716)","(0.4308834373950958, 0.2839649021625519)",1,1,2.524993896484375,2.462127685546875,"(-94.26311492919922, 8.180780410766602, 462.49505615234375)","(-33.731990814208984, 11.881593704223633, 474.67852783203125)","(-31.004606246948242, 157.14566040039062, 46.55459976196289)","(-25.501178741455078, 148.28990173339844, 43.33135223388672)",POINT (0.4229195713996887 0.2597207129001617),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,23,344018290735,2833655662,1,1,"(0.39366501569747925, 0.2894061505794525)","(0.4349690079689026, 0.28313249349594116)",1,1,2.478424072265625,2.43341064453125,"(-94.04911041259766, 8.125356674194336, 461.5126953125)","(-33.757476806640625, 11.875234603881836, 474.7645263671875)","(-38.36109161376953, 147.29612731933594, 42.969669342041016)","(-24.089506149291992, 148.4419403076172, 43.38667297363281)",POINT (0.4143170118331909 0.2862693220376968),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,23,344018307402,2833672329,1,1,"(0.44819843769073486, 0.26685038208961487)","(0.44661620259284973, 0.29181385040283203)",1,1,2.5076904296875,2.4076080322265625,"(-94.4613037109375, 8.152363777160645, 462.77740478515625)","(-33.77729797363281, 11.863534927368164, 474.91424560546875)","(-19.518404006958008, 151.41566467285156, 44.4689826965332)","(-20.065107345581055, 146.85641479492188, 42.80955123901367)",POINT (0.4474073201417923 0.2793321162462234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,23,344018324070,2833688996,1,1,"(0.4546295404434204, 0.2745298445224762)","(0.43889564275741577, 0.29552167654037476)",1,1,2.4771728515625,2.4202117919921875,"(-94.51387023925781, 8.139172554016113, 462.88653564453125)","(-33.78504943847656, 11.845979690551758, 474.7491455078125)","(-17.29629898071289, 150.0131072998047, 43.95850372314453)","(-22.732755661010742, 146.17921447753906, 42.56312561035156)",POINT (0.4467625916004181 0.2850257605314255),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
