,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,void.1,complexOperation.1,const.1,-----------.1,std::vector<int>.1,numbers.1,int.1,a.1,=.1,0.1,auto.1,bfunc.1,=.2,&a.1,int.2,&a.2,int.3,x.1,if.1,x.2,%.1,2.1,==.1,0.2,-----------.6,a.2,+=.1,x.3,*.1,x.4,-----------.10,-----------.11,std.1,for_each.1,numbers.2,begin.1,-----------.14,std::cout.1,<<.1,a.3,<<.2,std.2,endl.1,-----------.19,numbers.3,end.1,-----------.20,bfunc.2,-----------.21,-----------.22,question,code,choices
0,36,20,343933735207,2749102674,1,1,"(0.4425865411758423, 0.3069860339164734)","(0.4336089789867401, 0.27963095903396606)",1,1,3.1801300048828125,3.054656982421875,"(-108.62615966796875, 14.752748489379883, 438.1190185546875)","(-47.85639572143555, 17.961341857910156, 449.11932373046875)","(-21.457460403442383, 144.0854034423828, 41.801025390625)","(-24.559429168701172, 149.08143615722656, 43.61945724487305)",POINT (0.4380977600812912 0.2933084964752197),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,
0,36,20,343933751875,2749119341,1,1,"(0.44082874059677124, 0.28771698474884033)","(0.43711555004119873, 0.299347460269928)",1,1,3.1441192626953125,3.06182861328125,"(-109.10897827148438, 14.789472579956055, 438.9376220703125)","(-48.308616638183594, 18.10094451904297, 450.0189208984375)","(-22.064815521240234, 147.60464477539062, 43.08191680908203)","(-23.347820281982422, 145.48048400878906, 42.30879211425781)",POINT (0.438972145318985 0.2935322225093842),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,
0,36,20,343933768539,2749136005,1,1,"(0.45023417472839355, 0.28365033864974976)","(0.4353314936161041, 0.29197898507118225)",1,1,3.1626434326171875,3.058868408203125,"(-109.58511352539062, 14.829521179199219, 439.6896667480469)","(-48.77111053466797, 18.214723587036133, 450.8548583984375)","(-18.81499671936035, 148.3473663330078, 43.352237701416016)","(-23.96426010131836, 146.82626342773438, 42.79856491088867)",POINT (0.4427828341722488 0.287814661860466),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,20,343933785207,2749152672,1,1,"(0.45245280861854553, 0.2922680079936981)","(0.43106722831726074, 0.2831808030605316)",1,1,3.1558074951171875,3.06451416015625,"(-110.0937271118164, 14.846370697021484, 440.54888916015625)","(-49.26967239379883, 18.30571937561035, 451.79229736328125)","(-18.048419952392578, 146.77345275878906, 42.77939987182617)","(-25.43766975402832, 148.43312072753906, 43.383453369140625)",POINT (0.4417600184679031 0.2877244055271149),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,20,343933801874,2749169339,1,1,"(0.4401460886001587, 0.3016015887260437)","(0.43060362339019775, 0.28711873292922974)",1,1,3.1677703857421875,3.07867431640625,"(-110.57261657714844, 14.861799240112305, 441.2546081542969)","(-49.813995361328125, 18.430225372314453, 452.79388427734375)","(-22.300682067871094, 145.0688018798828, 42.1589469909668)","(-25.59786033630371, 147.7139129638672, 43.121665954589844)",POINT (0.4353748559951782 0.2943601608276367),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,
0,36,20,343933818547,2749186011,1,1,"(0.440348356962204, 0.2996755540370941)","(0.43552345037460327, 0.28359514474868774)",1,1,3.147933959960937,3.080551147460937,"(-111.18234252929688, 14.889703750610352, 442.3575439453125)","(-50.424007415771484, 18.541589736938477, 454.07110595703125)","(-22.230796813964844, 145.4205780029297, 42.286949157714844)","(-23.89792823791504, 148.35743713378906, 43.35592269897461)",POINT (0.4379359036684036 0.2916353493928909),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,36,20,343933835214,2749202678,1,1,"(0.4391542375087738, 0.31541842222213745)","(0.4332261085510254, 0.288025438785553)",1,1,3.1921539306640625,3.0636138916015625,"(-111.75807189941406, 14.901214599609375, 443.3583984375)","(-51.037574768066406, 18.666580200195312, 455.2122802734375)","(-22.643409729003906, 142.54534912109375, 41.240474700927734)","(-24.691726684570312, 147.54832458496094, 43.06135940551758)",POINT (0.4361901730298996 0.3017219305038452),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,36,20,343933851882,2749219345,1,1,"(0.4356274902820587, 0.3152922987937927)","(0.42972663044929504, 0.2847558557987213)",1,1,3.12982177734375,3.059112548828125,"(-112.42117309570312, 14.908065795898438, 444.55181884765625)","(-51.69568634033203, 18.792200088500977, 456.2926940917969)","(-23.861982345581055, 142.56837463378906, 41.24886703491211)","(-25.900875091552734, 148.14544677734375, 43.27876281738281)",POINT (0.4326770603656769 0.300024077296257),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,36,20,343933868548,2749236011,1,1,"(0.4416716396808624, 0.3078644573688507)","(0.43661507964134216, 0.3024550974369049)",1,1,3.148040771484375,3.0552520751953125,"(-113.19544982910156, 14.905150413513184, 446.1521301269531)","(-52.452064514160156, 18.954925537109375, 457.990966796875)","(-21.773571014404297, 143.92498779296875, 41.74259948730469)","(-23.520751953125, 144.91293334960938, 42.1021842956543)",POINT (0.4391433596611023 0.3051597774028778),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,36,20,343933885216,2749252678,1,1,"(0.42918169498443604, 0.2890092432498932)","(0.42891693115234375, 0.2909978926181793)",1,1,3.14398193359375,3.057830810546875,"(-113.81167602539062, 14.858752250671387, 447.03363037109375)","(-53.185943603515625, 19.084754943847656, 459.3478088378906)","(-26.089174270629883, 147.36862182617188, 42.99602508544922)","(-26.180654525756836, 147.0054168701172, 42.86384963989258)",POINT (0.4290493130683899 0.2900035679340362),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
