,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,using.1,-----------.1,namespace.1,std.1,double.1,afunc.1,int.1,n.1,if.1,n.2,==.1,0.1,return.1,0.0.1,-----------.3,double.2,term.1,=.1,1.0.1,/.1,pow.1,n.3,2.0.1,-----------.5,if.2,n.4,%.1,2.2,==.2,0.2,return.2,afunc.2,n.5,-.1,1.1,-.2,term.2,-----------.10,else.1,return.3,afunc.3,n.6,-.3,1.2,+.1,term.3,-----------.13,-----------.14,question,code,choices
0,37,18,764633619074,610485198,1,1,"(0.4780639111995697, 0.8599323034286499)","(0.4320172667503357, 0.8348670601844788)",1,1,2.6020965576171875,2.5669708251953125,"(-85.36363220214844, -21.130775451660156, 711.1970825195312)","(-16.014385223388672, -19.281421661376953, 712.4537963867188)","(-9.199127197265625, 43.09708786010742, 5.044276237487793)","(-25.109411239624023, 47.674903869628906, 6.710506439208984)",POINT (0.4550405889749527 0.8473996818065643),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,18,764633635741,610501864,1,1,"(0.4800940454006195, 0.8556921482086182)","(0.42640307545661926, 0.8274235129356384)",1,1,2.6052398681640625,2.571044921875,"(-85.42674255371094, -21.148181915283203, 711.1661376953125)","(-16.047718048095703, -19.275238037109375, 712.33984375)","(-8.49765682220459, 43.871490478515625, 5.326146125793457)","(-27.049257278442383, 49.034385681152344, 7.205287933349609)",POINT (0.4532485604286194 0.8415578305721283),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,18,764633652409,610518532,1,1,"(0.48144426941871643, 0.8656799793243408)","(0.4231896698474884, 0.8319427967071533)",1,1,2.60308837890625,2.5643310546875,"(-85.48165130615234, -21.1455020904541, 711.1368408203125)","(-16.08133316040039, -19.25823974609375, 712.2122802734375)","(-8.031133651733398, 42.04735565185547, 4.662186622619629)","(-28.15957260131836, 48.20901107788086, 6.904839038848877)",POINT (0.4523169696331024 0.8488113880157471),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,18,764633669082,610535204,1,1,"(0.4754435420036316, 0.8810294270515442)","(0.42894357442855835, 0.8350206017494202)",1,1,2.626800537109375,2.5731658935546875,"(-85.53671264648438, -21.156696319580078, 711.0931396484375)","(-16.11880874633789, -19.252532958984375, 712.3082885742188)","(-10.104520797729492, 39.243980407714844, 3.641859531402588)","(-26.17144203186035, 47.646854400634766, 6.7002949714660645)",POINT (0.452193558216095 0.8580250144004822),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,18,764633685749,610551871,1,1,"(0.48937690258026123, 0.8755481839179993)","(0.42146971821784973, 0.8176789283752441)",1,1,2.5897216796875,2.564605712890625,"(-85.59738159179688, -21.162370681762695, 711.1058959960938)","(-16.15196990966797, -19.240314483642578, 712.3486328125)","(-5.29020881652832, 40.24506378173828, 4.006168365478516)","(-28.75385284423828, 50.81411361694336, 7.853000640869141)",POINT (0.4554233103990555 0.8466135561466217),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,18,764633702416,610568537,1,1,"(0.48689255118370056, 0.8904861807823181)","(0.4269978106021881, 0.8307597637176514)",1,1,2.617950439453125,2.578598022460937,"(-85.64559936523438, -21.18053436279297, 711.0928955078125)","(-16.193004608154297, -19.237552642822266, 712.304443359375)","(-6.148614883422852, 37.51683044433594, 3.0132453441619873)","(-26.843759536743164, 48.42506408691406, 6.983471393585205)",POINT (0.4569451808929443 0.8606229722499847),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,18,764633719083,610585204,1,1,"(0.47527962923049927, 0.8791086077690125)","(0.43439170718193054, 0.8255345821380615)",1,1,2.6360015869140625,2.57501220703125,"(-85.68576049804688, -21.199234008789062, 711.1400146484375)","(-16.225841522216797, -19.232749938964844, 712.2047119140625)","(-10.161161422729492, 39.59477996826172, 3.769493579864502)","(-24.288982391357422, 49.379371643066406, 7.330863952636719)",POINT (0.4548356682062149 0.852321594953537),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,18,764633735751,610601871,1,1,"(0.4789987802505493, 0.8732209205627441)","(0.4256187081336975, 0.8342800140380859)",1,1,2.605209350585937,2.579437255859375,"(-85.71237182617188, -21.205806732177734, 711.1326904296875)","(-16.249177932739258, -19.22692108154297, 712.1055297851562)","(-8.876120567321777, 40.670101165771484, 4.160950183868408)","(-27.320268630981445, 47.78214645385742, 6.749502182006836)",POINT (0.4523087441921234 0.853750467300415),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,18,764633752417,610618537,1,1,"(0.479425311088562, 0.882602334022522)","(0.4244922995567322, 0.8312622308731079)",1,1,2.631698608398437,2.5752105712890625,"(-85.7320556640625, -21.205970764160156, 711.0845336914062)","(-16.27420997619629, -19.216598510742188, 712.146240234375)","(-8.728724479675293, 38.95669174194336, 3.537304639816284)","(-27.709484100341797, 48.33332443237305, 6.9500532150268555)",POINT (0.4519588053226471 0.8569322824478149),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,18,764633769085,610635204,1,1,"(0.46951934695243835, 0.8724777698516846)","(0.42828547954559326, 0.8445452451705933)",1,1,2.6204986572265625,2.601715087890625,"(-85.74920654296875, -21.207948684692383, 711.07958984375)","(-16.289688110351562, -19.200441360473633, 712.1875)","(-12.151494979858398, 40.80583572387695, 4.210309982299805)","(-26.398834228515625, 45.9073371887207, 6.067113399505615)",POINT (0.4489024132490158 0.8585115075111389),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,18,764633785752,610651871,1,1,"(0.48407429456710815, 0.8777395486831665)","(0.4321068525314331, 0.8547744750976562)",1,1,2.632080078125,2.6106414794921875,"(-85.76815795898438, -21.21537208557129, 711.1177978515625)","(-16.298908233642578, -19.19768524169922, 712.2009887695312)","(-7.122394561767578, 39.844844818115234, 3.860518217086792)","(-25.07845115661621, 44.03909683227539, 5.387139797210693)",POINT (0.4580905735492706 0.8662570118904114),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,18,764633802422,610668540,1,1,"(0.44097158312797546, 0.7984752058982849)","(0.40809544920921326, 0.7869241833686829)",1,1,2.5992889404296875,2.58782958984375,"(-85.84882354736328, -21.125083923339844, 711.2398681640625)","(-16.38381004333496, -19.084453582763672, 712.3226318359375)","(-22.01546287536621, 54.32141876220703, 9.129570960998535)","(-33.3750114440918, 56.431060791015625, 9.897421836853027)",POINT (0.4245335161685944 0.7926996946334839),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,18,764633819089,610685207,1,1,"(0.46650102734565735, 0.5803235173225403)","(0.45793798565864563, 0.5429847240447998)",1,1,2.604232788085937,2.533294677734375,"(-85.75926208496094, -20.866058349609375, 711.5509643554688)","(-16.3819580078125, -18.818042755126953, 712.4762573242188)","(-13.194406509399414, 94.16393280029297, 23.631080627441406)","(-16.153141021728516, 100.9833755493164, 26.113140106201172)",POINT (0.4622195065021515 0.56165412068367),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,18,764633835755,610701873,1,1,"(0.45935899019241333, 0.37448209524154663)","(0.4788234531879425, 0.3452705144882202)",1,1,2.6080780029296875,2.543807983398437,"(-85.66788482666016, -20.58670425415039, 711.54541015625)","(-16.417619705200195, -18.54717445373535, 712.642333984375)","(-15.662149429321289, 131.7581329345703, 37.31427001953125)","(-8.936685562133789, 137.09324645996094, 39.25608825683594)",POINT (0.4690912216901779 0.3598763048648834),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,18,764633852423,610718540,1,1,"(0.46984127163887024, 0.37231189012527466)","(0.46739691495895386, 0.32359158992767334)",1,1,2.604156494140625,2.5088348388671875,"(-85.71778869628906, -20.552352905273438, 711.617919921875)","(-16.44147491455078, -18.506298065185547, 712.6268310546875)","(-12.04024887084961, 132.1544952392578, 37.458518981933594)","(-12.884841918945312, 141.05264282226562, 40.697147369384766)",POINT (0.468619093298912 0.347951740026474),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,37,18,764633869090,610735207,1,1,"(0.47339820861816406, 0.3515184819698334)","(0.46541446447372437, 0.35330066084861755)",1,1,2.577301025390625,2.5331268310546875,"(-85.77085876464844, -20.54499053955078, 711.6180419921875)","(-16.45726776123047, -18.458715438842773, 712.7525024414062)","(-10.811241149902344, 135.95213317871094, 38.84076690673828)","(-13.56982421875, 135.62664794921875, 38.722267150878906)",POINT (0.4694063365459442 0.3524095714092255),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
