,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,main.1,void.1,printFun.1,int.2,n.1,int.3,num.1,=.1,7.1,if.1,n.2,<=.1,0.1,printFun.2,num.2,-----------.2,return.1,return.2,0.2,-----------.3,-----------.4,std.1,cout.1,<<.1,n.3,<<.2,""""".1",-----------.10,printFun.3,int.4,-.1,2.1,-----------.12,std.2,cout.2,<<.3,n.4,<<.4,""""".2",-----------.18,-----------.19,question,code,choices
0,37,3,765981755926,1958582187,1,1,"(0.5338613390922546, 0.7128960490226746)","(0.48625820875167847, 0.6710016131401062)",1,1,2.6980743408203125,2.5558624267578125,"(-100.14805603027344, 10.834733963012695, 644.510009765625)","(-30.80491065979004, 14.684814453125, 650.3831787109375)","(10.08028793334961, 69.95130920410156, 14.818400382995605)","(-6.367798805236816, 77.60279846191406, 17.603288650512695)",POINT (0.5100597739219666 0.6919488310813904),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,3,765981772593,1958598853,1,1,"(0.5269565582275391, 0.7259887456893921)","(0.4830036461353302, 0.6802298426628113)",1,1,2.71282958984375,2.56903076171875,"(-100.08732604980469, 10.846372604370117, 644.5179443359375)","(-30.743370056152344, 14.701403617858887, 650.3775634765625)","(7.694490432739258, 67.56012725830078, 13.948055267333984)","(-7.49232292175293, 75.9173583984375, 16.989864349365234)",POINT (0.5049801021814346 0.7031092941761017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,3,765981789260,1958615520,1,1,"(0.5108081102371216, 0.7240464091300964)","(0.48807305097579956, 0.6677373051643372)",1,1,2.68939208984375,2.578338623046875,"(-100.02572631835938, 10.843122482299805, 644.4896240234375)","(-30.697465896606445, 14.706979751586914, 650.3468017578125)","(2.1148176193237305, 67.91483306884766, 14.077238082885742)","(-5.740723133087158, 78.19895935058594, 17.82029914855957)",POINT (0.4994405806064606 0.6958918571472168),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,3,765981805927,1958632187,1,1,"(0.5189124941825867, 0.717555046081543)","(0.4831574261188507, 0.6788480281829834)",1,1,2.7138671875,2.5859527587890625,"(-99.97940063476562, 10.833946228027344, 644.5281372070312)","(-30.648944854736328, 14.707818031311035, 650.3280029296875)","(4.915096759796143, 69.10039520263672, 14.508743286132812)","(-7.4391913414001465, 76.16973876953125, 17.08173942565918)",POINT (0.5010349601507187 0.6982015371322632),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,3,765981822594,1958648853,1,1,"(0.5272116661071777, 0.7223731279373169)","(0.483707070350647, 0.6754896640777588)",1,1,2.6921844482421875,2.58880615234375,"(-99.9400634765625, 10.83134651184082, 644.5535278320312)","(-30.605422973632812, 14.720282554626465, 650.4608764648438)","(7.782657146453857, 68.22044372558594, 14.188433647155762)","(-7.249279022216797, 76.78308868408203, 17.30499267578125)",POINT (0.5054593682289124 0.6989313960075378),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,3,765981839267,1958665526,1,1,"(0.524967610836029, 0.7202690243721008)","(0.4851585924625397, 0.6726078987121582)",1,1,2.728057861328125,2.573715209960937,"(-99.89354705810547, 10.840097427368164, 644.6033325195312)","(-30.539199829101562, 14.730043411254883, 650.4085693359375)","(7.0072712898254395, 68.60472106933594, 14.3283109664917)","(-6.747738361358643, 77.30941009521484, 17.49652862548828)",POINT (0.5050631016492844 0.6964384615421295),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,3,765981855935,1958682193,1,1,"(0.518477737903595, 0.721147894859314)","(0.4868042767047882, 0.6802594661712646)",1,1,2.695343017578125,2.5885162353515625,"(-99.8268051147461, 10.87314510345459, 644.7332153320312)","(-30.46542739868164, 14.75121021270752, 650.4039306640625)","(4.764867782592773, 68.44422149658203, 14.269865036010742)","(-6.179098129272461, 75.91194152832031, 16.98790740966797)",POINT (0.5026410073041916 0.7007036805152893),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,3,765981872601,1958698859,1,1,"(0.5170517563819885, 0.7142545580863953)","(0.47725576162338257, 0.6927347183227539)",1,1,2.74530029296875,2.5885772705078125,"(-99.74299621582031, 10.915735244750977, 644.7838134765625)","(-30.369873046875, 14.779899597167969, 650.4600830078125)","(4.272153854370117, 69.70319366455078, 14.728137016296387)","(-9.478357315063477, 73.63349914550781, 16.15860939025879)",POINT (0.4971537590026856 0.7034946382045746),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,3,765981889269,1958715526,1,1,"(0.5228339433670044, 0.7166616916656494)","(0.48765572905540466, 0.6659250259399414)",1,1,2.7269439697265625,2.5729217529296875,"(-99.64434814453125, 10.979032516479492, 644.8150024414062)","(-30.273386001586914, 14.813846588134766, 650.445068359375)","(6.270049095153809, 69.26355743408203, 14.56812572479248)","(-5.884911060333252, 78.52996063232422, 17.940753936767578)",POINT (0.5052448362112045 0.6912933588027954),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,37,3,765981905936,1958732193,1,1,"(0.5124323964118958, 0.6848466992378235)","(0.48727917671203613, 0.6220514178276062)",1,1,2.7321014404296875,2.584701538085937,"(-99.53128051757812, 11.137896537780762, 644.76611328125)","(-30.184894561767578, 14.949158668518066, 650.5587158203125)","(2.6760470867156982, 75.07416534423828, 16.68297004699707)","(-6.015015602111816, 86.54287719726562, 20.857240676879883)",POINT (0.4998557865619659 0.6534490585327148),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
