,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,-----------.1,std::list<int>.1,afunc.1,const.1,-----------.2,std::list<int>.2,numList.1,-----------.3,std::list<int>.3,edited.1,for.1,int.1,num.1,-----------.4,numList.2,if.1,num.2,==.1,0.1,-----------.6,edited.2,push_front.1,-----------.7,num.3,-----------.8,-----------.9,-----------.10,for.2,int.2,num.4,-----------.11,numList.3,if.2,num.5,!=.0,0.2,-----------.14,edited.3,push_back.1,num.6,-----------.15,-----------.16,-----------.17,return.1,edited.4,-----------.18,question,code,choices
0,49,15,441855125370,2358554088,1,1,"(0.45190611481666565, 0.2438206672668457)","(0.45624879002571106, 0.23586852848529816)",1,1,3.450546264648437,3.406646728515625,"(-28.714698791503906, -20.874095916748047, 640.7679443359375)","(32.69587707519531, -20.33609390258789, 637.4220581054688)","(-16.395565032958984, 156.0259552001953, 46.14699172973633)","(-14.890669822692871, 157.48255920410156, 46.67715835571289)",POINT (0.4540774524211884 0.2398445978760719),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,49,15,441855142040,2358570758,1,1,"(0.4093066453933716, 0.22967569530010223)","(0.4047609865665436, 0.24422642588615417)",1,1,3.453277587890625,3.4127655029296875,"(-28.88818359375, -20.902179718017578, 640.7073974609375)","(32.46985626220703, -20.324077606201172, 637.4430541992188)","(-31.157838821411133, 158.6168975830078, 47.09005355834961)","(-32.73308181762695, 155.95162963867188, 46.11994934082031)",POINT (0.4070338159799576 0.2369510605931282),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,49,15,441855158708,2358587425,1,1,"(0.4146219491958618, 0.23410958051681519)","(0.41346651315689087, 0.23992128670215607)",1,1,3.4497833251953125,3.4066162109375,"(-28.89603042602539, -20.89649200439453, 640.660888671875)","(32.459693908691406, -20.327903747558594, 637.51220703125)","(-29.315895080566406, 157.8047637939453, 46.79438400268555)","(-29.71628761291504, 156.74020385742188, 46.406978607177734)",POINT (0.4140442311763763 0.2370154336094856),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,49,15,441855175375,2358604092,1,1,"(0.4173729121685028, 0.2319139689207077)","(0.4135173559188843, 0.2399687021970749)",1,1,3.449066162109375,3.4042510986328125,"(-28.907527923583984, -20.911224365234375, 640.7510375976562)","(32.47394943237305, -20.342166900634766, 637.600830078125)","(-28.362586975097656, 158.20689392089844, 46.940879821777344)","(-29.69866180419922, 156.7314910888672, 46.40389633178711)",POINT (0.4154451340436935 0.2359413355588913),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,49,15,441855192041,2358620757,1,1,"(0.41644397377967834, 0.2305496484041214)","(0.4138844609260559, 0.24301283061504364)",1,1,3.4512481689453125,3.4128570556640625,"(-28.89603042602539, -20.902366638183594, 640.6611938476562)","(32.476768493652344, -20.338058471679688, 637.5328369140625)","(-28.684499740600586, 158.45681762695312, 47.03178405761719)","(-29.57145118713379, 156.17388916015625, 46.200958251953125)",POINT (0.4151642173528671 0.2367812395095825),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,49,15,441855208709,2358637425,1,1,"(0.4144100844860077, 0.23528501391410828)","(0.41202208399772644, 0.24552199244499207)",1,1,3.461456298828125,3.4315948486328125,"(-28.881847381591797, -20.90469741821289, 640.5940551757812)","(32.498565673828125, -20.352619171142578, 637.5996704101562)","(-29.38931655883789, 157.58941650390625, 46.71613311767578)","(-30.216838836669922, 155.7143096923828, 46.03359603881836)",POINT (0.4132160842418671 0.2404035031795502),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,49,15,441855225376,2358654091,1,1,"(0.4150426983833313, 0.23767445981502533)","(0.4150664210319519, 0.24629832804203033)",1,1,3.4521942138671875,3.430648803710937,"(-28.865198135375977, -20.903629302978516, 640.5270385742188)","(32.510963439941406, -20.349811553955078, 637.5755004882812)","(-29.170089721679688, 157.15176391601562, 46.55675506591797)","(-29.161865234375, 155.57208251953125, 45.981910705566406)",POINT (0.4150545597076416 0.2419863939285278),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,49,15,441855242043,2358670758,1,1,"(0.4139673709869385, 0.2392187863588333)","(0.41138821840286255, 0.23995231091976166)",1,1,3.472396850585937,3.4242401123046875,"(-28.852405548095703, -20.903457641601562, 640.5736694335938)","(32.52911376953125, -20.347991943359375, 637.3939208984375)","(-29.542728424072266, 156.86888122558594, 46.45381164550781)","(-30.43648910522461, 156.73451232910156, 46.404937744140625)",POINT (0.4126777946949005 0.2395855486392975),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,49,15,441855258711,2358687425,1,1,"(0.41510605812072754, 0.23292607069015503)","(0.41018199920654297, 0.24432507157325745)",1,1,3.4535064697265625,3.43218994140625,"(-28.82500648498535, -20.904163360595703, 640.59912109375)","(32.546905517578125, -20.34564781188965, 637.2796020507812)","(-29.14813995361328, 158.0215301513672, 46.87332534790039)","(-30.854496002197266, 155.93356323242188, 46.113372802734375)",POINT (0.4126440286636352 0.2386255711317062),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,49,15,441855275383,2358704097,1,1,"(0.4164620637893677, 0.225348100066185)","(0.40843823552131653, 0.24386240541934967)",1,1,3.4635162353515625,3.4478912353515625,"(-28.80167007446289, -20.904155731201172, 640.71484375)","(32.59040832519531, -20.349163055419922, 637.4103393554688)","(-28.67823028564453, 159.40960693359375, 47.37852096557617)","(-31.458772659301758, 156.018310546875, 46.14421844482422)",POINT (0.4124501496553421 0.2346052527427673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
