,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,mystery.1,int.2,int.3,expectedSum.1,arr.1,-----------.2,=.1,-----------.3,arr.2,0.1,int.4,size.1,-----------.4,arr.3,size.3,-.1,1.1,*.1,arr.4,size.2,-.2,1.2,+.1,1.3,/.1,2.1,int.5,actualSum.1,=.2,0.2,for.1,int.6,i.1,-----------.10,arr.5,-----------.11,actualSum.2,+=.1,i.2,-----------.13,int.7,result.1,=.3,expectedSum.2,-.3,actualSum.3,return.1,result.2,-----------.15,question,code,choices
0,49,1,440314060509,817533718,1,1,"(0.4136577546596527, 0.18097510933876038)","(0.3791453540325165, 0.257409930229187)",1,1,3.433685302734375,3.356674194335937,"(-55.64216613769531, -20.546615600585938, 620.8555297851562)","(5.743231773376465, -18.96687126159668, 620.806884765625)","(-29.650028228759766, 167.53746032714844, 50.336830139160156)","(-41.609832763671875, 153.53680419921875, 45.24098587036133)",POINT (0.3964015543460846 0.2191925197839737),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,49,1,440314077176,817550385,1,1,"(0.4123324453830719, 0.17198428511619568)","(0.3791676163673401, 0.2703017592430115)",1,1,3.434326171875,3.369171142578125,"(-55.59170150756836, -20.52752685546875, 620.8427734375)","(5.785799503326416, -18.932153701782227, 620.72119140625)","(-30.10928726196289, 169.18429565429688, 50.936309814453125)","(-41.60211944580078, 151.17535400390625, 44.381595611572266)",POINT (0.395750030875206 0.2211430221796036),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,49,1,440314093844,817567052,1,1,"(0.4094095826148987, 0.1583605855703354)","(0.37624824047088623, 0.2712250053882599)",1,1,3.4395294189453125,3.364959716796875,"(-55.53955841064453, -20.496166229248047, 620.8515014648438)","(5.828296661376953, -18.90445327758789, 620.486328125)","(-31.12216567993164, 171.6797637939453, 51.84458923339844)","(-42.61378860473633, 151.00624084472656, 44.320045471191406)",POINT (0.3928289115428925 0.2147927954792976),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,49,1,440314110510,817583718,1,1,"(0.4106656610965729, 0.15795964002609253)","(0.3712831735610962, 0.27461010217666626)",1,1,3.451400756835937,3.3628082275390625,"(-55.50541687011719, -20.447429656982422, 620.9005126953125)","(5.882119178771973, -18.8826904296875, 620.3143310546875)","(-30.686887741088867, 171.75320434570312, 51.87133026123047)","(-44.33436965942383, 150.38619995117188, 44.09433364868164)",POINT (0.3909744173288345 0.2162848711013794),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,49,1,440314127178,817600385,1,1,"(0.4099048376083374, 0.1708439737558365)","(0.37794485688209534, 0.2750568091869354)",1,1,3.4568634033203125,3.3769073486328125,"(-55.46061706542969, -20.387760162353516, 620.8428955078125)","(5.933793067932129, -18.86385154724121, 620.5894775390625)","(-30.95054054260254, 169.39315795898438, 51.01236343383789)","(-42.025856018066406, 150.30438232421875, 44.06454086303711)",POINT (0.3939248472452164 0.222950391471386),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,49,1,440314143845,817617052,1,1,"(0.41333383321762085, 0.18109647929668427)","(0.3849538266658783, 0.27039313316345215)",1,1,3.472747802734375,3.3795623779296875,"(-55.431739807128906, -20.356237411499023, 620.7613525390625)","(5.968291282653809, -18.86094856262207, 620.823486328125)","(-29.762266159057617, 167.51522827148438, 50.32874298095703)","(-39.596988677978516, 151.15863037109375, 44.37547302246094)",POINT (0.3991438299417496 0.2257448062300682),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,49,1,440314160515,817633721,1,1,"(0.40910884737968445, 0.1784602552652359)","(0.3864372670650482, 0.2713422477245331)",1,1,3.4796295166015625,3.378280639648437,"(-55.38753890991211, -20.340129852294922, 620.5743408203125)","(5.993995189666748, -18.863712310791016, 620.7378540039062)","(-31.22638702392578, 167.99807739257812, 50.50457763671875)","(-39.08292007446289, 150.9847869873047, 44.31217956542969)",POINT (0.3977730572223663 0.2249012514948845),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,49,1,440314177182,817650388,1,1,"(0.4115285277366638, 0.1785350739955902)","(0.3803768754005432, 0.2714899182319641)",1,1,3.4807281494140625,3.3775634765625,"(-55.37024688720703, -20.3326416015625, 620.555419921875)","(6.012372016906738, -18.861515045166016, 620.5033569335938)","(-30.38787841796875, 167.98439025878906, 50.499542236328125)","(-41.18305587768555, 150.95774841308594, 44.30229949951172)",POINT (0.3959527015686035 0.2250124961137772),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,49,1,440314193850,817667055,1,1,"(0.40592896938323975, 0.18008869886398315)","(0.37801045179367065, 0.2714937925338745)",1,1,3.47430419921875,3.37921142578125,"(-55.353538513183594, -20.331544876098633, 620.407470703125)","(6.017826080322266, -18.869964599609375, 620.439697265625)","(-32.32832336425781, 167.69979858398438, 50.395999908447266)","(-42.00312042236328, 150.95700073242188, 44.302154541015625)",POINT (0.3919697105884552 0.2257912456989288),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,49,1,440314210516,817683721,1,1,"(0.40991100668907166, 0.17796480655670166)","(0.37846997380256653, 0.26702508330345154)",1,1,3.472030639648437,3.382064819335937,"(-55.364349365234375, -20.3393611907959, 620.4481201171875)","(6.018836498260498, -18.87657928466797, 620.418701171875)","(-30.94840431213379, 168.0888671875, 50.53750991821289)","(-41.843868255615234, 151.77557373046875, 44.599979400634766)",POINT (0.3941904902458191 0.2224949449300766),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
