,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,2.1,11.1,9.1,7.1,6.1,5.1,5.2,4.1,2.2,question,code,choices
0,55,10,838591272330,2542320005,1,1,"(0.5033872127532959, 0.6390005350112915)","(0.5012483596801758, 0.6738287806510925)",1,1,3.09796142578125,3.0048828125,"(-45.479957580566406, 21.224489212036133, 542.7183227539062)","(12.150779724121094, 19.95042610168457, 539.8057250976562)","(-0.44928550720214844, 83.44733428955078, 19.730592727661133)","(-1.1883015632629395, 77.08642578125, 17.415393829345703)",POINT (0.5023177862167358 0.656414657831192),,,,,,,,,,,,1
0,55,10,838591288997,2542336671,1,1,"(0.5092116594314575, 0.6106830835342407)","(0.5199846029281616, 0.6681988835334778)",1,1,3.0994110107421875,3.040985107421875,"(-45.357582092285156, 21.36008071899414, 542.6541748046875)","(12.263176918029785, 20.035310745239258, 539.8662109375)","(1.5632073879241943, 88.61917877197266, 21.612897872924805)","(5.285538673400879, 78.11466979980469, 17.789615631103516)",POINT (0.5145981311798096 0.6394409835338593),,,,,,,,,,,,1
0,55,10,838591305668,2542353342,1,1,"(0.5449498295783997, 0.4385904371738434)","(0.5417854189872742, 0.5278387665748596)",1,1,3.093048095703125,3.062347412109375,"(-45.11845397949219, 21.826480865478516, 542.8335571289062)","(12.40904426574707, 20.46518325805664, 539.7794189453125)","(13.91165828704834, 120.04959106445312, 33.05272674560547)","(12.818273544311523, 103.74957275390625, 27.119970321655273)",POINT (0.5433676242828369 0.4832146018743515),,,,,,,,,,,1,
0,55,10,838591322344,2542370017,1,1,"(0.568804919719696, 0.3040580749511719)","(0.5479894280433655, 0.3706634044647217)",1,1,3.0999755859375,3.0239715576171875,"(-44.890811920166016, 22.44342803955078, 542.9622192382812)","(12.538850784301758, 21.047779083251953, 539.8704833984375)","(22.154186248779297, 144.6201629638672, 41.99564743041992)","(14.961902618408203, 132.45558166503906, 37.568092346191406)",POINT (0.5583971738815308 0.3373607397079468),,,,,,,,,,,1,
0,55,10,838591339011,2542386684,1,1,"(0.569370687007904, 0.28573036193847656)","(0.5525512099266052, 0.34695252776145935)",1,1,3.1114501953125,3.039291381835937,"(-44.80120849609375, 22.62946891784668, 542.7434692382812)","(12.5752534866333, 21.241256713867188, 539.9991455078125)","(22.34967041015625, 147.9674835205078, 43.21393966674805)","(16.53812026977539, 136.7860565185547, 39.14426040649414)",POINT (0.5609609484672546 0.316341444849968),,,,,,,,,,,1,
0,55,10,838591355678,2542403350,1,1,"(0.5843280553817749, 0.27938312292099)","(0.5479368567466736, 0.3498516380786896)",1,1,3.116485595703125,3.039215087890625,"(-44.877906799316406, 22.718151092529297, 543.0607299804688)","(12.578028678894043, 21.325376510620117, 539.88623046875)","(27.517820358276367, 149.12672424316406, 43.635868072509766)","(14.943740844726562, 136.25657653808594, 38.951534271240234)",POINT (0.5661324560642242 0.3146173804998398),,,,,,,,,,,1,
0,55,10,838591372345,2542420017,1,1,"(0.5828606486320496, 0.2870311439037323)","(0.5543678402900696, 0.34487542510032654)",1,1,3.126007080078125,3.0335235595703125,"(-44.897003173828125, 22.83294677734375, 542.9591064453125)","(12.581497192382812, 21.430702209472656, 539.99853515625)","(27.01080894470215, 147.72988891601562, 43.12755584716797)","(17.165796279907227, 137.1654052734375, 39.28235626220703)",POINT (0.5686142444610596 0.3159532845020294),,,,,,,,,,,1,
0,55,10,838591389013,2542436684,1,1,"(0.5826000571250916, 0.28024840354919434)","(0.5532656908035278, 0.35056939721107483)",1,1,3.125732421875,3.0391387939453125,"(-44.91365051269531, 22.89764976501465, 542.9560546875)","(12.591313362121582, 21.53408432006836, 540.0145263671875)","(26.920753479003906, 148.9686737060547, 43.57839584350586)","(16.78499412536621, 136.12548828125, 38.9038200378418)",POINT (0.5679328739643097 0.3154089003801346),,,,,,,,,,,1,
0,55,10,838591405679,2542453350,1,1,"(0.5814676880836487, 0.29194632172584534)","(0.5512150526046753, 0.3458884656429291)",1,1,3.121200561523437,3.0542144775390625,"(-44.91577911376953, 23.008390426635742, 542.8405151367188)","(12.608041763305664, 21.618188858032227, 540.013671875)","(26.529478073120117, 146.8322296142578, 42.80073547363281)","(16.07644271850586, 136.9803924560547, 39.21500015258789)",POINT (0.566341370344162 0.3189173936843872),,,,,,,,,,,1,
0,55,10,838591422352,2542470022,1,1,"(0.5817792415618896, 0.28344523906707764)","(0.5484081506729126, 0.35041919350624084)",1,1,3.12432861328125,3.057708740234375,"(-44.905303955078125, 23.067729949951172, 542.956787109375)","(12.64427661895752, 21.674808502197266, 539.75390625)","(26.63713836669922, 148.3848114013672, 43.36589813232422)","(15.106576919555664, 136.1529083251953, 38.9138298034668)",POINT (0.5650936961174011 0.3169322162866592),,,,,,,,,,,1,
