,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,-----------.1,afunc.1,int.2,-----------.2,terms.1,if.1,terms.2,==.1,0.1,-----------.4,return.1,1.1,-----------.5,else.1,return.2,-----------.6,std::pow.1,2.1,terms.3,+.1,afunc.2,terms.4,-.1,1.2,-----------.9,-----------.10,-----------.11,question,code,choices
0,56,22,58997401910,773707554,1,1,"(0.4776253402233124, 0.5959822535514832)","(0.4948459565639496, 0.6791456341743469)",1,1,2.5806884765625,3.013427734375,"(-36.83076477050781, 64.18852233886719, 607.66064453125)","(30.77532958984375, 61.36263656616211, 610.7783203125)","(-9.350663185119629, 91.30408477783203, 22.59014892578125)","(-3.400496006011963, 76.11536407470703, 17.061973571777344)",POINT (0.486235648393631 0.637563943862915),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,22,58997418583,773724226,1,1,"(0.4738224446773529, 0.5933158993721008)","(0.48806527256965637, 0.6671739220619202)",1,1,2.551498413085937,2.98162841796875,"(-36.74639129638672, 64.18976593017578, 607.639404296875)","(30.844215393066406, 61.317779541015625, 610.54443359375)","(-10.664670944213867, 91.79106903076172, 22.767398834228516)","(-5.743405342102051, 78.30184173583984, 17.857765197753906)",POINT (0.4809438586235046 0.6302449107170105),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,22,58997435250,773740893,1,1,"(0.47542598843574524, 0.6038759350776672)","(0.49474847316741943, 0.6621553897857666)",1,1,2.577911376953125,2.986434936523437,"(-36.67302703857422, 64.21420288085938, 607.7091674804688)","(30.923667907714844, 61.30222702026367, 610.4651489257812)","(-10.11059856414795, 89.86238098144531, 22.06547737121582)","(-3.4341928958892822, 79.21844482421875, 18.191307067871094)",POINT (0.4850872308015823 0.6330156624317169),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,22,58997451917,773757559,1,1,"(0.4771626889705658, 0.5991113185882568)","(0.48696985840797424, 0.6652339696884155)",1,1,2.5595855712890625,2.9734039306640625,"(-36.59538269042969, 64.22048950195312, 607.5842895507812)","(31.015321731567383, 61.31109619140625, 610.5189208984375)","(-9.510513305664062, 90.7325668334961, 22.382204055786133)","(-6.121896743774414, 78.65617370605469, 17.9866943359375)",POINT (0.48206627368927 0.6321726441383362),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,22,58997468584,773774226,1,1,"(0.47453269362449646, 0.5894386768341064)","(0.48466211557388306, 0.6721588969230652)",1,1,2.5450439453125,2.988983154296875,"(-36.524131774902344, 64.25360107421875, 607.6444091796875)","(31.086074829101562, 61.312984466552734, 610.43994140625)","(-10.41926383972168, 92.4991683959961, 23.025171279907227)","(-6.919275760650635, 77.39141082763672, 17.526397705078125)",POINT (0.4795974045991898 0.6307987868785858),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,22,58997485252,773790893,1,1,"(0.47969746589660645, 0.5994554758071899)","(0.4857998788356781, 0.6742776036262512)",1,1,2.557342529296875,2.994232177734375,"(-36.4637451171875, 64.28620147705078, 607.6917114257812)","(31.161212921142578, 61.334590911865234, 610.4851684570312)","(-8.634699821472168, 90.66973114013672, 22.359310150146484)","(-6.526147842407227, 77.00444793701172, 17.38554573059082)",POINT (0.4827486723661423 0.6368665397167206),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,22,58997501919,773807560,1,1,"(0.4845338463783264, 0.584379255771637)","(0.4836118817329407, 0.6744420528411865)",1,1,2.53619384765625,3.009262084960937,"(-36.38964080810547, 64.29377746582031, 607.6282958984375)","(31.227325439453125, 61.337894439697266, 610.44775390625)","(-6.963596343994141, 93.42321014404297, 23.361480712890625)","(-7.2821736335754395, 76.97444152832031, 17.37456512451172)",POINT (0.4840728640556335 0.6294106543064117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,22,58997518586,773824226,1,1,"(0.47933077812194824, 0.5920121073722839)","(0.48874762654304504, 0.6637383103370667)",1,1,2.5567626953125,3.0156402587890625,"(-36.33611297607422, 64.32791900634766, 607.7064819335938)","(31.286300659179688, 61.33363342285156, 610.4010009765625)","(-8.761393547058105, 92.02915954589844, 22.854089736938477)","(-5.507636547088623, 78.9293212890625, 18.08613395690918)",POINT (0.4840392023324966 0.6278752088546753),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,22,58997535253,773840893,1,1,"(0.4786776602268219, 0.5958726406097412)","(0.48757821321487427, 0.6688748598098755)",1,1,2.5760040283203125,3.0096893310546875,"(-36.285804748535156, 64.33467102050781, 607.6714477539062)","(31.334503173828125, 61.319793701171875, 610.40771484375)","(-8.98707103729248, 91.32408905029297, 22.597476959228516)","(-5.911711692810059, 77.99121856689453, 17.744688034057617)",POINT (0.4831279367208481 0.6323737502098083),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,22,58997551927,773857567,1,1,"(0.4741591811180115, 0.5843347907066345)","(0.4931093156337738, 0.6676138639450073)",1,1,2.5736083984375,3.0468902587890625,"(-36.2521858215332, 64.33644104003906, 607.6654663085938)","(31.37445068359375, 61.301124572753906, 610.4246826171875)","(-10.548311233520508, 93.43133544921875, 23.364418029785156)","(-4.000556468963623, 78.22149658203125, 17.828533172607422)",POINT (0.4836342483758926 0.6259743273258209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
