,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,define.1,lst.1,cons.1,cons.2,cons.3,'a.1,'b.1,cons.4,cons.5,-----------.1,cons.6,'d.1,'.2,().3,-----------.4,-----------.5,'.6,().7,-----------.8,-----------.9,cons.7,'e.1,'.10,().11,).12,).13,).14,question,code,choices
0,56,26,60061170873,1837444827,1,1,"(0.4868910312652588, 0.5626104474067688)","(0.49557164311408997, 0.6536139249801636)",1,1,2.4267120361328125,2.809112548828125,"(-41.534889221191406, 52.7868766784668, 638.3062744140625)","(26.22931480407715, 50.40626525878906, 640.1429443359375)","(-6.149133205413818, 97.39899444580078, 24.808547973632812)","(-3.1497604846954346, 80.77841186523438, 18.759143829345703)",POINT (0.4912313371896744 0.6081121861934662),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061187540,1837461494,1,1,"(0.48277726769447327, 0.5621469020843506)","(0.49103352427482605, 0.6754876971244812)",1,1,2.4266510009765625,2.836517333984375,"(-41.276084899902344, 52.85607147216797, 638.4776000976562)","(26.496044158935547, 50.480384826660156, 640.326904296875)","(-7.570540904998779, 97.48365783691406, 24.83932876586914)","(-4.717803478240967, 76.78343963623047, 17.30514144897461)",POINT (0.4869053959846497 0.6188172996044159),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,26,60061204207,1837478160,1,1,"(0.49440300464630127, 0.5696119070053101)","(0.4888775646686554, 0.6432382464408875)",1,1,2.4386749267578125,2.7922515869140625,"(-41.01524353027344, 52.995819091796875, 638.4193115234375)","(26.761899948120117, 50.6046257019043, 640.5794677734375)","(-3.5535542964935303, 96.1202621459961, 24.34316062927246)","(-5.462736129760742, 82.67339324951172, 19.448843002319336)",POINT (0.4916402846574783 0.6064250767230988),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061220874,1837494827,1,1,"(0.48559603095054626, 0.5669741630554199)","(0.48104995489120483, 0.6527827978134155)",1,1,2.391815185546875,2.774993896484375,"(-40.76678466796875, 53.18419647216797, 638.6796875)","(27.018478393554688, 50.78777313232422, 640.809814453125)","(-6.596587657928467, 96.6020278930664, 24.518423080444336)","(-8.16736888885498, 80.93022155761719, 18.81435775756836)",POINT (0.4833229929208756 0.6098784804344177),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061237540,1837511492,1,1,"(0.485067218542099, 0.5782087445259094)","(0.4914471209049225, 0.6638904809951782)",1,1,2.4366455078125,2.808349609375,"(-40.52421569824219, 53.41539001464844, 639.1192626953125)","(27.23807716369629, 50.987098693847656, 640.8372802734375)","(-6.779306888580322, 94.55016326904297, 23.771686553955078)","(-4.574883460998535, 78.90152740478516, 18.07602310180664)",POINT (0.4882571697235107 0.6210496127605438),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,26,60061254208,1837528160,1,1,"(0.4877782166004181, 0.5781670808792114)","(0.49758288264274597, 0.6569783091545105)",1,1,2.4344024658203125,2.7895965576171875,"(-40.283050537109375, 53.686119079589844, 639.4659423828125)","(27.461864471435547, 51.20783996582031, 640.933837890625)","(-5.842586040496826, 94.55777740478516, 23.774415969848633)","(-2.454838991165161, 80.16394805908203, 18.5355167388916)",POINT (0.492680549621582 0.617572695016861),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,56,26,60061270879,1837544830,1,1,"(0.47831791639328003, 0.5675441026687622)","(0.49256452918052673, 0.627932608127594)",1,1,2.418853759765625,2.7928009033203125,"(-40.056304931640625, 54.036346435546875, 639.78955078125)","(27.67499542236328, 51.550209045410156, 641.5316772460938)","(-9.111364364624023, 96.49790954589844, 24.480627059936523)","(-4.188802719116211, 85.46875, 20.4663143157959)",POINT (0.4854412227869034 0.5977383553981781),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,56,26,60061287548,1837561499,1,1,"(0.407866507768631, 0.2781507074832916)","(0.4448709785938263, 0.35562029480934143)",1,1,2.3926544189453125,2.823211669921875,"(-39.908042907714844, 54.70928192138672, 640.4912109375)","(27.674758911132812, 52.17460632324219, 641.9879150390625)","(-33.4541015625, 149.35179138183594, 43.71783447265625)","(-20.668115615844727, 135.2030029296875, 38.56807327270508)",POINT (0.4263687431812286 0.3168855011463165),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,56,26,60061304213,1837578163,1,1,"(0.39220499992370605, 0.10234149545431137)","(0.42077895998954773, 0.19948409497737885)",1,1,2.4447021484375,2.825164794921875,"(-39.6955680847168, 55.35877227783203, 641.2456665039062)","(27.815858840942383, 52.81713104248047, 642.890869140625)","(-38.86555862426758, 181.46102905273438, 55.40462112426758)","(-28.992525100708008, 163.71923828125, 48.94707107543945)",POINT (0.4064919799566269 0.1509127952158451),,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,
0,56,26,60061320882,1837594832,1,1,"(0.3949316442012787, 0.13058951497077942)","(0.4101558029651642, 0.18607328832149506)",1,1,2.44158935546875,2.8434600830078125,"(-39.486000061035156, 55.73634338378906, 641.7083740234375)","(28.068706512451172, 53.13611602783203, 643.3512573242188)","(-37.923431396484375, 176.30189514160156, 53.52686309814453)","(-32.66310501098633, 166.16851806640625, 49.83861541748047)",POINT (0.4025437235832214 0.1583314016461372),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,26,60061337550,1837611499,1,1,"(0.40596848726272583, 0.11876730620861053)","(0.4225185811519623, 0.19026294350624084)",1,1,2.455917358398437,2.827255249023437,"(-39.28863525390625, 56.112449645996094, 642.2135009765625)","(28.28436279296875, 53.452919006347656, 643.8389892578125)","(-34.10991668701172, 178.46104431152344, 54.31279754638672)","(-28.391454696655273, 165.4033203125, 49.560150146484375)",POINT (0.4142435342073441 0.1545151248574257),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,26,60061354214,1837628163,1,1,"(0.4009774327278137, 0.11844731122255325)","(0.420600026845932, 0.2172587364912033)",1,1,2.455657958984375,2.8262939453125,"(-39.121421813964844, 56.505550384521484, 642.8760986328125)","(28.49186134338379, 53.82780456542969, 644.442626953125)","(-35.8344612121582, 178.51950073242188, 54.33403015136719)","(-29.054359436035156, 160.472900390625, 47.76560974121094)",POINT (0.4107887297868729 0.1678530238568783),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,26,60061370882,1837644830,1,1,"(0.4050820767879486, 0.12334075570106506)","(0.4146318733692169, 0.20045875012874603)",1,1,2.421234130859375,2.825927734375,"(-38.96428298950195, 56.90678405761719, 643.65283203125)","(28.679073333740234, 54.19264602661133, 645.3721923828125)","(-34.416194915771484, 177.62576293945312, 54.008785247802734)","(-31.116497039794922, 163.54119873046875, 48.88236618041992)",POINT (0.4098569750785828 0.1618997529149056),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,26,60061387552,1837661499,1,1,"(0.40208736062049866, 0.1318187266588211)","(0.4194789230823517, 0.19962184131145477)",1,1,2.436264038085937,2.8204345703125,"(-38.83960723876953, 57.2593879699707, 644.5467529296875)","(28.824562072753906, 54.5203857421875, 646.030517578125)","(-35.45094299316406, 176.07740783691406, 53.445125579833984)","(-29.441722869873047, 163.69406127929688, 48.937965393066406)",POINT (0.4107831418514252 0.1657202839851379),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,26,60061404222,1837678168,1,1,"(0.39781925082206726, 0.14468355476856232)","(0.42578110098838806, 0.21151259541511536)",1,1,2.3759765625,2.8231964111328125,"(-38.698036193847656, 57.55128860473633, 645.0726318359375)","(28.927688598632812, 54.81005096435547, 646.4619140625)","(-36.92568588256836, 173.72784423828125, 52.589866638183594)","(-27.26416015625, 161.52235412597656, 48.14759063720703)",POINT (0.4118001759052277 0.1780980750918388),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,26,60061420889,1837694835,1,1,"(0.40498435497283936, 0.14301465451717377)","(0.4091632664203644, 0.21396388113498688)",1,1,2.392333984375,2.8004913330078125,"(-38.61665344238281, 57.79768371582031, 645.7796020507812)","(29.017662048339844, 55.10108184814453, 647.521484375)","(-34.44997024536133, 174.03260803222656, 52.70091247558594)","(-33.00604248046875, 161.0746612548828, 47.9846305847168)",POINT (0.4070738106966019 0.1784892678260803),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,56,26,60061437558,1837711503,1,1,"(0.35239413380622864, 0.1852087676525116)","(0.3765193223953247, 0.24515119194984436)",1,1,2.410919189453125,2.8194732666015625,"(-38.675418853759766, 57.984954833984375, 646.7452392578125)","(28.902130126953125, 55.29553985595703, 648.1361083984375)","(-52.62120819091797, 166.32643127441406, 49.896026611328125)","(-44.28535461425781, 155.3787384033203, 45.91140365600586)",POINT (0.3644567281007767 0.215179979801178),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,56,26,60061454225,1837728170,1,1,"(0.3364783227443695, 0.17214509844779968)","(0.3596770167350769, 0.22676001489162445)",1,1,2.41143798828125,2.817901611328125,"(-38.664146423339844, 58.17388153076172, 647.5863037109375)","(28.915393829345703, 55.503814697265625, 648.857666015625)","(-58.12053298950195, 168.7123260498047, 50.764461517333984)","(-50.10478973388672, 158.7376251220703, 47.13399887084961)",POINT (0.3480776697397232 0.1994525566697121),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,56,26,60061470891,1837744835,1,1,"(0.3393196165561676, 0.16718634963035583)","(0.3637203574180603, 0.2342366874217987)",1,1,2.396759033203125,2.823333740234375,"(-38.65122604370117, 58.338714599609375, 648.076171875)","(28.92657470703125, 55.69963836669922, 649.5335693359375)","(-57.1387939453125, 169.6179656982422, 51.09412384033203)","(-48.70771789550781, 157.3721160888672, 46.6369743347168)",POINT (0.351519986987114 0.2007115185260773),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
