,participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen,geometry,int.1,main.1,void.1,recursiveFun.1,int.2,n.1,recursiveFun.2,10.1,-----------.1,if.1,n.2,==.1,0.1,return.1,0.2,return.2,-----------.3,-----------.4,std.1,cout.1,<<.1,n.3,<<.2,""".1",-----------.10,recursiveFun.3,n.4,-.1,1.1,-----------.12,-----------.13,question,code,choices
0,59,12,335889728416,5551423150,1,1,"(0.45255011320114136, 0.2678487002849579)","(0.4101088345050812, 0.1747560352087021)",1,1,2.71185302734375,2.549163818359375,"(-52.88616180419922, -25.73028564453125, 647.8212890625)","(15.328373908996582, -25.052452087402344, 650.3101806640625)","(-18.01478385925293, 151.2333221435547, 44.40265655517578)","(-32.679317474365234, 168.2354736328125, 50.590904235839844)",POINT (0.4313294738531113 0.22130236774683),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335889745084,5551439817,1,1,"(0.4557347595691681, 0.29078376293182373)","(0.40740829706192017, 0.18900558352470398)",1,1,2.747543334960937,2.534027099609375,"(-52.878089904785156, -25.70917510986328, 647.79931640625)","(15.326183319091797, -25.037368774414062, 650.3804931640625)","(-16.914419174194336, 147.0445556640625, 42.87800598144531)","(-33.61241912841797, 165.63299560546875, 49.64363479614258)",POINT (0.4315715283155441 0.2398946732282638),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,59,12,335889761750,5551456483,1,1,"(0.4564991593360901, 0.27732813358306885)","(0.4120045602321625, 0.18029509484767914)",1,1,2.719482421875,2.53271484375,"(-52.88184356689453, -25.700862884521484, 647.8455810546875)","(15.318954467773438, -25.040485382080078, 650.4508056640625)","(-16.650297164916992, 149.50204467773438, 43.7724609375)","(-32.02430725097656, 167.22381591796875, 50.22275924682617)",POINT (0.4342518597841263 0.228811614215374),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335889778423,5551473155,1,1,"(0.4559343159198761, 0.28841254115104675)","(0.40932056307792664, 0.19076484441757202)",1,1,2.7459869384765625,2.554061889648437,"(-52.88433837890625, -25.681480407714844, 647.8455200195312)","(15.307111740112305, -25.017074584960938, 650.4281005859375)","(-16.845458984375, 147.4776153564453, 43.035667419433594)","(-32.95169448852539, 165.31167602539062, 49.5267333984375)",POINT (0.4326274394989014 0.2395886927843094),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,59,12,335889795090,5551489822,1,1,"(0.45205923914909363, 0.2705695331096649)","(0.40591132640838623, 0.1955745965242386)",1,1,2.7325897216796875,2.554473876953125,"(-52.88744354248047, -25.67981719970703, 647.8683471679688)","(15.302815437316895, -25.006195068359375, 650.4044189453125)","(-18.18440055847168, 150.73638916015625, 44.221805572509766)","(-34.12966537475586, 164.4332275390625, 49.20703125)",POINT (0.4289852827787399 0.2330720648169518),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335889811756,5551506487,1,1,"(0.44978001713752747, 0.2794641852378845)","(0.4100816547870636, 0.20110350847244263)",1,1,2.746185302734375,2.555267333984375,"(-52.885597229003906, -25.670669555664062, 647.89208984375)","(15.304916381835938, -24.99254035949707, 650.4979248046875)","(-18.97193145751953, 149.11192321777344, 43.63047790527344)","(-32.688720703125, 163.42344665527344, 48.8394889831543)",POINT (0.4299308359622955 0.2402838468551636),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,59,12,335889828424,5551523155,1,1,"(0.4534098207950592, 0.27452388405799866)","(0.4020453691482544, 0.19537867605686188)",1,1,2.761627197265625,2.559921264648437,"(-52.89183044433594, -25.66046142578125, 647.9380493164062)","(15.295899391174316, -24.97002410888672, 650.544921875)","(-17.717744827270508, 150.01419067382812, 43.95891189575195)","(-35.46546173095703, 164.46902465820312, 49.22002029418945)",POINT (0.4277275949716568 0.2349512800574303),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335889845091,5551539821,1,1,"(0.4590332806110382, 0.27615779638290405)","(0.4070432782173157, 0.210475355386734)",1,1,2.7683563232421875,2.558578491210937,"(-52.90245056152344, -25.65434455871582, 648.053466796875)","(15.294755935668945, -24.956565856933594, 650.6620483398438)","(-15.774685859680176, 149.71575927734375, 43.8503532409668)","(-33.73855972290039, 161.71180725097656, 48.21650314331055)",POINT (0.4330382794141769 0.243316575884819),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,59,12,335889861758,5551556487,1,1,"(0.4523059129714966, 0.2558560073375702)","(0.40268272161483765, 0.19337010383605957)",1,1,2.7516326904296875,2.533660888671875,"(-52.88941955566406, -25.651954650878906, 648.031982421875)","(15.296951293945312, -24.959739685058594, 650.591796875)","(-18.099170684814453, 153.4236297607422, 45.199859619140625)","(-35.24524688720703, 164.8358612060547, 49.35354232788086)",POINT (0.4274943172931671 0.2246130555868149),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,12,335889878426,5551573154,1,1,"(0.4612591564655304, 0.2824575901031494)","(0.40323424339294434, 0.20786543190479279)",1,1,2.758758544921875,2.5684356689453125,"(-52.877685546875, -25.620925903320312, 648.0575561523438)","(15.321704864501953, -24.95139503479004, 650.6839599609375)","(-15.00560188293457, 148.56521606445312, 43.43149185180664)","(-35.05467224121094, 162.1884765625, 48.389991760253906)",POINT (0.4322466999292374 0.2451615110039711),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,59,12,335889895093,5551589821,1,1,"(0.45518675446510315, 0.25420278310775757)","(0.40811869502067566, 0.19999279081821442)",1,1,2.739288330078125,2.5401763916015625,"(-52.8609733581543, -25.590221405029297, 648.08349609375)","(15.340054512023926, -24.943010330200195, 650.6597900390625)","(-17.103761672973633, 153.72557067871094, 45.30974197387695)","(-33.366966247558594, 163.62628173828125, 48.913387298583984)",POINT (0.4316527247428894 0.227097786962986),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
