,pid,stimulus_number,coordinates,current_time,current_time1,geometry,bool.1,-----------.1,afunc.1,int.1,-----------.2,year1.1,-----------.3,int.2,month1.1,int.3,day1.1,int.4,year2.1,int.5,month2.1,int.6,day2.1,-----------.4,if.1,year1.2,<.1,year2.2,return.1,true.1,-----------.6,else.1,if.2,year1.3,>.1,year2.3,return.2,false.1,-----------.8,else.2,if.3,month1.2,<.2,month2.2,-----------.10,return.3,true.2,-----------.11,else.3,if.4,month1.3,>.2,month2.3,return.4,false.2,-----------.13,else.4,return.5,day1.2,>.3,day2.2,-----------.15,-----------.16,-----------.17,question,code,choices
0,1,23,"{'x': 869.6429014975363, 'y': 211.49220474377486, 'elapsedTime': 85946.70000000019}",6848037305,18731635314,POINT (0.4529390111966335 0.1958261155034952),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,1,23,"{'x': 869.6429014975363, 'y': 211.49220474377486, 'elapsedTime': 85946.70000000019}",6848053972,18731651980,POINT (0.4529390111966335 0.1958261155034952),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,1,23,"{'x': 869.6429014975363, 'y': 211.49220474377486, 'elapsedTime': 85946.70000000019}",6848070639,18731668647,POINT (0.4529390111966335 0.1958261155034952),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,1,23,"{'x': 869.6429014975363, 'y': 211.49220474377486, 'elapsedTime': 85946.70000000019}",6848087307,18731685314,POINT (0.4529390111966335 0.1958261155034952),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,1,23,"{'x': 869.6429014975363, 'y': 211.49220474377486, 'elapsedTime': 85946.70000000019}",6848103973,18731701980,POINT (0.4529390111966335 0.1958261155034952),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,1,23,"{'x': 869.6429014975363, 'y': 211.49220474377486, 'elapsedTime': 85946.70000000019}",6848120640,18731718646,POINT (0.4529390111966335 0.1958261155034952),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,1,23,"{'x': 869.6429014975363, 'y': 211.49220474377486, 'elapsedTime': 85946.70000000019}",6848137313,18731735319,POINT (0.4529390111966335 0.1958261155034952),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,1,23,"{'x': 869.6429014975363, 'y': 211.49220474377486, 'elapsedTime': 85946.70000000019}",6848153981,18731751986,POINT (0.4529390111966335 0.1958261155034952),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,1,23,"{'x': 869.6429014975363, 'y': 211.49220474377486, 'elapsedTime': 85946.70000000019}",6848170648,18731768653,POINT (0.4529390111966335 0.1958261155034952),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
0,1,23,"{'x': 869.6429014975363, 'y': 211.49220474377486, 'elapsedTime': 85946.70000000019}",6848187315,18731785319,POINT (0.4529390111966335 0.1958261155034952),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
