,pid,stimulus_number,coordinates,current_time,current_time1,geometry,-----------.1,-----------.2,-----------.3,-----------.4,class.1,Point.1,public.1,Point.2,().1,std.1,cout.2,<<.1,Constructor.1,called.1,-----------.7,-----------.8,-----------.9,int.1,main.1,Point.3,t1.1,*.1,t2.1,return.1,0.1,-----------.10,question,code,choices
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274489868037,2819383788,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274489884704,2819400455,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274489901372,2819417122,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274489918042,2819433792,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274489934710,2819450459,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274489951376,2819467125,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274489968044,2819483792,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274489984711,2819500459,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490001378,2819517125,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490018045,2819533792,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490034713,2819550459,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490051386,2819567132,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490068054,2819583799,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490084721,2819600466,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490101388,2819617132,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490118055,2819633799,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490134722,2819650466,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490151389,2819667132,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490168056,2819683799,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490184725,2819700467,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490201391,2819717133,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490218059,2819733800,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490234726,2819750467,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490251393,2819767133,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490268060,2819783800,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,5,"{'x': 821.8687344936039, 'y': 441.4532081416183, 'elapsedTime': 40984}",274490284728,2819800467,POINT (0.428056632548752 0.4087529705014984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
