,pid,stimulus_number,coordinates,current_time,current_time1,geometry,-----------.1,In.1,depth-first.1,search.1,DFS.1,how.1,many.1,times.1,is.1,a.1,given.1,visited.1,question,code,choices
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344843816346,15510618751,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344843833013,15510635417,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344843849680,15510652084,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344843866351,15510668754,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344843883017,15510685420,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344843899685,15510702087,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344843916352,15510718754,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344843933019,15510735420,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344843949686,15510752087,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344843966354,15510768754,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344843983020,15510785420,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344843999693,15510802092,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344844016360,15510818759,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344844033027,15510835425,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344844049694,15510852092,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344844066362,15510868759,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344844083028,15510885425,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344844099696,15510902092,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344844116363,15510918759,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344844133034,15510935429,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344844149701,15510952096,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
0,8,9,"{'x': 808.7800991797463, 'y': 93.76814652737136, 'elapsedTime': 22546.5}",344844166368,15510968762,POINT (0.4212396349894512 0.0868223578957142),,,,,,,,,,,,,,,
