,pid,stimulus_number,coordinates,current_time,current_time1,geometry,int.1,-----------.1,mystery.1,int.2,int.3,expectedSum.1,arr.1,-----------.2,=.1,-----------.3,arr.2,0.1,int.4,size.1,-----------.4,arr.3,size.3,-.1,1.1,*.1,arr.4,size.2,-.2,1.2,+.1,1.3,/.1,2.1,int.5,actualSum.1,=.2,0.2,for.1,int.6,i.1,-----------.10,arr.5,-----------.11,actualSum.2,+=.1,i.2,-----------.13,int.7,result.1,=.3,expectedSum.2,-.3,actualSum.3,return.1,result.2,-----------.15,question,code,choices
0,8,1,"{'x': 573.3820881497147, 'y': 223.26611915108313, 'elapsedTime': 38812.69999998808}",344640102857,15306911548,POINT (0.2986365042446431 0.2067278881028548),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,1,"{'x': 573.3820881497147, 'y': 223.26611915108313, 'elapsedTime': 38812.69999998808}",344640119525,15306928215,POINT (0.2986365042446431 0.2067278881028548),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,1,"{'x': 573.3820881497147, 'y': 223.26611915108313, 'elapsedTime': 38812.69999998808}",344640136191,15306944881,POINT (0.2986365042446431 0.2067278881028548),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,1,"{'x': 573.3820881497147, 'y': 223.26611915108313, 'elapsedTime': 38812.69999998808}",344640152859,15306961548,POINT (0.2986365042446431 0.2067278881028548),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,1,"{'x': 573.3820881497147, 'y': 223.26611915108313, 'elapsedTime': 38812.69999998808}",344640169530,15306978219,POINT (0.2986365042446431 0.2067278881028548),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,1,"{'x': 573.3820881497147, 'y': 223.26611915108313, 'elapsedTime': 38812.69999998808}",344640186197,15306994885,POINT (0.2986365042446431 0.2067278881028548),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,1,"{'x': 573.3820881497147, 'y': 223.26611915108313, 'elapsedTime': 38812.69999998808}",344640202864,15307011552,POINT (0.2986365042446431 0.2067278881028548),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,1,"{'x': 573.3820881497147, 'y': 223.26611915108313, 'elapsedTime': 38812.69999998808}",344640219532,15307028219,POINT (0.2986365042446431 0.2067278881028548),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,1,"{'x': 573.3820881497147, 'y': 223.26611915108313, 'elapsedTime': 38812.69999998808}",344640236199,15307044885,POINT (0.2986365042446431 0.2067278881028548),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,1,"{'x': 573.3820881497147, 'y': 223.26611915108313, 'elapsedTime': 38812.69999998808}",344640252866,15307061552,POINT (0.2986365042446431 0.2067278881028548),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,1,"{'x': 573.3820881497147, 'y': 223.26611915108313, 'elapsedTime': 38812.69999998808}",344640269534,15307078219,POINT (0.2986365042446431 0.2067278881028548),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,1,"{'x': 573.3820881497147, 'y': 223.26611915108313, 'elapsedTime': 38812.69999998808}",344640286200,15307094885,POINT (0.2986365042446431 0.2067278881028548),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
