,pid,stimulus_number,coordinates,current_time,current_time1,geometry,define.1,afunc.1,input1.1,input2.1,  .1,cond.1,-----------.1,    .1,nan.1,input1.2,-----------.2,>.1,car.1,input1.3,car.2,input2.2,-----------.4,-----------.5,<.1,car.3,input1.4,car.4,input2.3,-----------.7,    .2,else.1,afunc.2,cdr.1,input1.5,cdr.2,input2.4,).1,].1,).2,).3,question,code,choices
0,9,25,"{'x': 658.3417220671939, 'y': 973.5191678654257, 'elapsedTime': 140254}",180401160087,6567194605,POINT (0.3428863135766635 0.9014066369124313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,9,25,"{'x': 658.3417220671939, 'y': 973.5191678654257, 'elapsedTime': 140254}",180401176763,6567211280,POINT (0.3428863135766635 0.9014066369124313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,9,25,"{'x': 658.3417220671939, 'y': 973.5191678654257, 'elapsedTime': 140254}",180401193430,6567227947,POINT (0.3428863135766635 0.9014066369124313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,9,25,"{'x': 658.3417220671939, 'y': 973.5191678654257, 'elapsedTime': 140254}",180401210097,6567244613,POINT (0.3428863135766635 0.9014066369124313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,9,25,"{'x': 658.3417220671939, 'y': 973.5191678654257, 'elapsedTime': 140254}",180401226764,6567261280,POINT (0.3428863135766635 0.9014066369124313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,9,25,"{'x': 658.3417220671939, 'y': 973.5191678654257, 'elapsedTime': 140254}",180401243424,6567277939,POINT (0.3428863135766635 0.9014066369124313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,9,25,"{'x': 658.3417220671939, 'y': 973.5191678654257, 'elapsedTime': 140254}",180401260091,6567294606,POINT (0.3428863135766635 0.9014066369124313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,9,25,"{'x': 658.3417220671939, 'y': 973.5191678654257, 'elapsedTime': 140254}",180401276764,6567311278,POINT (0.3428863135766635 0.9014066369124313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,9,25,"{'x': 658.3417220671939, 'y': 973.5191678654257, 'elapsedTime': 140254}",180401293430,6567327944,POINT (0.3428863135766635 0.9014066369124313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,9,25,"{'x': 658.3417220671939, 'y': 973.5191678654257, 'elapsedTime': 140254}",180401310098,6567344612,POINT (0.3428863135766635 0.9014066369124313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
