,pid,stimulus_number,coordinates,current_time,current_time1,geometry,define.1,afunc.1,lst.1,  .1,letrec.1,-----------.1,helper.1,lambda.1,lst.2,acc.1,if.1,nan.1,lst.3,acc.2,helper.2,cdr.1,lst.4,if.2,odd.1,car.1,lst.5,-----------.3,+.1,acc.3,*.1,car.2,lst.6,car.3,lst.7,-----------.6,-----------.7,acc.4,).1,).2,).3,).4,).5,helper.3,lst.8,0.1,-----------.13,-----------.14,question,code,choices
0,15,36,"{'x': 889.5290227124389, 'y': 382.46641401326906, 'elapsedTime': 25916.399999976158}",936054602608,4513026541,POINT (0.4632963659960619 0.3541355685308047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,15,36,"{'x': 889.5290227124389, 'y': 382.46641401326906, 'elapsedTime': 25916.399999976158}",936054619276,4513043208,POINT (0.4632963659960619 0.3541355685308047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,15,36,"{'x': 889.5290227124389, 'y': 382.46641401326906, 'elapsedTime': 25916.399999976158}",936054635943,4513059875,POINT (0.4632963659960619 0.3541355685308047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,15,36,"{'x': 889.5290227124389, 'y': 382.46641401326906, 'elapsedTime': 25916.399999976158}",936054652615,4513076546,POINT (0.4632963659960619 0.3541355685308047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,15,36,"{'x': 889.5290227124389, 'y': 382.46641401326906, 'elapsedTime': 25916.399999976158}",936054669281,4513093212,POINT (0.4632963659960619 0.3541355685308047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,15,36,"{'x': 889.5290227124389, 'y': 382.46641401326906, 'elapsedTime': 25916.399999976158}",936054685948,4513109878,POINT (0.4632963659960619 0.3541355685308047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,15,36,"{'x': 889.5290227124389, 'y': 382.46641401326906, 'elapsedTime': 25916.399999976158}",936054702615,4513126545,POINT (0.4632963659960619 0.3541355685308047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,15,36,"{'x': 889.5290227124389, 'y': 382.46641401326906, 'elapsedTime': 25916.399999976158}",936054719283,4513143212,POINT (0.4632963659960619 0.3541355685308047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,15,36,"{'x': 889.5290227124389, 'y': 382.46641401326906, 'elapsedTime': 25916.399999976158}",936054735950,4513159879,POINT (0.4632963659960619 0.3541355685308047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,15,36,"{'x': 889.5290227124389, 'y': 382.46641401326906, 'elapsedTime': 25916.399999976158}",936054752617,4513176545,POINT (0.4632963659960619 0.3541355685308047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
