,pid,stimulus_number,coordinates,current_time,current_time1,geometry,-----------.1,-----------.2,-----------.3,#lang.1,racket.1,define.1,afunc.1,lst.1,define.2,afunc-helper.1,lst.2,a.1,mystery.1,cond.1,-----------.4,      .1,nan.1,lst.3,cons.2,a.2,mystery.2,-----------.5,      .2,else.1,       .1,append.1,afunc-helper.2,cdr.1,lst.4,cons.3,car.1,lst.5,a.3,mystery.3,afunc-helper.3,cdr.2,lst.6,a.4,mystery.4,-----------.6,-----------.7,-----------.8,-----------.9,afunc-helper.4,lst.7,-----------.10,-----------.11,-----------.12,-----------.13,-----------.14,-----------.15,question,code,choices
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276112741,4690437564,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276129408,4690454231,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276146075,4690470898,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276162742,4690487564,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276179409,4690504231,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276196077,4690520898,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276212744,4690537565,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276229416,4690554237,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276246083,4690570904,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276262750,4690587570,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276279417,4690604237,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276296085,4690620904,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276312751,4690637570,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276329418,4690654237,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276346087,4690670906,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276362756,4690687574,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276379422,4690704240,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276396089,4690720907,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276412756,4690737573,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276429423,4690754240,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276446090,4690770907,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276462756,4690787573,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276479429,4690804245,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276496096,4690820912,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276512763,4690837578,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276529430,4690854245,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276546096,4690870911,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276562763,4690887578,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276579431,4690904245,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,17,35,"{'x': 971.1005396463919, 'y': 558.466614090261, 'elapsedTime': 84140.20000001788}",169276596098,4690920912,POINT (0.5057815310658291 0.5170987167502417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
