,pid,stimulus_number,coordinates,current_time,current_time1,geometry,2.1,11.1,9.1,7.1,6.1,5.1,5.2,4.1,2.2,question,code,choices
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176520776770,2686925589,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176520793436,2686942255,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176520810104,2686958922,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176520826770,2686975588,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176520843438,2686992255,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176520860105,2687008922,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176520876773,2687025589,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176520893439,2687042255,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176520910108,2687058923,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176520926775,2687075590,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176520943442,2687092256,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176520960109,2687108923,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176520976776,2687125589,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176520993443,2687142256,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521010111,2687158923,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521026777,2687175589,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521043453,2687192264,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521060120,2687208931,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521076787,2687225597,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521093454,2687242264,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521110122,2687258931,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521126788,2687275597,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521143457,2687292264,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521160129,2687308936,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521176796,2687325602,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521193463,2687342269,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521210131,2687358936,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521226798,2687375602,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521243465,2687392269,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521260133,2687408936,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521276799,2687425602,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521293471,2687442273,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521310138,2687458940,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521326805,2687475606,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521343472,2687492273,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521360139,2687508939,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521376806,2687525606,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521393474,2687542273,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521410141,2687558940,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521426813,2687575611,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521443480,2687592278,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521460147,2687608944,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521476814,2687625611,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521493482,2687642278,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521510148,2687658944,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521526816,2687675611,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
0,20,10,"{'x': 782.0159422381982, 'y': 530.1219966867599, 'elapsedTime': 11280.100000023842}",176521543483,2687692278,POINT (0.4072999699157282 0.4908537006358888),,,,,,,,,,,1,
