,pid,stimulus_number,coordinates,current_time,current_time1,geometry,int.1,-----------.1,main.1,-----------.2,int.2,a.1,=.1,2.1,1.1,std.1,cout.1,<<.1,*.1,a.2,+.1,1.2,-----------.8,return.1,0.1,-----------.9,question,code,choices
0,20,7,"{'x': 608.0292562853166, 'y': 563.9062794985832, 'elapsedTime': 26300.40000000596}",177345330996,3511454610,POINT (0.316681904315269 0.5221354439801696),,,,,,,,,,,,,,,,,,,,,,1,
0,20,7,"{'x': 608.0292562853166, 'y': 563.9062794985832, 'elapsedTime': 26300.40000000596}",177345347662,3511471276,POINT (0.316681904315269 0.5221354439801696),,,,,,,,,,,,,,,,,,,,,,1,
0,20,7,"{'x': 608.0292562853166, 'y': 563.9062794985832, 'elapsedTime': 26300.40000000596}",177345364331,3511487944,POINT (0.316681904315269 0.5221354439801696),,,,,,,,,,,,,,,,,,,,,,1,
0,20,7,"{'x': 608.0292562853166, 'y': 563.9062794985832, 'elapsedTime': 26300.40000000596}",177345380997,3511504610,POINT (0.316681904315269 0.5221354439801696),,,,,,,,,,,,,,,,,,,,,,1,
0,20,7,"{'x': 608.0292562853166, 'y': 563.9062794985832, 'elapsedTime': 26300.40000000596}",177345397668,3511521280,POINT (0.316681904315269 0.5221354439801696),,,,,,,,,,,,,,,,,,,,,,1,
0,20,7,"{'x': 608.0292562853166, 'y': 563.9062794985832, 'elapsedTime': 26300.40000000596}",177345414334,3511537946,POINT (0.316681904315269 0.5221354439801696),,,,,,,,,,,,,,,,,,,,,,1,
0,20,7,"{'x': 608.0292562853166, 'y': 563.9062794985832, 'elapsedTime': 26300.40000000596}",177345431002,3511554613,POINT (0.316681904315269 0.5221354439801696),,,,,,,,,,,,,,,,,,,,,,1,
0,20,7,"{'x': 608.0292562853166, 'y': 563.9062794985832, 'elapsedTime': 26300.40000000596}",177345447669,3511571280,POINT (0.316681904315269 0.5221354439801696),,,,,,,,,,,,,,,,,,,,,,1,
0,20,7,"{'x': 608.0292562853166, 'y': 563.9062794985832, 'elapsedTime': 26300.40000000596}",177345464337,3511587947,POINT (0.316681904315269 0.5221354439801696),,,,,,,,,,,,,,,,,,,,,,1,
0,20,7,"{'x': 608.0292562853166, 'y': 563.9062794985832, 'elapsedTime': 26300.40000000596}",177345481003,3511604613,POINT (0.316681904315269 0.5221354439801696),,,,,,,,,,,,,,,,,,,,,,1,
