,pid,stimulus_number,coordinates,current_time,current_time1,geometry,define.1,complex-seq.1,start.1,end.1,operator1.1,operator2.1,  .1,if.1,>.1,start.2,end.2,'.1,().1,      .1,cons.1,start.3,complex-seq.2,+.1,*.1,start.4,operator2.2,operator2.3,end.3,operator1.2,operator2.4,).1,).2,).3,question,code,choices
0,21,29,"{'x': 512.4076109661416, 'y': 340.2564850979717, 'elapsedTime': 37732.40000000596}",172866789944,8281012361,POINT (0.2668789640448654 0.3150523010166404),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,29,"{'x': 512.4076109661416, 'y': 340.2564850979717, 'elapsedTime': 37732.40000000596}",172866806611,8281029028,POINT (0.2668789640448654 0.3150523010166404),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,29,"{'x': 512.4076109661416, 'y': 340.2564850979717, 'elapsedTime': 37732.40000000596}",172866823279,8281045695,POINT (0.2668789640448654 0.3150523010166404),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,29,"{'x': 512.4076109661416, 'y': 340.2564850979717, 'elapsedTime': 37732.40000000596}",172866839946,8281062362,POINT (0.2668789640448654 0.3150523010166404),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,29,"{'x': 512.4076109661416, 'y': 340.2564850979717, 'elapsedTime': 37732.40000000596}",172866856613,8281079028,POINT (0.2668789640448654 0.3150523010166404),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,29,"{'x': 512.4076109661416, 'y': 340.2564850979717, 'elapsedTime': 37732.40000000596}",172866873280,8281095695,POINT (0.2668789640448654 0.3150523010166404),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,29,"{'x': 512.4076109661416, 'y': 340.2564850979717, 'elapsedTime': 37732.40000000596}",172866889947,8281112361,POINT (0.2668789640448654 0.3150523010166404),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,29,"{'x': 512.4076109661416, 'y': 340.2564850979717, 'elapsedTime': 37732.40000000596}",172866906618,8281129032,POINT (0.2668789640448654 0.3150523010166404),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,29,"{'x': 512.4076109661416, 'y': 340.2564850979717, 'elapsedTime': 37732.40000000596}",172866923285,8281145698,POINT (0.2668789640448654 0.3150523010166404),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,29,"{'x': 512.4076109661416, 'y': 340.2564850979717, 'elapsedTime': 37732.40000000596}",172866939953,8281162366,POINT (0.2668789640448654 0.3150523010166404),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
