,pid,stimulus_number,coordinates,current_time,current_time1,geometry,int.1,-----------.1,afunc.1,int.2,-----------.2,terms.1,if.1,terms.2,==.1,0.1,-----------.4,return.1,1.1,-----------.5,else.1,return.2,-----------.6,std::pow.1,2.1,terms.3,+.1,afunc.2,terms.4,-.1,1.2,-----------.9,-----------.10,-----------.11,question,code,choices
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687495794,1349311169,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687512460,1349327835,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687529128,1349344502,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687545795,1349361169,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687562463,1349377836,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687579129,1349394502,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687595800,1349411173,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687612466,1349427838,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687629132,1349444504,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687645802,1349461173,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687662466,1349477837,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687679136,1349494506,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687695801,1349511171,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687712469,1349527838,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687729140,1349544509,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687745807,1349561175,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687762474,1349577842,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687779142,1349594509,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687795809,1349611176,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,"{'x': 412.08363147741, 'y': 439.15952220248033, 'elapsedTime': 101949.69999998808}",331687812476,1349627842,POINT (0.2146268913944844 0.4066291872245188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
