,pid,stimulus_number,coordinates,current_time,current_time1,geometry,define.1,input.1,n.1,if.1,<.1,n.2,0.1,      .1,error.1,No.1,negative.1,numbers.1,      .2,letrec.1,-----------.2,helper.1,lambda.1,i.1,result.1,if.2,>.1,i.2,n.3,result.2,helper.2,+.1,1.1,1.2,*.1,result.3,i.3,).1,).2,).3,).4,).5,helper.3,1.3,1.4,).6,).7,).8,question,code,choices
0,22,31,"{'x': 557.5309904475149, 'y': 589.4405748469102, 'elapsedTime': 57189.59999996424}",331208373023,870202768,POINT (0.290380724191414 0.5457783100434354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,31,"{'x': 557.5309904475149, 'y': 589.4405748469102, 'elapsedTime': 57189.59999996424}",331208389691,870219435,POINT (0.290380724191414 0.5457783100434354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,31,"{'x': 557.5309904475149, 'y': 589.4405748469102, 'elapsedTime': 57189.59999996424}",331208406358,870236102,POINT (0.290380724191414 0.5457783100434354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,31,"{'x': 557.5309904475149, 'y': 589.4405748469102, 'elapsedTime': 57189.59999996424}",331208423026,870252769,POINT (0.290380724191414 0.5457783100434354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,31,"{'x': 557.5309904475149, 'y': 589.4405748469102, 'elapsedTime': 57189.59999996424}",331208439692,870269435,POINT (0.290380724191414 0.5457783100434354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,31,"{'x': 557.5309904475149, 'y': 589.4405748469102, 'elapsedTime': 57189.59999996424}",331208456360,870286102,POINT (0.290380724191414 0.5457783100434354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,31,"{'x': 557.5309904475149, 'y': 589.4405748469102, 'elapsedTime': 57189.59999996424}",331208473026,870302768,POINT (0.290380724191414 0.5457783100434354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,31,"{'x': 557.5309904475149, 'y': 589.4405748469102, 'elapsedTime': 57189.59999996424}",331208489695,870319436,POINT (0.290380724191414 0.5457783100434354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,31,"{'x': 557.5309904475149, 'y': 589.4405748469102, 'elapsedTime': 57189.59999996424}",331208506363,870336104,POINT (0.290380724191414 0.5457783100434354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,31,"{'x': 557.5309904475149, 'y': 589.4405748469102, 'elapsedTime': 57189.59999996424}",331208523031,870352771,POINT (0.290380724191414 0.5457783100434354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,31,"{'x': 557.5309904475149, 'y': 589.4405748469102, 'elapsedTime': 57189.59999996424}",331208539697,870369437,POINT (0.290380724191414 0.5457783100434354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,31,"{'x': 557.5309904475149, 'y': 589.4405748469102, 'elapsedTime': 57189.59999996424}",331208556365,870386104,POINT (0.290380724191414 0.5457783100434354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,31,"{'x': 557.5309904475149, 'y': 589.4405748469102, 'elapsedTime': 57189.59999996424}",331208573032,870402771,POINT (0.290380724191414 0.5457783100434354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,31,"{'x': 557.5309904475149, 'y': 589.4405748469102, 'elapsedTime': 57189.59999996424}",331208589699,870419437,POINT (0.290380724191414 0.5457783100434354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,31,"{'x': 557.5309904475149, 'y': 589.4405748469102, 'elapsedTime': 57189.59999996424}",331208606366,870436104,POINT (0.290380724191414 0.5457783100434354),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
