,pid,stimulus_number,coordinates,current_time,current_time1,geometry,long.1,long.2,operate.1,int.1,n.1,switch.1,n.2,case.1,0.1,return.1,0.2,case.2,1.1,return.2,1.2,default.1,long.3,long.4,mystery1.1,=.1,0.3,long.5,long.6,mystery2.1,=.2,1.3,for.1,int.2,i.1,=.3,2.1,i.2,n.3,<=.1,++i.1,-----------.6,long.7,long.8,mystery3.1,=.4,mystery1.2,+.1,mystery2.2,mystery1.3,=.5,mystery2.3,mystery2.4,=.6,mystery3.2,-----------.8,return.3,mystery2.5,-----------.10,-----------.11,question,code,choices
0,22,24,"{'x': 619.0387857684717, 'y': 554.9357112445209, 'elapsedTime': 48737.40000003576}",332689661052,2351446239,POINT (0.3224160342544123 0.5138293622634453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,24,"{'x': 619.0387857684717, 'y': 554.9357112445209, 'elapsedTime': 48737.40000003576}",332689677721,2351462907,POINT (0.3224160342544123 0.5138293622634453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,24,"{'x': 619.0387857684717, 'y': 554.9357112445209, 'elapsedTime': 48737.40000003576}",332689694387,2351479573,POINT (0.3224160342544123 0.5138293622634453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,24,"{'x': 619.0387857684717, 'y': 554.9357112445209, 'elapsedTime': 48737.40000003576}",332689711057,2351496242,POINT (0.3224160342544123 0.5138293622634453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,24,"{'x': 619.0387857684717, 'y': 554.9357112445209, 'elapsedTime': 48737.40000003576}",332689727724,2351512909,POINT (0.3224160342544123 0.5138293622634453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,24,"{'x': 619.0387857684717, 'y': 554.9357112445209, 'elapsedTime': 48737.40000003576}",332689744392,2351529576,POINT (0.3224160342544123 0.5138293622634453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,24,"{'x': 619.0387857684717, 'y': 554.9357112445209, 'elapsedTime': 48737.40000003576}",332689761058,2351546242,POINT (0.3224160342544123 0.5138293622634453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,24,"{'x': 619.0387857684717, 'y': 554.9357112445209, 'elapsedTime': 48737.40000003576}",332689777726,2351562909,POINT (0.3224160342544123 0.5138293622634453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,24,"{'x': 619.0387857684717, 'y': 554.9357112445209, 'elapsedTime': 48737.40000003576}",332689794393,2351579576,POINT (0.3224160342544123 0.5138293622634453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,24,"{'x': 619.0387857684717, 'y': 554.9357112445209, 'elapsedTime': 48737.40000003576}",332689811061,2351596243,POINT (0.3224160342544123 0.5138293622634453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,24,"{'x': 619.0387857684717, 'y': 554.9357112445209, 'elapsedTime': 48737.40000003576}",332689827727,2351612909,POINT (0.3224160342544123 0.5138293622634453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,22,24,"{'x': 619.0387857684717, 'y': 554.9357112445209, 'elapsedTime': 48737.40000003576}",332689844400,2351629581,POINT (0.3224160342544123 0.5138293622634453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
