,pid,stimulus_number,coordinates,current_time,current_time1,geometry,int.1,main.1,void.1,recursiveFun.1,int.2,n.1,recursiveFun.2,10.1,-----------.1,if.1,n.2,==.1,0.1,return.1,0.2,return.2,-----------.3,-----------.4,std.1,cout.1,<<.1,n.3,<<.2,""".1",-----------.10,recursiveFun.3,n.4,-.1,1.1,-----------.12,-----------.13,question,code,choices
0,23,12,"{'x': 542.4018996426375, 'y': 292.65019372701454, 'elapsedTime': 13576.40000000596}",84650323731,2837639212,POINT (0.2825009893972071 0.2709724015990875),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,23,12,"{'x': 542.4018996426375, 'y': 292.65019372701454, 'elapsedTime': 13576.40000000596}",84650340402,2837655883,POINT (0.2825009893972071 0.2709724015990875),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,23,12,"{'x': 542.4018996426375, 'y': 292.65019372701454, 'elapsedTime': 13576.40000000596}",84650357069,2837672550,POINT (0.2825009893972071 0.2709724015990875),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,23,12,"{'x': 542.4018996426375, 'y': 292.65019372701454, 'elapsedTime': 13576.40000000596}",84650373736,2837689217,POINT (0.2825009893972071 0.2709724015990875),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,23,12,"{'x': 542.4018996426375, 'y': 292.65019372701454, 'elapsedTime': 13576.40000000596}",84650390403,2837705883,POINT (0.2825009893972071 0.2709724015990875),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,23,12,"{'x': 542.4018996426375, 'y': 292.65019372701454, 'elapsedTime': 13576.40000000596}",84650407070,2837722550,POINT (0.2825009893972071 0.2709724015990875),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,23,12,"{'x': 542.4018996426375, 'y': 292.65019372701454, 'elapsedTime': 13576.40000000596}",84650423738,2837739217,POINT (0.2825009893972071 0.2709724015990875),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,23,12,"{'x': 542.4018996426375, 'y': 292.65019372701454, 'elapsedTime': 13576.40000000596}",84650440404,2837755883,POINT (0.2825009893972071 0.2709724015990875),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,23,12,"{'x': 542.4018996426375, 'y': 292.65019372701454, 'elapsedTime': 13576.40000000596}",84650457072,2837772550,POINT (0.2825009893972071 0.2709724015990875),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,23,12,"{'x': 542.4018996426375, 'y': 292.65019372701454, 'elapsedTime': 13576.40000000596}",84650473743,2837789221,POINT (0.2825009893972071 0.2709724015990875),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,23,12,"{'x': 542.4018996426375, 'y': 292.65019372701454, 'elapsedTime': 13576.40000000596}",84650490410,2837805887,POINT (0.2825009893972071 0.2709724015990875),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
0,23,12,"{'x': 542.4018996426375, 'y': 292.65019372701454, 'elapsedTime': 13576.40000000596}",84650507079,2837822556,POINT (0.2825009893972071 0.2709724015990875),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
