,pid,stimulus_number,coordinates,current_time,current_time1,geometry,define.1,number.1,n.1,if.1,<=.1,n.2,0.1,0.2,      .1,letrec.1,-----------.1,helper.1,lambda.1,i.1,acc.1,if.2,>.1,i.2,n.3,acc.2,helper.2,+.1,i.3,1.1,+.2,acc.3,i.4,).1,).2,).3,).4,(.1,helper.3,1.2,0.3,).5,).6,).7,question,code,choices
0,24,32,"{'x': 721.5451414702059, 'y': 564.6481902823249, 'elapsedTime': 175656.80000001192}",155619092875,4879726106,POINT (0.3758047611823989 0.5228223984095601),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619109541,4879742772,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619126209,4879759439,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619142877,4879776106,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619159543,4879792772,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619176211,4879809439,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619192884,4879826112,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619209551,4879842779,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619226219,4879859446,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619242886,4879876113,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619259553,4879892779,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619276220,4879909446,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619292888,4879926113,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619309555,4879942779,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619326227,4879959451,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619342895,4879976118,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619359560,4879992783,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619376227,4880009449,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619392895,4880026116,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619409562,4880042783,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619426230,4880059450,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619442903,4880076123,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619459568,4880092788,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619476238,4880109457,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619492904,4880126123,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619509572,4880142790,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619526238,4880159456,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619542906,4880176123,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619559574,4880192790,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619576245,4880209461,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619592913,4880226128,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619609581,4880242795,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619626247,4880259461,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619642915,4880276128,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619659582,4880292795,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619676249,4880309461,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619692916,4880326128,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619709587,4880342798,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619726254,4880359465,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,24,32,"{'x': 697.4710516536634, 'y': 599.7305808006466, 'elapsedTime': 175732.70000001788}",155619742921,4880376132,POINT (0.363266172736283 0.5553060933339321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
