,pid,stimulus_number,coordinates,current_time,current_time1,geometry,-----------.1,std::list<int>.1,afunc.1,const.1,-----------.2,std::list<int>.2,numList.1,-----------.3,std::list<int>.3,edited.1,for.1,int.1,num.1,-----------.4,numList.2,if.1,num.2,==.1,0.1,-----------.6,edited.2,push_front.1,-----------.7,num.3,-----------.8,-----------.9,-----------.10,for.2,int.2,num.4,-----------.11,numList.3,if.2,num.5,!=.0,0.2,-----------.14,edited.3,push_back.1,num.6,-----------.15,-----------.16,-----------.17,return.1,edited.4,-----------.18,question,code,choices
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",476922732,639380694,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",476939399,639397361,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",476956074,639414035,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",476972733,639430694,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",476989400,639447361,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477006067,639464027,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477022734,639480694,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477039409,639497367,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477056076,639514034,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477072743,639530700,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477089410,639547367,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477106077,639564033,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477122744,639580700,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477139410,639597366,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477156079,639614034,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477172751,639630706,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477189419,639647373,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477206085,639664039,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477222753,639680706,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477239419,639697372,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477256087,639714039,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477272754,639730706,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477289421,639747372,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477306091,639764042,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,15,"{'x': 544.0875967275166, 'y': 440.3068258785687, 'elapsedTime': 8601.900000000023}",477322758,639780709,POINT (0.2833789566289149 0.4076915054431192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
