,pid,stimulus_number,coordinates,current_time,current_time1,geometry,int.1,mysteryOp.1,int.2,x.1,int.3,y.1,int.4,result.1,=.1,0.1,while.1,y.2,>.1,0.2,if.1,y.3,%.1,2.1,!=.1,0.3,result.2,+=.1,x.2,x.3,*.1,=.2,2.2,y.4,/.1,=.3,2.3,-----------.14,return.1,result.3,-----------.15,question,code,choices
0,31,2,"{'x': 769.6869478085661, 'y': 410.2139433360233, 'elapsedTime': 205384.19999998808}",357454089166,5782230524,POINT (0.4008786186502948 0.3798277253111327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,2,"{'x': 769.6869478085661, 'y': 410.2139433360233, 'elapsedTime': 205384.19999998808}",357454105844,5782247191,POINT (0.4008786186502948 0.3798277253111327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,2,"{'x': 769.6869478085661, 'y': 410.2139433360233, 'elapsedTime': 205384.19999998808}",357454122521,5782263857,POINT (0.4008786186502948 0.3798277253111327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,2,"{'x': 769.6869478085661, 'y': 410.2139433360233, 'elapsedTime': 205384.19999998808}",357454139200,5782280524,POINT (0.4008786186502948 0.3798277253111327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,2,"{'x': 769.6869478085661, 'y': 410.2139433360233, 'elapsedTime': 205384.19999998808}",357454155883,5782297196,POINT (0.4008786186502948 0.3798277253111327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,2,"{'x': 769.6869478085661, 'y': 410.2139433360233, 'elapsedTime': 205384.19999998808}",357454172560,5782313862,POINT (0.4008786186502948 0.3798277253111327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,2,"{'x': 769.6869478085661, 'y': 410.2139433360233, 'elapsedTime': 205384.19999998808}",357454189238,5782330529,POINT (0.4008786186502948 0.3798277253111327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,2,"{'x': 769.6869478085661, 'y': 410.2139433360233, 'elapsedTime': 205384.19999998808}",357454205916,5782347196,POINT (0.4008786186502948 0.3798277253111327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,2,"{'x': 769.6869478085661, 'y': 410.2139433360233, 'elapsedTime': 205384.19999998808}",357454222593,5782363862,POINT (0.4008786186502948 0.3798277253111327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,2,"{'x': 769.6869478085661, 'y': 410.2139433360233, 'elapsedTime': 205384.19999998808}",357454239271,5782380529,POINT (0.4008786186502948 0.3798277253111327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,2,"{'x': 769.6869478085661, 'y': 410.2139433360233, 'elapsedTime': 205384.19999998808}",357454255949,5782397196,POINT (0.4008786186502948 0.3798277253111327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,2,"{'x': 769.6869478085661, 'y': 410.2139433360233, 'elapsedTime': 205384.19999998808}",357454272626,5782413862,POINT (0.4008786186502948 0.3798277253111327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,2,"{'x': 769.6869478085661, 'y': 410.2139433360233, 'elapsedTime': 205384.19999998808}",357454289308,5782430533,POINT (0.4008786186502948 0.3798277253111327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
