,pid,stimulus_number,coordinates,current_time,current_time1,geometry,using.1,-----------.1,namespace.1,std.1,double.1,afunc.1,int.1,n.1,if.1,n.2,==.1,0.1,return.1,0.0.1,-----------.3,double.2,term.1,=.1,1.0.1,/.1,pow.1,n.3,2.0.1,-----------.5,if.2,n.4,%.1,2.2,==.2,0.2,return.2,afunc.2,n.5,-.1,1.1,-.2,term.2,-----------.10,else.1,return.3,afunc.3,n.6,-.3,1.2,+.1,term.3,-----------.13,-----------.14,question,code,choices
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308342024,2333477158,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308358690,2333493824,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308375358,2333510491,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308392025,2333527158,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308408698,2333543831,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308425366,2333560498,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308442033,2333577165,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308458699,2333593831,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308475367,2333610498,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308492034,2333627165,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308508700,2333643831,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308525367,2333660498,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308542039,2333677169,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308558706,2333693836,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308575372,2333710502,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308592040,2333727169,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308608707,2333743836,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308625373,2333760502,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308642041,2333777169,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308658712,2333793840,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308675379,2333810506,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308692045,2333827173,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308708713,2333843840,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,32,18,"{'x': 918.6023344529401, 'y': 351.99237293769505, 'elapsedTime': 47067.60000002384}",577308725379,2333860506,POINT (0.4784387158609063 0.3259188638311991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
