,pid,stimulus_number,coordinates,current_time,current_time1,geometry,-----------.1,-----------.2,int.1,main.1,-----------.3,-----------.4,-----------.5,-----------.6,std.7,string.6,input.1,=.1,DuckDuckGoose.1,std.1,string.1,manipulateString.1,const.1,std.2,string.2,str.1,-----------.10,std.3,string.3,manipulated.1,=.2,manipulateString.2,input.2,-----------.12,std.4,string.4,manipulatedStr.1,=.3,""""".1",std.5,cout.1,<<.1,Manipulated.1,string.5,""".1",<<.2,manipulated.2,<<.3,std.6,endl.1,for.1,int.2,i.1,=.4,0.1,i.2,<.1,str.2,length.1,-----------.25,i++.1,return.1,0.2,if.1,i.3,%.1,2.1,==.1,0.3,-----------.27,manipulatedStr.2,+=.1,toupper.1,str.3,i.4,-----------.28,-----------.29,-----------.30,else.1,manipulatedStr.3,+=.2,tolower.1,str.4,i.5,-----------.32,-----------.33,-----------.34,-----------.35,return.2,manipulatedStr.4,-----------.36,question,code,choices
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704026384,1083079908,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704043051,1083096575,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704059718,1083113241,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704076386,1083129908,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704093053,1083146575,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704109720,1083163241,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704126387,1083179908,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704143057,1083196577,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704159724,1083213244,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704176392,1083229911,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704193058,1083246577,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704209726,1083263244,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704226393,1083279911,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704243060,1083296577,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704259736,1083313252,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704276403,1083329919,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704293070,1083346585,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704309737,1083363252,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704326405,1083379919,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704343069,1083396583,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704359739,1083413252,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704376404,1083429917,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704393075,1083446587,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704409745,1083463256,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704426410,1083479921,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704443079,1083496589,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704459746,1083513256,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704476414,1083529923,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704493080,1083546589,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704509748,1083563256,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704526420,1083579928,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704543087,1083596594,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704559754,1083613261,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704576422,1083629928,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704593087,1083646592,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704609754,1083663259,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704626422,1083679926,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704643088,1083696592,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704659760,1083713263,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704676426,1083729929,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704693094,1083746596,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704709761,1083763263,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704726430,1083779931,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704743095,1083796596,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704759763,1083813263,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704776430,1083829929,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704793101,1083846600,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704809769,1083863267,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704826435,1083879933,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704843103,1083896600,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704859770,1083913267,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704876437,1083929933,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704893104,1083946600,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704909774,1083963269,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704926445,1083979939,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,34,4,"{'x': 734.7947659824382, 'y': 549.3769944939006, 'elapsedTime': 35479.39999999106}",70704943112,1083996606,POINT (0.3827056072825199 0.5086824023091673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
