,pid,stimulus_number,coordinates,current_time,current_time1,geometry,int.1,-----------.1,main.1,int.2,a.1,=.1,1.1,b.1,=.2,2.1,c.1,=.3,3.1,c.2,=.4,a.2,==.1,b.2,std.1,cout.1,<<.1,c.3,return.1,0.1,-----------.6,question,code,choices
0,35,6,"{'x': 707.0296978481655, 'y': 716.4845308057344, 'elapsedTime': 30418.400000035763}",339058440545,9725409424,POINT (0.3682446342959195 0.6634116025979022),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,35,6,"{'x': 707.0296978481655, 'y': 716.4845308057344, 'elapsedTime': 30418.400000035763}",339058457214,9725426092,POINT (0.3682446342959195 0.6634116025979022),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,35,6,"{'x': 707.0296978481655, 'y': 716.4845308057344, 'elapsedTime': 30418.400000035763}",339058473881,9725442759,POINT (0.3682446342959195 0.6634116025979022),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,35,6,"{'x': 707.0296978481655, 'y': 716.4845308057344, 'elapsedTime': 30418.400000035763}",339058490549,9725459426,POINT (0.3682446342959195 0.6634116025979022),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,35,6,"{'x': 707.0296978481655, 'y': 716.4845308057344, 'elapsedTime': 30418.400000035763}",339058507218,9725476095,POINT (0.3682446342959195 0.6634116025979022),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,35,6,"{'x': 707.0296978481655, 'y': 716.4845308057344, 'elapsedTime': 30418.400000035763}",339058523885,9725492761,POINT (0.3682446342959195 0.6634116025979022),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,35,6,"{'x': 707.0296978481655, 'y': 716.4845308057344, 'elapsedTime': 30418.400000035763}",339058540551,9725509427,POINT (0.3682446342959195 0.6634116025979022),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,35,6,"{'x': 707.0296978481655, 'y': 716.4845308057344, 'elapsedTime': 30418.400000035763}",339058557220,9725526095,POINT (0.3682446342959195 0.6634116025979022),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,35,6,"{'x': 707.0296978481655, 'y': 716.4845308057344, 'elapsedTime': 30418.400000035763}",339058573886,9725542761,POINT (0.3682446342959195 0.6634116025979022),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,35,6,"{'x': 707.0296978481655, 'y': 716.4845308057344, 'elapsedTime': 30418.400000035763}",339058590554,9725559428,POINT (0.3682446342959195 0.6634116025979022),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
