,pid,stimulus_number,coordinates,current_time,current_time1,geometry,define.1,question.1,  .1,letrec.1,-----------.1,f.1,lambda.1,x.1,cons.1,if.1,=.1,modulo.1,x.2,3.1,0.1,*.1,x.3,2.1,x.4,lambda.2,().1,f.2,+.1,x.5,1.1,).1,).2,).3,).4,].1,).5,lambda.3,().2,f.3,1.2,).6,).7,).8,question,code,choices
0,36,34,"{'x': 904.4560515787725, 'y': 733.5309504444841, 'elapsedTime': 14589}",343035859704,1851254269,POINT (0.4710708601972773 0.6791953244856335),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,36,34,"{'x': 845.1755024013344, 'y': 720.6011939513675, 'elapsedTime': 14631.699999988079}",343035876370,1851270935,POINT (0.4401955741673617 0.6672233277327476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,36,34,"{'x': 845.1755024013344, 'y': 720.6011939513675, 'elapsedTime': 14631.699999988079}",343035893038,1851287602,POINT (0.4401955741673617 0.6672233277327476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,36,34,"{'x': 845.1755024013344, 'y': 720.6011939513675, 'elapsedTime': 14631.699999988079}",343035909709,1851304273,POINT (0.4401955741673617 0.6672233277327476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,36,34,"{'x': 845.1755024013344, 'y': 720.6011939513675, 'elapsedTime': 14631.699999988079}",343035926377,1851320940,POINT (0.4401955741673617 0.6672233277327476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,36,34,"{'x': 845.1755024013344, 'y': 720.6011939513675, 'elapsedTime': 14631.699999988079}",343035943044,1851337607,POINT (0.4401955741673617 0.6672233277327476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,36,34,"{'x': 845.1755024013344, 'y': 720.6011939513675, 'elapsedTime': 14631.699999988079}",343035959711,1851354273,POINT (0.4401955741673617 0.6672233277327476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,36,34,"{'x': 845.1755024013344, 'y': 720.6011939513675, 'elapsedTime': 14631.699999988079}",343035976378,1851370940,POINT (0.4401955741673617 0.6672233277327476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,36,34,"{'x': 845.1755024013344, 'y': 720.6011939513675, 'elapsedTime': 14631.699999988079}",343035993046,1851387607,POINT (0.4401955741673617 0.6672233277327476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,36,34,"{'x': 845.1755024013344, 'y': 720.6011939513675, 'elapsedTime': 14631.699999988079}",343036009712,1851404273,POINT (0.4401955741673617 0.6672233277327476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,36,34,"{'x': 845.1755024013344, 'y': 720.6011939513675, 'elapsedTime': 14631.699999988079}",343036026380,1851420940,POINT (0.4401955741673617 0.6672233277327476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,36,34,"{'x': 845.1755024013344, 'y': 720.6011939513675, 'elapsedTime': 14631.699999988079}",343036043051,1851437611,POINT (0.4401955741673617 0.6672233277327476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,36,34,"{'x': 845.1755024013344, 'y': 720.6011939513675, 'elapsedTime': 14631.699999988079}",343036059718,1851454277,POINT (0.4401955741673617 0.6672233277327476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,36,34,"{'x': 845.1755024013344, 'y': 720.6011939513675, 'elapsedTime': 14631.699999988079}",343036076385,1851470944,POINT (0.4401955741673617 0.6672233277327476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
