,pid,stimulus_number,coordinates,current_time,current_time1,geometry,define.1,afunc.1,num-list.1,  .1,cond.1,-----------.1,    .1,nan.1,num-list.2,-----------.2,-----------.3,-----------.4,-----------.5,    .2,even.1,car.1,num-list.3,-----------.6,     .1,append.1,afunc.2,cdr.1,num-list.4,-----------.7,list.1,car.2,num-list.5,-----------.8,-----------.9,-----------.10,    .3,else.1,cons.1,car.3,num-list.6,afunc.3,cdr.2,num-list.7,-----------.11,-----------.12,-----------.13,-----------.14,-----------.15,question,code,choices
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671244041,1648079657,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671260707,1648096323,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671277375,1648112990,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671294042,1648129657,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671310713,1648146327,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671327380,1648162994,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671344047,1648179660,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671360714,1648196327,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671377382,1648212994,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671394048,1648229660,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671410716,1648246327,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671427387,1648262998,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671444054,1648279664,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671460721,1648296331,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671477389,1648312998,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671494053,1648329662,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671510723,1648346331,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671527390,1648362998,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671544055,1648379662,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671560727,1648396334,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671577395,1648413001,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671594061,1648429667,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671610728,1648446334,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671627396,1648463001,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,27,"{'x': 724.1555814567437, 'y': 475.913085223531, 'elapsedTime': 70234.39999997616}",765671644062,1648479667,POINT (0.377164365342054 0.4406602640958621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
