,pid,stimulus_number,coordinates,current_time,current_time1,geometry,int.1,afunc.1,const.1,-----------.1,std::vector<int>.1,inputList.1,-----------.2,-----------.3,std::unordered_map.1,int.2,int.3,Map.1,for.1,int.4,number.1,-----------.4,inputList.2,-----------.5,number.2,++.1,-----------.6,int.5,result2.1,=.1,inputList.3,0.1,-----------.7,int.6,result1.1,=.2,Map.2,inputList.4,0.2, .1,-----------.8,-----------.9,for.2,const.2,auto.1,entry.1,-----------.10,Map.3,if.1,second.1,>.12,result1.2,result2.2,=.3,entry.2,first.1,result1.3,=.4,entry.3,second.2,-----------.13,-----------.14,return.1,result2.3,-----------.15,question,code,choices
0,38,14,"{'x': 671.9097119488517, 'y': 574.1618468197132, 'elapsedTime': 96480.10000002384}",686869120179,507548280,POINT (0.3499529749733602 0.5316313396478826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,14,"{'x': 671.9097119488517, 'y': 574.1618468197132, 'elapsedTime': 96480.10000002384}",686869136846,507564947,POINT (0.3499529749733602 0.5316313396478826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,14,"{'x': 671.9097119488517, 'y': 574.1618468197132, 'elapsedTime': 96480.10000002384}",686869153514,507581614,POINT (0.3499529749733602 0.5316313396478826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,14,"{'x': 671.9097119488517, 'y': 574.1618468197132, 'elapsedTime': 96480.10000002384}",686869170180,507598280,POINT (0.3499529749733602 0.5316313396478826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,14,"{'x': 671.9097119488517, 'y': 574.1618468197132, 'elapsedTime': 96480.10000002384}",686869186848,507614947,POINT (0.3499529749733602 0.5316313396478826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,14,"{'x': 671.9097119488517, 'y': 574.1618468197132, 'elapsedTime': 96480.10000002384}",686869203515,507631614,POINT (0.3499529749733602 0.5316313396478826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,14,"{'x': 671.9097119488517, 'y': 574.1618468197132, 'elapsedTime': 96480.10000002384}",686869220188,507648286,POINT (0.3499529749733602 0.5316313396478826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,14,"{'x': 671.9097119488517, 'y': 574.1618468197132, 'elapsedTime': 96480.10000002384}",686869236855,507664953,POINT (0.3499529749733602 0.5316313396478826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,14,"{'x': 671.9097119488517, 'y': 574.1618468197132, 'elapsedTime': 96480.10000002384}",686869253522,507681619,POINT (0.3499529749733602 0.5316313396478826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,14,"{'x': 671.9097119488517, 'y': 574.1618468197132, 'elapsedTime': 96480.10000002384}",686869270189,507698286,POINT (0.3499529749733602 0.5316313396478826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,14,"{'x': 671.9097119488517, 'y': 574.1618468197132, 'elapsedTime': 96480.10000002384}",686869286856,507714953,POINT (0.3499529749733602 0.5316313396478826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,14,"{'x': 671.9097119488517, 'y': 574.1618468197132, 'elapsedTime': 96480.10000002384}",686869303524,507731620,POINT (0.3499529749733602 0.5316313396478826),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
