,pid,stimulus_number,coordinates,current_time,current_time1,geometry,using.1,std;.1,namespace.1,n>0.1,n==3.1,n=10.1,n--.1,n.1,main.1,int.1,int.2,if.1,for.1,cout.1,cout.2,countdown.1,break.1,aborted.1,<<.1,<<.2,<<.3,-----------.2,-----------.5,-----------.9,-----------.12,-----------.13,-----------.14,-----------.15,",.8",question,code,choices
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686716960572,355393029,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686716977239,355409696,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686716993906,355426362,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717010573,355443029,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717027247,355459702,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717043913,355476368,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717060579,355493033,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717077248,355509702,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717093915,355526368,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717110582,355543035,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717127248,355559701,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717143917,355576369,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717160587,355593039,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717177254,355609705,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717193922,355626373,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717210589,355643039,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717227256,355659706,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717243924,355676373,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717260588,355693037,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717277255,355709704,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717293928,355726376,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717310595,355743043,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,38,17,"{'x': 611.3352849323547, 'y': 604.2714871043358, 'elapsedTime': 40772.90000009537}",686717327265,355759712,POINT (0.3184037942356014 0.5595106362077183),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
