,pid,stimulus_number,coordinates,current_time,current_time1,geometry,define.1,lst.1,cons.1,cons.2,cons.3,'a.1,'b.1,cons.4,cons.5,-----------.1,cons.6,'d.1,'.2,().3,-----------.4,-----------.5,'.6,().7,-----------.8,-----------.9,cons.7,'e.1,'.10,().11,).12,).13,).14,question,code,choices
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476555938,8426673802,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476572605,8426690468,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476589272,8426707134,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476605939,8426723801,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476622605,8426740466,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476639272,8426757133,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476655944,8426773804,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476672611,8426790471,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476689278,8426807137,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476705945,8426823804,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476722613,8426840471,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476739280,8426857138,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476755947,8426873804,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476772614,8426890471,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476789289,8426907145,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476805956,8426923811,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476822623,8426940478,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476839290,8426957144,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476855957,8426973811,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476872625,8426990478,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476889293,8427007145,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476905964,8427023815,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476922630,8427040481,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476939298,8427057148,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476955965,8427073815,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476972633,8427090482,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,26,"{'x': 641.7834170075768, 'y': 494.1582648946806, 'elapsedTime': 117395}",77476989300,8427107149,POINT (0.3342621963581129 0.4575539489765561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
