,pid,stimulus_number,coordinates,current_time,current_time1,geometry,2.1,11.1,9.1,7.1,6.1,5.1,5.2,4.1,2.2,question,code,choices
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163888869526,4727161484,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163888886194,4727178151,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163888902861,4727194818,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163888919528,4727211484,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163888936195,4727228151,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163888952863,4727244818,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163888969533,4727261488,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163888986201,4727278155,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889002868,4727294822,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889019535,4727311488,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889036202,4727328155,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889052870,4727344822,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889069536,4727361488,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889086204,4727378155,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889102875,4727394826,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889119542,4727411492,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889136209,4727428159,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889152877,4727444826,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889169543,4727461492,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889186211,4727478159,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889202877,4727494825,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889219545,4727511492,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889236217,4727528164,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889252884,4727544830,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889269551,4727561497,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889286219,4727578164,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889302885,4727594830,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889319553,4727611497,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889336220,4727628164,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889352887,4727644830,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889369560,4727661503,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889386228,4727678170,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889402894,4727694836,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889419562,4727711503,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889436229,4727728170,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889452896,4727744836,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889469563,4727761503,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889486234,4727778173,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889502900,4727794839,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889519568,4727811506,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889536235,4727828173,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889552900,4727844837,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889569569,4727861506,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889586237,4727878173,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889602903,4727894839,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889619577,4727911512,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889636244,4727928179,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889652911,4727944845,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
0,44,11,"{'x': 664.086181671076, 'y': 408.5678483469339, 'elapsedTime': 20154.30000001192}",163889669578,4727961512,POINT (0.3458782196203521 0.3783035632841981),,,,,,,,,,,,
