,pid,stimulus_number,coordinates,current_time,current_time1,geometry,int.1,main.1,void.1,printFun.1,int.2,n.1,int.3,num.1,=.1,7.1,if.1,n.2,<=.1,0.1,printFun.2,num.2,-----------.2,return.1,return.2,0.2,-----------.3,-----------.4,std.1,cout.1,<<.1,n.3,<<.2,""""".1",-----------.10,printFun.3,int.4,-.1,2.1,-----------.12,std.2,cout.2,<<.3,n.4,<<.4,""""".2",-----------.18,-----------.19,question,code,choices
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013447634,2851795779,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013464307,2851812451,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013480973,2851829117,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013497641,2851845784,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013514308,2851862451,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013530974,2851879117,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013547642,2851895784,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013564309,2851912451,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013580976,2851929117,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013597648,2851945789,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013614314,2851962455,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013630982,2851979122,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013647649,2851995789,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013664316,2852012455,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013680983,2852029122,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013697651,2852045789,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013714317,2852062455,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013730987,2852079124,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013747654,2852095791,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013764321,2852112457,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013780987,2852129124,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,44,3,"{'x': 730.9835098519815, 'y': 698.7692145529342, 'elapsedTime': 77797.39999997616}",162013797655,2852145791,POINT (0.380720578047907 0.6470085319934575),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
