,pid,stimulus_number,coordinates,current_time,current_time1,geometry,bool.1,afunc.1,const.1,-----------.1,std::vector<int>.1,numbers.1,int.1,target.1,int.2,count.1,=.1,0.1,for.1,int.3,num.1,-----------.2,numbers.2,if.1,num.2,==.1,target.2,count.2,if.2,count.3,==.2,3.1,return.1,true.1,-----------.5,-----------.6,-----------.7,return.2,false.1,-----------.8,question,code,choices
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487349320,2990759530,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487365988,2990776197,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487382654,2990792863,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487399322,2990809530,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487415989,2990826197,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487432657,2990842864,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487449323,2990859530,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487465991,2990876197,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487482662,2990892868,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487499329,2990909535,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487515997,2990926202,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487532663,2990942868,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487549331,2990959535,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487565998,2990976202,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487582665,2990992868,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487599332,2991009535,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487616005,2991026207,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487632671,2991042873,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487649339,2991059540,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487666006,2991076207,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487682673,2991092873,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487699340,2991109540,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487716008,2991126207,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487732679,2991142878,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487749347,2991159545,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487766014,2991176212,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487782681,2991192878,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487799348,2991209545,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487816016,2991226212,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487832682,2991242878,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487849350,2991259545,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487866020,2991276215,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487882687,2991292881,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487899354,2991309548,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487916021,2991326214,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487932688,2991342881,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487949356,2991359548,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487966022,2991376214,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487982690,2991392881,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442487999362,2991409553,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442488016029,2991426219,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442488032696,2991442886,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442488049364,2991459553,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442488066030,2991476219,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442488082698,2991492886,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442488099365,2991509553,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442488116032,2991526219,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442488132704,2991542891,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442488149372,2991559558,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442488166038,2991576224,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442488182706,2991592891,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,16,"{'x': 698.8708261065572, 'y': 451.6980801571568, 'elapsedTime': 63475.80000001192}",442488199373,2991609558,POINT (0.3639952219304986 0.4182389631084785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
