,pid,stimulus_number,coordinates,current_time,current_time1,geometry,void.1,complexOperation.1,const.1,-----------.1,std::vector<int>.1,numbers.1,int.1,a.1,=.1,0.1,auto.1,bfunc.1,=.2,&a.1,int.2,&a.2,int.3,x.1,if.1,x.2,%.1,2.1,==.1,0.2,-----------.6,a.2,+=.1,x.3,*.1,x.4,-----------.10,-----------.11,std.1,for_each.1,numbers.2,begin.1,-----------.14,std::cout.1,<<.1,a.3,<<.2,std.2,endl.1,-----------.19,numbers.3,end.1,-----------.20,bfunc.2,-----------.21,-----------.22,question,code,choices
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022125678,525606973,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022142345,525623640,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022159013,525640307,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022175679,525656973,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022192347,525673640,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022209014,525690307,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022225680,525706973,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022242353,525723645,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022259019,525740311,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022275687,525756978,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022292354,525773645,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022309021,525790311,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022325688,525806978,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022342355,525823645,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022359022,525840311,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022375691,525856980,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022392359,525873647,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022409023,525890311,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022425693,525906980,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022442358,525923645,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022459025,525940311,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022475692,525956978,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022492359,525973645,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022509034,525990319,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022525701,526006986,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022542369,526023653,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022559035,526040319,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022575703,526056986,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022592370,526073653,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022609039,526090321,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022625704,526106986,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022642374,526123656,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022659041,526140322,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022675708,526156989,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022692375,526173655,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022709042,526190322,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022725710,526206989,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022742377,526223656,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022759043,526240322,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022775717,526256995,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022792383,526273661,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022809051,526290328,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022825718,526306995,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022842385,526323661,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022859052,526340328,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022875722,526356997,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022892388,526373663,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022909059,526390334,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022925727,526407001,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022942393,526423667,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022959061,526440334,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022975728,526457001,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440022992395,526473667,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440023009062,526490334,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440023025729,526507001,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440023042401,526523672,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440023059068,526540339,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,20,"{'x': 853.562345344149, 'y': 392.5366871311367, 'elapsedTime': 111958.09999996424}",440023075736,526557006,POINT (0.444563721533411 0.3634598954917932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
