,pid,stimulus_number,coordinates,current_time,current_time1,geometry,-----------.1,-----------.2,-----------.3,-----------.4,-----------.5,define.1,afunc.1,terms.1,  .1,if.1,zero.1,terms.2,1.1,+.1,expt.1,/.1,-1.1,2.1,terms.3,afunc.2,-.1,terms.4,1.2,-----------.10,-----------.11,-----------.12,-----------.13,question,code,choices
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509793945453,3050744222,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509793962120,3050760889,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509793978788,3050777556,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509793995454,3050794222,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794012122,3050810889,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794028789,3050827556,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794045456,3050844222,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794062123,3050860889,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794078791,3050877556,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794095457,3050894222,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794112125,3050910889,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794128802,3050927566,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794145469,3050944232,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794162136,3050960899,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794178804,3050977566,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794195470,3050994232,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794212138,3051010899,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794228805,3051027566,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794245472,3051044232,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794262144,3051060904,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794278812,3051077571,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794295478,3051094237,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794312146,3051110904,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794328813,3051127571,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794345480,3051144237,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,57,33,"{'x': 677.7732899551513, 'y': 323.9909519464547, 'elapsedTime': 69048.09999996424}",509794362146,3051160903,POINT (0.3530069218516413 0.2999916221726432),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
